Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Heptane,-56.471,6288.7,7.3258,44.738,25.519,60.91,-46805.252944454245,-134.5321151427235,90.0,250.0,-0.1813905007969842
Octane,-61.712,7047.2,7.9817,67.346,26.779,66.363,-52620.96179751127,-148.11524350709308,90.0,250.0,-0.1939379479428694
Nonane,-66.972,7807.3,8.6352,87.42,27.699,71.797,-58451.76971468287,-161.96609376979376,90.0,250.0,-0.20430460921614735
Decane,-71.687,8537.2,9.2131,106.437,28.588,76.602,-64088.05246444016,-174.74259582606635,90.0,250.0,-0.21251786427391978
Undecane,-78.337,9354.9,10.0811,124.746,29.628,83.819,-70237.2627275739,-190.34190129810798,90.0,250.0,-0.22641383359707432
Dodecane,-86.322,10277.3,11.1242,141.255,30.301,92.491,-77125.96961042886,-209.03404823478235,90.0,250.0,-0.23988017464876074
Tridecane,-92.048,11058.9,11.8481,156.657,30.962,98.511,-83082.85803874214,-223.54018955901375,90.0,250.0,-0.24753411422255595
Tetradecane,-97.285,11808.1,12.5037,171.12,31.564,103.961,-88821.46687994103,-237.10377846148398,90.0,250.0,-0.2537091563724202
Pentadecane,-102.511,12553.5,13.1584,184.746,32.117,109.405,-94529.15423466302,-250.61706344087432,90.0,250.0,-0.25938098650885566
1-Octanol,-85.68,9640.2,11.1586,119.497,29.317,92.778,-71803.08390013764,-202.12312134419236,90.0,250.0,-0.24372552220245372
1-Nonanol,-91.568,10431.8,11.9074,136.593,30.235,99.004,-77824.48424390514,-216.8375793609827,90.0,250.0,-0.2520182436069826
2-Octanol,-81.602,9091.1,10.6404,107.026,28.644,88.469,-67625.38238409512,-191.91297264960158,90.0,250.0,-0.23749843020006242
2-Nonanol,-86.695,9844.7,11.2722,124.844,29.561,93.722,-73418.38443974197,-205.3676044285375,90.0,250.0,-0.24450337808913103
5-Nonanol,-84.09,9628.7,10.9169,122.918,29.571,90.768,-71888.33208536156,-199.95557417519782,90.0,250.0,-0.240192032492917
5-Decanol,-89.555,10399.0,11.6026,139.539,30.354,96.469,-77779.8522085709,-214.03844890108837,90.0,250.0,-0.24754219243311015
2-Octanone,-75.401,8660.0,9.7774,105.291,28.876,81.294,-64686.80186096122,-179.8182210835561,90.0,250.0,-0.2253536918418143
2-Decanone,-85.71,10158.9,11.0644,140.205,30.591,91.994,-76186.28567425042,-206.68012923474558,90.0,250.0,-0.2409603588002585
