Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Heptane,-56.471,6288.7,7.3258,44.738,25.519,60.91,-30168.0,-49.562,90.0,250.0,-0.18139,alkane
Octane,-61.712,7047.2,7.9817,67.346,26.779,66.363,-34494.0,-55.538,90.0,250.0,-0.19394,alkane
Nonane,-66.972,7807.3,8.6352,87.42,27.699,71.797,-38840.0,-61.809,90.0,250.0,-0.2043,alkane
Decane,-71.687,8537.2,9.2131,106.44,28.588,76.602,-43164.0,-67.882,90.0,250.0,-0.21252,alkane
Undecane,-78.337,9354.9,10.081,124.75,29.628,83.819,-47342.0,-73.414,90.0,250.0,-0.22641,alkane
Dodecane,-86.322,10277.0,11.124,141.26,30.301,92.491,-51862.0,-80.007,90.0,250.0,-0.23988,alkane
Tridecane,-92.048,11059.0,11.848,156.66,30.962,98.511,-56175.0,-86.117,90.0,250.0,-0.24753,alkane
Tetradecane,-97.285,11808.0,12.504,171.12,31.564,103.96,-60424.0,-92.077,90.0,250.0,-0.25371,alkane
Pentadecane,-102.51,12554.0,13.158,184.75,32.117,109.4,-64645.0,-97.996,90.0,250.0,-0.25938,alkane
1-Octanol,-85.68,9640.2,11.159,119.5,29.317,92.778,-46461.0,-72.698,90.0,250.0,-0.24373,alcohol
1-Nonanol,-91.568,10432.0,11.907,136.59,30.235,99.004,-50782.0,-78.727,90.0,250.0,-0.25202,alcohol
2-Octanol,-81.602,9091.1,10.64,107.03,28.644,88.469,-43460.0,-68.498,90.0,250.0,-0.2375,alcohol
2-Nonanol,-86.695,9844.7,11.272,124.84,29.561,93.722,-47818.0,-74.624,90.0,250.0,-0.2445,alcohol
5-Nonanol,-84.09,9628.7,10.917,122.92,29.571,90.768,-47095.0,-73.333,90.0,250.0,-0.24019,alcohol
5-Decanol,-89.555,10399.0,11.603,139.54,30.354,96.469,-51429.0,-79.463,90.0,250.0,-0.24754,alcohol
2-Octanone,-75.401,8660.0,9.7774,105.29,28.876,81.294,-42481.0,-66.413,90.0,250.0,-0.22535,ketone
2-Decanone,-85.71,10159.0,11.064,140.21,30.591,91.994,-51058.0,-78.347,90.0,250.0,-0.24096,ketone
