Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Heptane,-47.48,5484.6,6.0969,28.239,24.906,50.692,-41039.0,-115.97,90.0,250.0,-0.15088,alkane
Octane,-54.351,6288.3,7.0012,51.055,26.156,58.211,-47045.0,-131.75,90.0,250.0,-0.17353,alkane
Nonane,-58.73,6967.1,7.5398,71.914,27.275,62.689,-52286.0,-143.53,90.0,250.0,-0.18399,alkane
Decane,-62.854,7630.6,8.0416,91.129,28.227,66.861,-57427.0,-154.87,90.0,250.0,-0.19255,alkane
Undecane,-69.879,8457.4,8.9589,108.95,29.003,74.488,-63615.0,-171.33,90.0,250.0,-0.20886,alkane
Dodecane,-75.761,9221.2,9.7113,125.52,29.71,80.744,-69402.0,-185.83,90.0,250.0,-0.22005,alkane
Tridecane,-80.005,9884.7,10.232,140.99,30.37,85.071,-74530.0,-197.32,90.0,250.0,-0.22634,alkane
Tetradecane,-84.199,10543.0,10.746,155.51,30.95,89.343,-79620.0,-208.7,90.0,250.0,-0.23204,alkane
Pentadecane,-88.105,11182.0,11.219,169.19,31.461,93.281,-84575.0,-219.52,90.0,250.0,-0.23672,alkane
1-Octanol,-74.868,8984.1,9.6422,122.0,30.178,80.169,-67483.0,-181.57,90.0,250.0,-0.22309,alcohol
1-Nonanol,-79.874,9698.7,10.27,138.27,30.925,85.39,-72954.0,-194.48,90.0,250.0,-0.23121,alcohol
2-Octanol,-72.784,8548.4,9.3969,107.12,29.065,78.13,-64044.0,-175.46,90.0,250.0,-0.21871,alcohol
2-Nonanol,-76.077,9162.9,9.781,124.18,29.919,81.323,-68865.0,-185.27,90.0,250.0,-0.22311,alcohol
5-Nonanol,-75.923,9071.8,9.7792,121.57,29.894,81.309,-68109.0,-184.08,90.0,250.0,-0.2241,alcohol
5-Decanol,-79.363,9694.5,10.182,137.36,30.558,84.657,-72985.0,-194.26,90.0,250.0,-0.22807,alcohol
2-Octanone,-71.455,8538.4,9.1983,110.7,29.424,76.479,-64109.0,-173.49,90.0,250.0,-0.2154,ketone
2-Decanone,-79.966,9862.9,10.246,143.14,30.959,85.186,-74338.0,-196.37,90.0,250.0,-0.22896,ketone
