Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Heptane,-46.204,4838.2,6.07,0.932,23.664,50.469,-21899.0,-36.188,90.0,250.0,-0.15873,alkane
Octane,-56.057,5753.7,7.4182,24.632,25.016,61.678,-25440.0,-40.823,90.0,250.0,-0.19256,alkane
Nonane,-61.732,6472.1,8.1484,46.169,26.346,67.749,-29209.0,-46.148,90.0,250.0,-0.20677,alkane
Decane,-67.911,7216.2,8.9517,66.044,27.526,74.429,-32970.0,-51.472,90.0,250.0,-0.2207,alkane
Undecane,-69.966,7741.7,9.1573,84.475,28.633,76.138,-36719.0,-56.772,90.0,250.0,-0.22233,alkane
Dodecane,-75.281,8433.3,9.8378,101.7,29.608,81.796,-40414.0,-61.953,90.0,250.0,-0.23229,alkane
Tridecane,-80.596,9123.8,10.519,117.85,30.51,87.457,-44100.0,-67.116,90.0,250.0,-0.24131,alkane
Tetradecane,-85.693,9802.3,11.168,133.08,31.34,92.855,-47781.0,-72.273,90.0,250.0,-0.24902,alkane
Pentadecane,-91.056,10494.0,11.856,147.47,32.122,98.572,-51458.0,-77.445,90.0,250.0,-0.25655,alkane
1-Octanol,-90.355,10698.0,11.701,155.4,32.317,97.29,-53614.0,-80.456,90.0,250.0,-0.25269,alcohol
1-Nonanol,-94.881,11334.0,12.274,169.04,33.106,102.05,-57175.0,-85.245,90.0,250.0,-0.25875,alcohol
2-Octanol,-88.375,10113.0,11.499,135.17,30.775,95.604,-49363.0,-75.614,90.0,250.0,-0.24993,alcohol
2-Nonanol,-95.086,10884.0,12.38,149.46,31.6,102.93,-53111.0,-80.89,90.0,250.0,-0.25982,alcohol
5-Nonanol,-92.459,10582.0,12.033,143.66,31.212,100.05,-51650.0,-78.918,90.0,250.0,-0.25584,alcohol
5-Decanol,-98.948,11337.0,12.882,157.26,31.981,107.11,-55365.0,-84.188,90.0,250.0,-0.26463,alcohol
2-Octanone,-66.071,8102.6,8.5276,118.77,32.266,70.902,-41621.0,-60.486,90.0,250.0,-0.21465,ketone
2-Decanone,-73.164,9259.2,9.3931,150.11,33.907,78.098,-48624.0,-69.844,90.0,250.0,-0.22683,ketone
