Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
C7,-7.0955,3843.9,0.08624,43.997,26.354,0.71704,-31895.0,-55.051,250.0,90.0,1.0,1.0,1.6193e-6,1.6634e-5,Inf,Inf,3,3,false,true
Propyl acetate,-42.291,5763.8,5.1709,47.513,25.045,42.993,-44053.0,-115.17,250.0,90.0,1.0,1.0,5.1771e-5,0.00019808,Inf,Inf,3,3,false,true
Toluene ,-40.081,5606.2,4.9602,61.047,28.286,41.241,-42901.0,-106.43,250.0,90.0,0.99999,0.99999,2.4153,2.4153,1.2077,1.2077,5,5,true,true
Pyridine,-52.059,6132.2,6.7153,55.323,27.479,55.834,-45961.0,-125.76,250.0,90.0,1.0,1.0,2.431,2.431,2.431,2.431,4,4,true,true
Butyl acetate,-50.616,6612.0,6.3126,69.597,26.409,52.486,-50252.0,-132.19,250.0,90.0,0.99999,0.99999,2.7769,2.7769,1.3885,1.3885,5,5,true,true
C8,-43.364,6100.1,5.3099,67.033,26.951,44.149,-46746.0,-117.74,250.0,90.0,0.99999,0.99999,2.4805,2.4805,1.2403,1.2403,5,5,true,true
Pentyl acetate ,-59.534,7526.2,7.5196,89.892,27.479,62.521,-56950.0,-151.14,250.0,90.0,1.0,1.0,5.2302,5.2302,1.7434,1.7434,6,6,true,true
2-Hexanone,-52.653,6513.5,6.6794,64.596,26.792,55.536,-49158.0,-132.35,250.0,90.0,1.0,1.0,2.431,2.431,2.431,2.431,4,4,true,true
Ethylbenzene,-36.423,5807.6,4.3575,81.948,29.598,36.231,-45027.0,-103.57,250.0,90.0,0.99998,0.99998,5.853,5.853,1.4633,1.4633,7,7,true,true
2-Heptanone,-52.881,6982.6,6.621,85.889,27.991,55.05,-53102.0,-136.91,250.0,90.0,1.0,1.0,5.6661,5.6661,1.8887,1.8887,6,6,true,true
C9,-49.968,6890.0,6.1825,87.977,28.001,51.404,-52660.0,-132.74,250.0,90.0,1.0,1.0,5.1214,5.1214,1.7071,1.7071,6,6,true,true
Hexyl acetate,-63.366,8180.7,7.9833,108.63,28.396,66.377,-62045.0,-161.79,250.0,90.0,1.0,1.0,6.0813,6.0813,1.2163,1.2163,8,8,true,true
2-Octanone,-60.603,7845.5,7.6479,105.44,28.955,63.588,-59508.0,-154.16,250.0,90.0,1.0,1.0,6.4655,6.4655,1.2931,1.2931,8,8,true,true
C10,-56.516,7692.8,7.0378,107.2,28.841,58.515,-58695.0,-148.08,250.0,90.0,1.0,1.0,6.395,6.395,1.279,1.279,8,8,true,true
"N,N-dimethylisobutyramide ",-61.181,7756.6,7.7662,102.19,29.097,64.572,-58680.0,-153.55,250.0,90.0,1.0,1.0,6.8418,6.8418,1.3684,1.3684,8,8,true,true
Phenol,-77.377,8698.4,10.075,102.2,28.654,83.77,-64783.0,-182.63,250.0,90.0,0.99999,0.99999,6.5573,6.5573,1.3115,1.3115,8,8,true,true
Linalool,-68.873,8758.0,8.7551,125.54,30.176,72.794,-66267.0,-172.29,250.0,90.0,1.0,1.0,6.873,6.873,1.1455,1.1455,9,9,true,true
n-Butylbenzene ,-57.129,7775.3,7.1753,119.8,31.157,59.659,-59278.0,-146.88,250.0,90.0,1.0,1.0,7.93,7.93,1.3217,1.3217,9,9,true,true
Aniline,-54.072,7233.5,6.8173,104.94,30.704,56.683,-55042.0,-137.84,250.0,90.0,0.99997,0.99997,5.7801,5.7801,0.96334,0.96334,9,9,true,true
"N,N-diethylacetamide ",-66.09,8088.7,8.4734,107.1,29.71,70.452,-60912.0,-162.03,250.0,90.0,1.0,1.0,7.6559,7.6559,1.5312,1.5312,8,8,true,true
2-Nonanone,-67.635,8684.2,8.5683,123.55,29.775,71.24,-65792.0,-170.54,250.0,90.0,0.99999,0.99999,5.1711,5.1711,0.86185,0.86185,9,9,true,true
C11,-64.141,8564.4,8.0425,124.89,29.542,66.869,-65190.0,-165.54,250.0,90.0,0.99999,0.99999,6.1294,6.1294,1.0216,1.0216,9,9,true,true
Acetophenone ,-59.472,7900.4,7.5266,122.11,31.719,62.58,-60056.0,-150.3,250.0,90.0,1.0,1.0,8.0841,8.0841,1.3474,1.3474,9,9,true,true
2-Decanone,-73.363,9450.7,9.3002,140.39,30.513,77.326,-71618.0,-184.69,250.0,90.0,0.99999,0.99999,5.631,5.631,0.80442,0.80442,10,10,true,true
Octyl acetate,-76.969,9812.5,9.7645,142.37,29.999,81.187,-74279.0,-193.45,250.0,90.0,0.99999,0.99999,6.1747,6.1747,1.0291,1.0291,9,9,true,true
C12,-69.034,9273.6,8.6584,141.41,30.234,71.99,-70626.0,-178.05,250.0,90.0,0.99999,0.99999,5.6916,5.6916,0.9486,0.9486,9,9,true,true
Propiophenone ,-65.103,8652.8,8.2419,138.93,32.305,68.527,-65776.0,-164.41,250.0,90.0,1.0,1.0,6.5241,6.5241,0.93201,0.93201,10,10,true,true
Naphthalene,-57.074,8074.0,7.1741,145.52,34.57,59.649,-61763.0,-146.48,250.0,90.0,1.0,1.0,7.2032,7.2032,0.9004,0.9004,11,11,true,true
Butyrophenone ,-66.783,9102.3,8.4143,153.07,32.934,69.961,-69384.0,-170.49,250.0,90.0,0.99996,0.99996,5.5053,5.5053,0.68816,0.68816,11,11,true,true
2-Undecanone,-78.214,10155.0,9.9115,156.24,31.257,82.408,-77013.0,-197.08,250.0,90.0,0.99999,0.99999,7.6761,7.6761,1.0966,1.0966,10,10,true,true
C13,-77.056,10163.0,9.7207,156.89,30.912,80.822,-77226.0,-196.17,250.0,90.0,1.0,1.0,7.255,7.255,1.0364,1.0364,10,10,true,true
Decyl acetate,-81.085,10878.0,10.196,172.27,31.309,84.772,-82817.0,-207.95,250.0,90.0,0.99997,0.99997,7.1139,7.1139,0.88924,0.88924,11,11,true,true
Valerophenone ,-68.181,9593.6,8.5358,168.75,33.542,70.971,-73378.0,-176.56,250.0,90.0,0.99998,0.99998,9.4676,9.4676,1.1834,1.1834,11,11,true,true
2-Dodecanone,-75.076,10367.0,9.3936,171.27,31.898,78.103,-79166.0,-194.66,250.0,90.0,0.99996,0.99996,7.3189,7.3189,0.91487,0.91487,11,11,true,true
C14,-74.168,10388.0,9.239,171.65,31.514,76.817,-79453.0,-194.18,250.0,90.0,0.99996,0.99996,7.6022,7.6022,0.95027,0.95027,11,11,true,true
Indole,-70.25,9366.7,8.9203,160.29,34.157,74.167,-71204.0,-176.19,250.0,90.0,0.99999,0.99999,9.9577,9.9577,1.1064,1.1064,12,12,true,true
2-Tridecanone,-83.705,11314.0,10.532,185.07,32.366,87.572,-86185.0,-214.33,250.0,90.0,0.99999,0.99999,9.3846,9.3846,1.1731,1.1731,11,11,true,true
C15,-80.475,11169.0,10.057,185.15,32.02,83.621,-85338.0,-209.21,250.0,90.0,0.99998,0.99998,8.1509,8.1509,1.1644,1.1644,10,10,true,true
C16,-86.898,11974.0,10.886,198.01,32.43,90.511,-91415.0,-224.72,250.0,90.0,0.99994,0.99994,5.8956,5.8956,0.73695,0.73695,11,11,true,true
2-Pentadecanone,-88.591,12401.0,11.077,210.52,33.212,92.101,-94823.0,-230.05,250.0,90.0,0.99995,0.99995,9.5231,9.5231,1.3604,1.3604,10,10,true,true
Coumarin,-62.511,9309.1,7.7816,183.73,36.279,64.7,-71577.0,-163.91,250.0,90.0,0.99992,0.99992,10.11,10.11,1.1233,1.1233,12,12,true,true
C17,-88.577,12474.0,11.049,210.12,32.735,91.863,-95447.0,-231.24,250.0,90.0,0.99995,0.99995,9.435,9.435,1.3479,1.3479,10,10,true,true
C18,-96.295,13365.0,12.057,221.61,33.083,100.25,-102100.0,-249.29,250.0,90.0,0.99997,0.99997,9.5662,9.5662,1.3666,1.3666,10,10,true,true
C19,-101.32,14061.0,12.696,232.62,33.482,105.56,-107410.0,-261.91,250.0,90.0,0.99998,0.99998,7.3806,7.3806,1.2301,1.2301,9,9,true,true
Indole-3-acetic acid ethyl ester,-95.745,13188.0,12.088,235.2,36.69,100.51,-100610.0,-243.3,250.0,90.0,0.99998,0.99998,7.2036,7.2036,1.2006,1.2006,9,9,true,true
C20,-108.05,14885.0,13.565,243.06,33.806,112.79,-113610.0,-278.06,250.0,90.0,0.99999,0.99999,7.2688,7.2688,1.2115,1.2115,9,9,true,true
C21,-113.59,15623.0,14.271,253.07,34.133,118.66,-119210.0,-291.81,250.0,90.0,0.99999,0.99999,5.9254,5.9254,1.1851,1.1851,8,8,true,true
Triphenylmethane,-90.311,13076.0,11.316,250.06,38.256,94.088,-100260.0,-233.42,250.0,90.0,0.99999,0.99999,4.5991,4.5991,0.76652,0.76652,9,9,true,true
C22,-119.25,16374.0,14.993,262.64,34.416,124.66,-124920.0,-305.91,250.0,90.0,0.99999,0.99999,5.5186,5.5186,1.1037,1.1037,8,8,true,true
C23,-125.26,17149.0,15.763,271.8,34.698,131.06,-130790.0,-320.7,250.0,90.0,0.99999,0.99999,5.2846,5.2846,1.3212,1.3212,7,7,true,true
C24,-130.99,17903.0,16.493,280.59,34.964,137.13,-136510.0,-334.92,250.0,90.0,1.0,1.0,4.9424,4.9424,1.2356,1.2356,7,7,true,true
C25,-136.3,18627.0,17.166,289.03,35.209,142.72,-142030.0,-348.32,250.0,90.0,1.0,1.0,4.424,4.424,1.106,1.106,7,7,true,true
C26,-140.8,19288.0,17.727,297.18,35.441,147.39,-147100.0,-360.03,250.0,90.0,1.0,1.0,3.7719,3.7719,1.2573,1.2573,6,6,true,true
C28,-146.25,20343.0,18.365,312.58,35.789,152.69,-155400.0,-376.17,250.0,90.0,1.0,1.0,2.6585,2.6585,1.3292,1.3292,5,5,true,true
C30,-153.99,21562.0,19.318,326.9,36.112,160.62,-164820.0,-396.97,250.0,90.0,1.0,1.0,2.7019,2.7019,1.351,1.351,5,5,true,true
C32,-164.26,22970.0,20.616,340.32,36.458,171.41,-175560.0,-422.99,250.0,90.0,1.0,1.0,2.4357,2.4357,2.4357,2.4357,4,4,true,true
Benzamide,-77.645,9976.2,9.9273,164.53,34.019,82.54,-75518.0,-191.62,250.0,90.0,0.99999,0.99999,7.7831,7.7831,0.97289,0.97289,11,11,true,true
4-Nitroaniline,-78.65,10929.0,9.9338,204.14,36.814,82.594,-83438.0,-199.68,250.0,90.0,0.99998,0.99998,8.3027,8.3027,1.0378,1.0378,11,11,true,true
1-Naphthol,-85.914,11109.0,10.996,191.61,36.013,91.427,-84134.0,-211.49,250.0,90.0,0.99999,0.99999,8.614,8.614,1.0768,1.0768,11,11,true,true
Resorcinol,-105.07,11684.0,13.734,152.57,31.051,114.19,-86867.0,-245.54,250.0,90.0,0.99992,0.99992,6.1092,6.1092,0.76364,0.76364,11,11,true,true
Hexanophenone,-76.156,10494.0,9.5845,183.37,34.065,79.69,-80076.0,-194.92,250.0,90.0,0.99991,0.99991,5.2598,5.2598,0.58443,0.58443,12,12,true,true
Heptanophenone ,-81.302,11217.0,10.234,197.1,34.528,85.088,-85606.0,-208.02,250.0,90.0,0.99998,0.99998,6.759,6.759,0.84488,0.84488,11,11,true,true
Octanophenone ,-88.785,12099.0,11.208,210.11,34.949,93.188,-92208.0,-225.69,250.0,90.0,0.99999,0.99999,7.3381,7.3381,0.91727,0.91727,11,11,true,true
Tert-butylpyridine,-61.82,8122.8,7.8503,126.88,32.117,65.271,-61663.0,-155.02,250.0,90.0,0.99999,0.99999,7.5115,7.5115,1.0731,1.0731,10,10,true,true
