Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
C7,-7.0955,3843.9,0.08624,43.997,26.354,0.71704,-31700.0,-54.051,250.0,90.0,1.0,2.4408e-21,Inf,3
Propyl acetate,-42.291,5763.8,5.1709,47.513,25.045,42.993,-32310.0,-55.199,250.0,90.0,1.0,5.4465e-23,Inf,3
Toluene ,-38.39,5512.4,4.7175,61.023,28.373,39.223,-31588.0,-48.758,250.0,90.0,0.99999,3.2529e-5,1.6265e-5,5
Pyridine,-52.142,6137.6,6.7269,55.332,27.47,55.93,-30719.0,-47.903,250.0,90.0,1.0,1.8413e-6,1.8413e-6,4
Butyl acetate,-49.995,6575.7,6.2243,69.587,26.442,51.751,-35880.0,-58.868,250.0,90.0,0.99999,2.4214e-5,1.2107e-5,5
C8,-41.857,6016.3,5.0936,67.026,27.015,42.351,-34642.0,-56.021,250.0,90.0,0.99999,2.9609e-5,1.4805e-5,5
Pentyl acetate ,-59.64,7531.4,7.5351,89.881,27.48,62.651,-39868.0,-63.912,250.0,90.0,1.0,2.3057e-5,7.6857e-6,6
2-Hexanone,-52.602,6510.3,6.6723,64.593,26.797,55.477,-33983.0,-54.86,250.0,90.0,1.0,6.8848e-7,6.8848e-7,4
Ethylbenzene,-36.364,5804.7,4.3487,81.927,29.592,36.157,-35133.0,-53.045,250.0,90.0,0.99998,0.00015695,3.9239e-5,7
2-Heptanone,-55.872,7138.3,7.0555,85.857,27.986,58.663,-38048.0,-60.078,250.0,90.0,1.0,1.2993e-5,6.4963e-6,5
C9,-49.906,6886.2,6.1738,87.97,28.004,51.332,-38614.0,-61.021,250.0,90.0,1.0,1.6808e-5,5.6026e-6,6
Hexyl acetate,-63.508,8189.1,8.0034,108.61,28.388,66.544,-43923.0,-69.228,250.0,90.0,1.0,4.4173e-5,8.8347e-6,8
2-Octanone,-60.5,7839.3,7.6332,105.43,28.957,63.466,-42132.0,-65.435,250.0,90.0,1.0,4.8578e-5,9.7155e-6,8
C10,-56.289,7681.1,7.0046,107.2,28.836,58.24,-42714.0,-66.456,250.0,90.0,1.0,4.7295e-5,9.4589e-6,8
"N,N-dimethylisobutyramide ",-60.993,7746.2,7.7392,102.19,29.099,64.347,-41038.0,-63.463,250.0,90.0,1.0,2.0287e-5,4.0574e-6,8
Phenol,-76.795,8667.5,9.991,102.21,28.654,83.07,-41899.0,-65.759,250.0,90.0,0.99999,0.00011796,2.3592e-5,8
Linalool,-68.383,8731.3,8.6845,125.54,30.17,72.207,-46374.0,-70.711,250.0,90.0,1.0,4.4727e-5,7.4544e-6,9
n-Butylbenzene ,-56.972,7765.7,7.1531,119.8,31.162,59.474,-42970.0,-63.625,250.0,90.0,1.0,5.2366e-5,8.7277e-6,9
Aniline,-53.266,7189.8,6.7012,104.98,30.71,55.717,-39546.0,-58.719,250.0,90.0,0.99997,0.00046522,7.7536e-5,9
"N,N-diethylacetamide ",-66.274,8098.5,8.5,107.09,29.71,70.673,-41670.0,-63.753,250.0,90.0,1.0,1.9733e-5,3.9466e-6,8
2-Nonanone,-70.005,8814.5,8.9092,123.51,29.795,74.075,-46387.0,-71.318,250.0,90.0,1.0,2.2446e-5,4.4891e-6,8
C11,-63.85,8547.0,8.0012,124.9,29.549,66.526,-46905.0,-72.199,250.0,90.0,0.99999,0.00012977,2.1629e-5,9
Acetophenone ,-61.613,8016.9,7.8351,122.06,31.745,65.145,-42999.0,-63.117,250.0,90.0,1.0,1.149e-5,2.2979e-6,8
2-Decanone,-72.244,9388.8,9.1397,140.45,30.5,75.991,-50466.0,-76.726,250.0,90.0,0.99999,0.00027137,3.8766e-5,10
Octyl acetate,-75.483,9726.4,9.5527,142.41,29.998,79.426,-52026.0,-79.978,250.0,90.0,1.0,0.0001013,1.6883e-5,9
C12,-68.393,9233.6,8.5683,141.47,30.259,71.241,-50902.0,-77.459,250.0,90.0,0.99999,0.00012828,2.138e-5,9
Propiophenone ,-65.159,8655.9,8.2501,138.96,32.312,68.595,-47059.0,-68.809,250.0,90.0,1.0,9.9469e-5,1.421e-5,10
Naphthalene,-57.57,8101.6,7.2454,145.52,34.586,60.241,-45484.0,-63.312,250.0,90.0,1.0,4.5152e-5,6.4503e-6,10
Butyrophenone ,-69.052,9241.9,8.7346,152.98,32.896,72.623,-50469.0,-73.409,250.0,90.0,1.0,5.5129e-5,9.1882e-6,9
2-Undecanone,-77.177,10096.0,9.7634,156.29,31.244,81.177,-54460.0,-81.986,250.0,90.0,1.0,0.000145,2.4167e-5,9
C13,-76.247,10117.0,9.6049,156.93,30.897,79.86,-55120.0,-83.336,250.0,90.0,1.0,0.00010998,1.833e-5,9
Decyl acetate,-85.226,11137.0,10.779,172.16,31.294,89.621,-60049.0,-90.685,250.0,90.0,0.99999,0.00029918,4.274e-5,10
Valerophenone ,-69.4,9674.6,8.7058,168.74,33.507,72.384,-54153.0,-77.948,250.0,90.0,0.99998,0.00056543,7.0679e-5,11
2-Dodecanone,-79.039,10616.0,9.9512,171.18,31.87,82.739,-58223.0,-86.704,250.0,90.0,0.99999,0.0002944,4.9067e-5,9
C14,-73.738,10365.0,9.1767,171.64,31.484,76.299,-58475.0,-87.026,250.0,90.0,0.99996,0.0013533,0.00016917,11
Indole,-70.493,9384.2,8.9537,160.32,34.144,74.445,-50990.0,-72.825,250.0,90.0,0.99999,0.00052691,5.8546e-5,12
2-Tridecanone,-84.631,11373.0,10.662,185.04,32.362,88.653,-62365.0,-92.422,250.0,90.0,0.99999,0.00054237,6.7796e-5,11
C15,-76.901,10921.0,9.5624,185.19,32.129,79.506,-61931.0,-91.21,250.0,90.0,0.99999,0.00024571,4.0951e-5,9
C16,-82.664,11708.0,10.29,198.13,32.383,85.559,-66279.0,-97.395,250.0,90.0,0.99996,0.0014779,0.00018474,11
2-Pentadecanone,-89.503,12465.0,11.203,210.52,33.201,93.15,-69812.0,-101.91,250.0,90.0,0.99995,0.0012803,0.0001829,10
Coumarin,-64.143,9406.0,8.0136,183.79,36.348,66.629,-54009.0,-73.921,250.0,90.0,0.99998,0.00060865,7.6081e-5,11
C17,-89.484,12538.0,11.174,210.13,32.723,92.907,-70504.0,-103.44,250.0,90.0,0.99995,0.0014156,0.00020223,10
C18,-97.183,13427.0,12.18,221.6,33.074,101.27,-74863.0,-109.78,250.0,90.0,0.99997,0.00095796,0.00013685,10
C19,-101.43,14067.0,12.711,232.62,33.488,105.68,-78582.0,-114.67,250.0,90.0,0.99998,0.00046526,7.7543e-5,9
Indole-3-acetic acid ethyl ester,-94.944,13125.0,11.98,235.3,36.753,99.607,-72956.0,-102.64,250.0,90.0,1.0,5.4167e-5,1.0833e-5,8
C20,-108.03,14883.0,13.564,243.08,33.815,112.77,-82787.0,-120.69,250.0,90.0,0.99999,0.00024822,4.137e-5,9
C21,-113.84,15640.0,14.306,253.07,34.136,118.95,-86843.0,-126.38,250.0,90.0,0.99999,0.00015172,3.0343e-5,8
Triphenylmethane,-90.391,13083.0,11.327,250.04,38.249,94.178,-74575.0,-102.21,250.0,90.0,0.99999,0.00014884,2.4806e-5,9
C22,-119.74,16408.0,15.061,262.63,34.426,125.23,-90949.0,-132.2,250.0,90.0,0.99999,9.5377e-5,1.9075e-5,8
C23,-125.77,17184.0,15.833,271.8,34.71,131.64,-95070.0,-138.06,250.0,90.0,1.0,5.4948e-5,1.3737e-5,7
C24,-131.34,17927.0,16.542,280.59,34.975,137.54,-99109.0,-143.76,250.0,90.0,1.0,3.0362e-5,7.5906e-6,7
C25,-136.13,18613.0,17.143,289.05,35.214,142.53,-103000.0,-149.13,250.0,90.0,1.0,1.7233e-5,4.3082e-6,7
C26,-140.68,19278.0,17.711,297.19,35.446,147.26,-106810.0,-154.35,250.0,90.0,1.0,1.0417e-5,3.4724e-6,6
