Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
Propyl acetate,109-60-4,5,10,2,0,0,102.133,DB5ms,47.51310607595485,25.044521312364036,42.99298843553202,0.001,Boswell.2012
Butyl acetate,123-86-4,6,12,2,0,0,116.16,DB5ms,69.5869218022591,26.44227272948529,51.751421393282335,0.001,Boswell.2012
Pentyl acetate ,628-63-7,7,14,2,0,0,130.19,DB5ms,89.88058095486485,27.479797921497543,62.650713051498585,0.001,Boswell.2012
Hexyl acetate,142-92-7,8,16,2,0,0,144.214,DB5ms,108.60731235799511,28.3882294159022,66.54377992256221,0.001,Boswell.2012
Octyl acetate,112-14-1,10,20,2,0,0,172.268,DB5ms,142.41015936146562,29.99833265035259,79.4255496294266,0.001,Boswell.2012
Decyl acetate,112-17-4,12,24,2,0,0,200.32,DB5ms,172.29034275691873,31.28763550482248,83.71868535852178,0.001,Boswell.2012
2-Hexanone,591-78-6,6,12,1,0,0,100.16,DB5ms,64.59253766659742,26.797396569212786,55.476603279088316,0.001,Boswell.2012
2-Heptanone,110-43-0,7,14,1,0,0,114.19,DB5ms,85.8911081904264,28.008360760988918,54.31333991114305,0.001,Boswell.2012
2-Octanone,111-13-7,8,16,1,0,0,128.21,DB5ms,105.43234443849116,28.957254419706018,63.46603920685373,0.001,Boswell.2012
2-Nonanone,821-55-6,9,18,1,0,0,142.24,DB5ms,123.57526509545914,29.772238914150165,70.05798868313282,0.001,Boswell.2012
2-Decanone,693-54-9,10,20,1,0,0,156.27,DB5ms,140.4465479868212,30.49979065395563,75.99138991750256,0.001,Boswell.2012
2-Undecanone,112-12-9,11,22,1,0,0,170.29,DB5ms,156.25914039730606,31.2396313189346,81.75463386981987,0.001,Boswell.2012
2-Dodecanone,6175-49-1,12,24,1,0,0,184.32,DB5ms,171.27741000893946,31.857078537957914,76.8879449341471,0.001,Boswell.2012
2-Tridecanone,593-08-8,13,26,1,0,0,198.34,DB5ms,185.04417679524238,32.361856121794624,88.6526396390537,0.001,Boswell.2012
2-Pentadecanone,2345-28-0,15,30,1,0,0,226.4,DB5ms,210.52237734162577,33.20052106520616,93.15017067495512,0.001,Boswell.2012
Acetophenone ,98-86-2,8,8,1,0,1,120.151,DB5ms,122.10884471598928,31.731123709039508,62.6774891482598,0.001,Boswell.2012
Propiophenone ,93-55-0,9,10,1,0,1,134.178,DB5ms,138.95532859653673,32.31201500770563,68.59509951017087,0.001,Boswell.2012
Butyrophenone ,495-40-9,10,12,1,0,1,148.2,DB5ms,153.16237417471802,32.899632864589314,66.29806635114005,0.001,Boswell.2012
Valerophenone ,1009-14-9,11,14,1,0,1,162.23,DB5ms,168.7418416788875,33.50733244998638,72.3838397750733,0.001,Boswell.2012
Hexanophenone,942-92-7,12,16,1,0,1,176.25,DB5ms,183.49076249534818,34.01632538639208,74.21590832720582,0.001,Boswell.2012
Heptanophenone ,1671-75-6,13,18,1,0,1,190.28,DB5ms,197.1225436591322,34.523917710928615,82.69479773976276,0.001,Boswell.2012
Octanophenone ,1674-37-9,14,20,1,0,1,204.31,DB5ms,210.09874214453112,34.92995280711379,91.90937989149849,0.001,Boswell.2012
Tri-n-hexylamine ,102-86-3,18,39,0,1,0,269.5,DB5ms,213.83847457870786,33.19823009476073,101.38456336484273,0.001,Boswell.2012
Tri-n-octylamine ,1116-76-3,24,51,0,1,0,353.7,DB5ms,271.0785730826591,34.83272324249351,129.45317607563837,0.001,Boswell.2012
Tri-n-decylamine,102-87-4,36,75,0,1,0,522.0,DB5ms,316.7527118243387,35.77684420355345,151.15681134659928,0.001,Boswell.2012
Aniline,62-53-3,6,7,0,1,1,93.13,DB5ms,104.97822974646948,30.709853358255444,55.71686217549104,0.001,Boswell.2012
4-Ethylaniline,589-16-2,8,11,0,1,1,121.18,DB5ms,139.3862197645181,32.458384509362965,69.12511336440963,0.001,Boswell.2012
4-Butylaniline,104-13-2,10,15,0,1,1,149.23,DB5ms,170.4474852552941,33.87102607018063,74.22241701793118,0.001,Boswell.2012
4-Hexylaniline,33228-45-4,12,19,0,1,1,177.29,DB5ms,198.60455522305034,34.89021897221098,84.81612227578216,0.001,Boswell.2012
4-Octylaniline,16245-79-7,14,23,0,1,1,205.34,DB5ms,223.9381840904993,35.740120571317036,97.6371045503518,0.001,Boswell.2012
4-Decylaniline,37529-30-9,16,27,0,1,1,233.39,DB5ms,246.82905330231074,36.464792764938615,106.7257443818567,0.001,Boswell.2012
4-Dodecylaniline,104-42-7,18,31,0,1,1,261.4,DB5ms,267.5963783092667,37.02045057753974,116.51085751501381,0.001,Boswell.2012
4-Nitroaniline,100-01-6,6,6,2,2,1,138.12,DB5ms,204.1191519666708,36.82412599863072,82.67175845048163,0.001,Boswell.2012
Toluene ,108-88-3,7,8,0,0,1,92.14,DB5ms,61.02338320426651,28.372570832374038,39.22326122532605,0.001,Boswell.2012
Ethylbenzene,100-41-4,8,10,0,0,1,106.16,DB5ms,81.92683381195968,29.591881037298556,36.157398391403085,0.001,Boswell.2012
n-Butylbenzene ,104-51-8,10,14,0,0,1,134.22,DB5ms,119.79522769377166,31.161899553070565,59.474188653117245,0.001,Boswell.2012
Phenol,108-95-2,6,6,1,0,1,94.11,DB5ms,102.21238954538893,28.65371700590899,83.06972865914062,0.001,Boswell.2012
Linalool,78-70-6,10,18,1,0,0,154.25,DB5ms,125.54482063056724,30.169566290545,72.20732130130524,0.001,Boswell.2012
"N,N-dimethylisobutyramide ",21678-37-5,6,13,1,1,0,115.17,DB5ms,102.18757975271632,29.098676415320583,64.34705916893822,0.001,Boswell.2012
"N,N-diethylacetamide ",685-91-6,6,13,1,1,0,115.17,DB5ms,107.09043282486954,29.710236074623452,70.67309696365741,0.001,Boswell.2012
