Number,Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass
1,Propyl acetate,109-60-4,5,10,2,0,0,102.133
2,Butyl acetate,123-86-4,6,12,2,0,0,116.16
3,Pentyl acetate ,628-63-7,7,14,2,0,0,130.19
4,Hexyl acetate,142-92-7,8,16,2,0,0,144.214
5,Octyl acetate,112-14-1,10,20,2,0,0,172.268
6,Decyl acetate,112-17-4,12,24,2,0,0,200.32
7,2-Hexanone,591-78-6,6,12,1,0,0,100.16
8,2-Heptanone,110-43-0,7,14,1,0,0,114.19
9,2-Octanone,111-13-7,8,16,1,0,0,128.21
10,2-Nonanone,821-55-6,9,18,1,0,0,142.24
11,2-Decanone,693-54-9,10,20,1,0,0,156.27
12,2-Undecanone,112-12-9,11,22,1,0,0,170.29
13,2-Dodecanone,6175-49-1,12,24,1,0,0,184.32
14,2-Tridecanone,593-08-8,13,26,1,0,0,198.34
15,2-Pentadecanone,2345-28-0,15,30,1,0,0,226.4
16,Acetophenone ,98-86-2,8,8,1,0,1,120.151
17,Propiophenone ,93-55-0,9,10,1,0,1,134.178
18,Butyrophenone ,495-40-9,10,12,1,0,1,148.20
19,Valerophenone ,1009-14-9,11,14,1,0,1,162.23
20,Hexanophenone,942-92-7,12,16,1,0,1,176.25
21,Heptanophenone ,1671-75-6,13,18,1,0,1,190.28
22,Octanophenone ,1674-37-9,14,20,1,0,1,204.31
23,Tri-n-hexylamine ,102-86-3,18,39,0,1,0,269.5
24,Tri-n-octylamine ,1116-76-3,24,51,0,1,0,353.7
25,Tri-n-decylamine,102-87-4,36,75,0,1,0,522
26,Aniline,62-53-3,6,7,0,1,1,93.13
27,4-Ethylaniline,589-16-2,8,11,0,1,1,121.18
28,4-Butylaniline,104-13-2,10,15,0,1,1,149.23
29,4-Hexylaniline,33228-45-4,12,19,0,1,1,177.29
30,4-Octylaniline,16245-79-7,14,23,0,1,1,205.34
31,4-Decylaniline,37529-30-9,16,27,0,1,1,233.39
32,4-Dodecylaniline,104-42-7,18,31,0,1,1,261.4
33,4-Nitroaniline,100-01-6,6,6,2,2,1,138.12
34,Toluene ,108-88-3,7,8,0,0,1,92.14
35,Ethylbenzene,100-41-4,8,10,0,0,1,106.16
36,n-Butylbenzene ,104-51-8,10,14,0,0,1,134.22
37,Phenol,108-95-2,6,6,1,0,1,94.11
38,Linalool,78-70-6,10,18,1,0,0,154.25
39,"N,N-dimethylisobutyramide ",21678-37-5,6,13,1,1,0,115.17
40,"N,N-diethylacetamide ",685-91-6,6,13,1,1,0,115.17
41,Naphthalene,91-20-3,10,8,0,0,2,128.17
42,1-Naphthol,90-15-3,10,8,1,0,2,144.17
43,Anthracene,120-12-7,14,10,0,0,3,178.23
44,Coumarin,91-64-5,9,6,2,0,2,146.14
45,Indole,120-72-9,8,7,0,1,2,117.15
46,Indole-3-acetic acid ethyl ester,778-82-5,12,13,2,1,2,203.24
47,Triphenylmethane,519-73-3,19,16,0,0,3,244.3
48,Benzamide,55-21-0,7,7,1,1,1,121.14
49,Resorcinol,108-46-3,6,6,2,0,1,110.11
50,Pyridine,110-86-1,5,5,0,1,1,79.1
51,4-Methylpyridine,108-89-4,6,7,0,1,1,93.13
52,Tert-butylpyridine,3978-81-2,9,13,0,1,1,135.21
53,1-Octanol,111-87-5,8,18,1,0,0,130.23
54,Octanoic acid,124-07-2,8,16,2,0,0,144.21
55,Decanoic acid ,334-48-5,10,20,2,0,0,172.26
56,Dextromethorphan,125-71-3,18,25,1,1,4,271.40
57,Lidocaine,137-58-6,14,22,1,2,1,234.34
58,Caffeine,58-08-2,8,10,2,4,2,194.19
59,"(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol",56571-91-6,13,19,1,1,2,205.3
60,Diphenylamine,122-39-4,12,11,0,1,2,169.22
61,Benzocaine,94-09-7,9,11,2,1,1,165.19
62,Nikethamide,59-26-7,10,14,1,2,1,178.231
63,Nicotine,54-11-5,10,14,0,2,2,162.236
C7,C7,142-82-5,7,16,0,0,0,100.21
C8,C8,111-65-9,8,18,0,0,0,114.2
C9,C9,111-84-2,9,20,0,0,0,128.26
C10,C10,124-18-5,10,22,0,0,0,142.28
C11,C11,1120-21-4,11,24,0,0,0,156.31
C12,C12,112-40-3,12,26,0,0,0,170.34
C13,C13,629-50-5,13,28,0,0,0,184.37
C14,C14,629-59-4,14,30,0,0,0,198.39
C15,C15,629-62-9,15,32,0,0,0,212.42
C16,C16,544-76-3,16,34,0,0,0,226.45
C17,C17,629-78-7,17,36,0,0,0,240.47
C18,C18,593-45-3,18,38,0,0,0,254.5
C19,C19,629-92-5,19,40,0,0,0,268.53
C20,C20,112-95-8,20,42,0,0,0,282.55
C21,C21,629-94-7,21,44,0,0,0,296.58
C22,C22,629-97-0,22,46,0,0,0,310.61
C23,C23,638-67-5,23,48,0,0,0,324.63
C24,C24,646-31-1,24,50,0,0,0,338.66
C25,C25,629-99-2,25,52,0,0,0,352.69
C26,C26,630-01-3,26,54,0,0,0,366.71
C28,C28,630-02-4,28,58,0,0,0,394.77
C30,C30,638-68-6,30,62,0,0,0,422.82
C32,C32,544-85-4,32,66,0,0,0,450.88
C34,C34,14167-59-0,34,70,0,0,0,478.93
C36,C36,630-06-8,36,74,0,0,0,506.98
