Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
Heptane,142-82-5,DB5ms,43.997,26.354,0.71704,0.001,Boswell2012,alkanes,alkane,
Propyl acetate,109-60-4,DB5ms,47.513,25.045,42.993,0.001,Boswell2012,carboxylate esters,,
Toluene,108-88-3,DB5ms,61.023,28.373,39.223,0.001,Boswell2012,BTEX,,
Pyridine,110-86-1,DB5ms,55.332,27.47,55.93,0.001,Boswell2012,,,
Butyl acetate,123-86-4,DB5ms,69.587,26.442,51.751,0.001,Boswell2012,carboxylate esters,,
Octane,111-65-9,DB5ms,67.026,27.015,42.351,0.001,Boswell2012,alkanes,alkane,
Pentyl acetate,628-63-7,DB5ms,89.881,27.48,62.651,0.001,Boswell2012,carboxylate esters,,
2-Hexanone,591-78-6,DB5ms,64.593,26.797,55.477,0.001,Boswell2012,alkanones,ketone,
Ethylbenzene,100-41-4,DB5ms,81.927,29.592,36.157,0.001,Boswell2012,BTEX,aromatic,
2-Heptanone,110-43-0,DB5ms,85.857,27.986,58.663,0.001,Boswell2012,alkanones,ketone,
Nonane,111-84-2,DB5ms,87.97,28.004,51.332,0.001,Boswell2012,alkanes,alkane,
Hexyl acetate,142-92-7,DB5ms,108.61,28.388,66.544,0.001,Boswell2012,carboxylate esters,,
2-Octanone,111-13-7,DB5ms,105.43,28.957,63.466,0.001,Boswell2012,alkanones,ketone,
Decane,124-18-5,DB5ms,107.2,28.836,58.24,0.001,Boswell2012,Grob,alkane,alkanes
"N,N-dimethylisobutyramide",21678-37-5,DB5ms,102.19,29.099,64.347,0.001,Boswell2012,,,
Phenol,108-95-2,DB5ms,102.21,28.654,83.07,0.001,Boswell2012,aromatic,,
Linalool,78-70-6,DB5ms,125.54,30.17,72.207,0.001,Boswell2012,allergenic fragrances,terpene,
n-Butylbenzene,104-51-8,DB5ms,119.8,31.162,59.474,0.001,Boswell2012,aromatic,,
Aniline,62-53-3,DB5ms,104.98,30.71,55.717,0.001,Boswell2012,anilines,aromatic,
"N,N-diethylacetamide",685-91-6,DB5ms,107.09,29.71,70.673,0.001,Boswell2012,,,
2-Nonanone,821-55-6,DB5ms,123.51,29.795,74.075,0.001,Boswell2012,alkanones,ketone,
Undecane,1120-21-4,DB5ms,124.9,29.549,66.526,0.001,Boswell2012,Grob,alkane,alkanes
Acetophenone,98-86-2,DB5ms,122.06,31.745,65.145,0.001,Boswell2012,phenones,aromatic,
2-Decanone,693-54-9,DB5ms,140.45,30.5,75.991,0.001,Boswell2012,alkanones,ketone,
Octyl acetate,112-14-1,DB5ms,142.41,29.998,79.426,0.001,Boswell2012,carboxylate esters,,
Dodecane,112-40-3,DB5ms,141.47,30.259,71.241,0.001,Boswell2012,alkanes,alkane,
Propiophenone,93-55-0,DB5ms,138.96,32.312,68.595,0.001,Boswell2012,phenones,phenone,
Naphthalene,91-20-3,DB5ms,145.52,34.586,60.241,0.001,Boswell2012,PAH,,
Butyrophenone,495-40-9,DB5ms,152.98,32.896,72.623,0.001,Boswell2012,phenones,phenone,
2-Undecanone,112-12-9,DB5ms,156.29,31.244,81.177,0.001,Boswell2012,alkanones,ketone,
Tridecane,629-50-5,DB5ms,156.93,30.897,79.86,0.001,Boswell2012,alkanes,alkane,
Decyl acetate,112-17-4,DB5ms,172.16,31.294,89.621,0.001,Boswell2012,carboxylate esters,,
Valerophenone,1009-14-9,DB5ms,168.74,33.507,72.384,0.001,Boswell2012,phenones,phenone,
2-Dodecanone,6175-49-1,DB5ms,171.18,31.87,82.739,0.001,Boswell2012,alkanones,ketone,
Tetradecane,629-59-4,DB5ms,171.64,31.484,76.299,0.001,Boswell2012,alkanes,alkane,
Indole,120-72-9,DB5ms,160.32,34.144,74.445,0.001,Boswell2012,,,
2-Tridecanone,593-08-8,DB5ms,185.04,32.362,88.653,0.001,Boswell2012,alkanones,ketone,
Pentadecane,629-62-9,DB5ms,185.19,32.129,79.506,0.001,Boswell2012,alkanes,alkane,
Hexadecane,544-76-3,DB5ms,198.13,32.383,85.559,0.001,Boswell2012,alkanes,alkane,
2-Pentadecanone,2345-28-0,DB5ms,210.52,33.201,93.15,0.001,Boswell2012,alkanones,ketone,
Coumarin,91-64-5,DB5ms,183.79,36.348,66.629,0.001,Boswell2012,allergenic fragrances,,
Heptadecane,629-78-7,DB5ms,210.13,32.723,92.907,0.001,Boswell2012,alkanes,alkane,
Octadecane,593-45-3,DB5ms,221.6,33.074,101.27,0.001,Boswell2012,alkanes,alkane,
Nonadecane,629-92-5,DB5ms,232.62,33.488,105.68,0.001,Boswell2012,alkanes,alkane,
Indole-3-acetic acid ethyl ester,778-82-5,DB5ms,235.3,36.753,99.607,0.001,Boswell2012,,,
Eicosane,112-95-8,DB5ms,243.08,33.815,112.77,0.001,Boswell2012,alkanes,alkane,
Heneicosane,629-94-7,DB5ms,253.07,34.136,118.95,0.001,Boswell2012,alkanes,alkane,
Triphenylmethane,519-73-3,DB5ms,250.04,38.249,94.178,0.001,Boswell2012,,,
Docosane,629-97-0,DB5ms,262.63,34.426,125.23,0.001,Boswell2012,alkanes,alkane,
Tricosane,638-67-5,DB5ms,271.8,34.71,131.64,0.001,Boswell2012,alkanes,alkane,
Tetracosane,646-31-1,DB5ms,280.59,34.975,137.54,0.001,Boswell2012,alkanes,alkane,
Pentacosane,629-99-2,DB5ms,289.05,35.214,142.53,0.001,Boswell2012,alkanes,alkane,
Hexacosane,630-01-3,DB5ms,297.19,35.446,147.26,0.001,Boswell2012,alkanes,alkane,
Octacosane,630-02-4,DB5ms,312.58,35.826,154.82,0.001,Boswell2012,alkanes,alkane,
