Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Ethyl butyrate,-68.8174,7420.2,9.0267,69.57323415608215,27.14853214873012,75.05215971528385,-54940.28114484512,-159.4071059972092,90.0,250.0,-0.2179112983453508
D-Limonene,-60.4796,7796.4,7.7145,117.34474079202221,31.874671257068716,64.14192186774316,-59050.103388073025,-150.08701119907843,90.0,250.0,-0.19453567034824018
Eucalyptol,-68.2129,8165.7,8.8576,118.44314464620555,32.64660941186664,73.64618408655413,-61265.250833264035,-162.11361170367186,90.0,250.0,-0.22357783576600843
Benzoic acid,-105.154,11092.0,13.8959,136.16981169598375,31.002699888961093,115.5369410955956,-81825.69466195213,-238.86781623135084,90.0,250.0,-0.2774187794003719
Geraniol,-86.5375,10383.0,11.1781,152.57283439988186,32.22485736876267,92.93989459197873,-77964.47485100699,-208.36107778199582,90.0,250.0,-0.24618177308335815
Cinnamic aldehyde,-74.9637,9544.0,9.621,158.56463948849233,34.575354383447454,79.99344484925233,-72153.82119122181,-183.33415982350544,90.0,250.0,-0.2308813152123054
Hydroxycitronellal,-86.0447,10470.0,11.0897,157.76845374933055,32.62744069088926,92.20489609653399,-78753.98296337636,-208.30606243669527,90.0,250.0,-0.24497162092942165
Thymol,-104.4491,11567.0,13.7069,158.32882494135373,32.935040766849326,113.96550766076463,-85916.49341470971,-241.6495363329783,90.0,250.0,-0.27665187897204313
Cinnamyl alcohol,-80.8089,10096.0,10.3939,162.71368163798417,34.13370318475906,86.41969300682295,-76165.04222226104,-196.59071495818554,90.0,250.0,-0.23998173470385362
Vanillin,-85.1955,10665.0,10.9715,177.22693104652922,35.438571568677204,91.22212661506828,-80463.75242724815,-206.65046587922993,90.0,250.0,-0.24932511783946287
Cinnamyl acetate,-87.0583,11113.0,11.1349,181.62126888150937,34.18931786612291,92.58070980687451,-84066.35919291824,-214.66669786808177,90.0,250.0,-0.24448756081229367
Benzyl salicylate,-91.9069,12735.0,11.6265,237.8696888147212,38.4391169659487,96.66809962995863,-97184.55247548522,-232.50033524305184,90.0,250.0,-0.25131941249095757
"2,3-Butanediol",-151.6313,11425.0,21.1835,64.89037504295044,26.79831927633842,176.12941887164914,-79141.08771395234,-292.0544944520335,90.0,250.0,-0.32358178514792857
C10g,-68.2384,8284.1,8.7613,109.32006537077586,29.65304230090802,72.84550133642598,-62321.744654764916,-166.72923323245615,90.0,250.0,-0.20865417137421197
1-Octanol,-95.3708,10075.0,12.6077,121.66841281264288,30.581518154984092,104.82625035089059,-74333.84834631374,-216.43252607907962,90.0,250.0,-0.2674220193463477
C11g,-73.7645,9040.1,9.4613,126.89057510049304,30.45223403168648,78.66562516913324,-68083.66724914512,-180.66621176898977,90.0,250.0,-0.2191908449298892
Nonanal,-81.0839,9404.2,10.5383,128.24407796702428,31.138640746096407,87.62030140888427,-70305.04222683712,-192.2740744782412,90.0,250.0,-0.2406871111713928
"2,6-Dimethylphenol",-84.3535,9445.9,11.0772,130.35351167793925,32.71868640495032,92.10096531380707,-70248.49556657104,-194.81624278076086,90.0,250.0,-0.255364896580226
2-Ethylhexanoic acid,-130.8548,12421.0,17.5805,127.12291889275429,29.75823766494063,146.17241005844303,-90118.42327482151,-284.0669086310128,90.0,250.0,-0.3021316800300778
"2,6-Xylidine",-75.5619,9128.7,9.8029,142.12654182975797,34.096859819430726,81.50584559949438,-68564.70879838099,-179.98995509008856,90.0,250.0,-0.23814766075028235
C10 FAME,-90.2938,10984.0,11.6153,161.92277270144848,31.91777123995389,96.57497764863533,-82634.309409418,-219.60042876711123,90.0,250.0,-0.2472922823378942
Dicyclohexylamine,-86.3265,10716.0,11.1558,181.13591463065927,36.539106169973415,92.7544820755939,-80749.87802932666,-207.626459720179,90.0,250.0,-0.25520992087854605
C11 FAME,-94.0772,11639.0,12.0653,176.0591820612293,32.44634391918732,100.31648582680428,-87743.54668827317,-230.4797837767187,90.0,250.0,-0.2507787043316513
