Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Ethyl butyrate,-68.817,7420.2,9.0267,69.573,27.149,75.052,-35973.0,-59.054,-34440.0,-54.709,90.0,250.0,-0.21791,ester
D-Limonene,-60.48,7796.4,7.7145,117.34,31.875,64.142,-39776.0,-55.952,-41530.0,-60.609,90.0,250.0,-0.19454,terpene
Eucalyptol,-68.213,8165.7,8.8576,118.44,32.647,73.646,-39054.0,-53.823,-41149.0,-59.377,90.0,250.0,-0.22358,terpene
Benzoic acid,-105.15,11092.0,13.896,136.17,31.003,115.54,-44932.0,-63.866,-50267.0,-77.693,90.0,250.0,-0.27742,carboxylic acid
Geraniol,-86.538,10383.0,11.178,152.57,32.225,92.94,-46762.0,-63.934,-52578.0,-78.709,90.0,250.0,-0.24618,terpene
Cinnamic aldehyde,-74.964,9544.0,9.621,158.56,34.575,79.993,-44819.0,-57.908,-50304.0,-71.743,90.0,250.0,-0.23088,aldehyde
Hydroxycitronellal,-86.045,10470.0,11.09,157.77,32.627,92.205,-47320.0,-63.903,-53568.0,-79.68,90.0,250.0,-0.24497,aldehyde
Thymol,-104.45,11567.0,13.707,158.33,32.935,113.97,-47000.0,-63.019,-54787.0,-82.667,90.0,250.0,-0.27665,terpene
Cinnamyl alcohol,-80.809,10096.0,10.394,162.71,34.134,86.42,-46276.0,-60.262,-52560.0,-76.035,90.0,250.0,-0.23998,alcohol
Vanillin,-85.196,10665.0,10.972,177.23,35.439,91.222,-47589.0,-59.758,-55546.0,-79.395,90.0,250.0,-0.24933,aldehyde
Cinnamyl acetate,-87.058,11113.0,11.135,181.62,34.189,92.581,-50296.0,-64.687,-58778.0,-85.516,90.0,250.0,-0.24449,ester
Benzyl salicylate,-91.907,12735.0,11.626,237.87,38.439,96.668,-56485.0,-64.627,-70780.0,-97.648,90.0,250.0,-0.25132,ester
"2,3-Butanediol",-151.63,11425.0,21.184,64.89,26.798,176.13,-35454.0,-58.973,-31031.0,-46.353,90.0,250.0,-0.32358,alcohol
C10,-68.238,8284.1,8.7613,109.32,29.653,72.846,-41017.0,-61.333,-42424.0,-65.109,90.0,250.0,-0.20865,alkane
1-Octanol,-95.371,10075.0,12.608,121.67,30.582,104.83,-42381.0,-61.435,-45701.0,-70.199,90.0,250.0,-0.26742,alcohol
C11,-73.764,9040.1,9.4613,126.89,30.452,78.666,-43694.0,-63.316,-46596.0,-70.927,90.0,250.0,-0.21919,alkane
Nonanal,-81.084,9404.2,10.538,128.24,31.139,87.62,-43021.0,-61.27,-46372.0,-70.043,90.0,250.0,-0.24069,aldehyde
"2,6-Dimethylphenol",-84.354,9445.9,11.077,130.35,32.719,92.101,-41375.0,-56.63,-45091.0,-66.335,90.0,250.0,-0.25536,aromatic
2-Ethylhexanoic acid,-130.85,12421.0,17.58,127.12,29.758,146.17,-44765.0,-65.928,-50191.0,-80.155,90.0,250.0,-0.30213,carboxylic acid
"2,6-Xylidine",-75.562,9128.7,9.8029,142.13,34.097,81.506,-42053.0,-55.357,-46301.0,-66.289,90.0,250.0,-0.23815,amine
C10 FAME,-90.294,10984.0,11.615,161.92,31.918,96.575,-49309.0,-67.427,-56255.0,-84.878,90.0,250.0,-0.24729,FAME
Dicyclohexylamine,-86.326,10716.0,11.156,181.14,36.539,92.754,-46961.0,-57.465,-55414.0,-78.233,90.0,250.0,-0.25521,amine
C11 FAME,-94.077,11639.0,12.065,176.06,32.446,100.32,-51709.0,-69.203,-60342.0,-90.538,90.0,250.0,-0.25078,FAME
C12 FAME,-98.831,12348.0,12.654,189.36,32.934,105.21,-54005.0,-70.856,-64459.0,-96.302,90.0,250.0,-0.25584,FAME
