Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Heptane,-56.55748458403482,6293.005670115295,7.338538015286972,44.73291724156303,25.516211069698507,61.016,-30165.0,-49.551,90.0,250.0,-0.18172649634107502
Octane,-61.75303583022378,7049.071815180996,7.987768187807608,67.3400267517552,26.77869836835011,66.414,-34491.0,-55.531,90.0,250.0,-0.19408684047118804
nonane,-66.97767391982408,7807.314264456726,8.636036181487901,87.41545942889718,27.699715859288744,71.804,-38838.0,-61.808,90.0,250.0,-0.20431704082611454
Decane,-71.70035302835711,8537.676228769556,9.215147571018628,106.42940035623639,28.58856192663464,76.619,-43162.0,-67.876,90.0,250.0,-0.21257027744214535
Undecane,-78.31619844635772,9353.359058973483,10.078221990805229,124.73248151590315,29.62722998632418,83.795,-47338.0,-73.406,90.0,250.0,-0.2263706709228437
dodecane,-86.39433676210957,10281.599464210189,11.134333540435406,141.24291225497797,30.298744742145292,92.576,-51867.0,-80.028,90.0,250.0,-0.24000616584792192
Tridecane,-92.08657407225296,11061.08461528295,11.853682495945952,156.6517812796418,30.96190259411327,98.557,-56176.0,-86.118,90.0,250.0,-0.24762090709667348
Tetradecane,-97.31395990198749,11809.560269790403,12.507843835023337,171.1120669866889,31.564865850147076,103.996,-60424.0,-92.08,90.0,250.0,-0.25376014009964404
Pentadecane,-102.51625923161535,12553.423184814697,13.159238909934743,184.7354980554896,32.11690820802651,109.412,-64641.99999999999,-97.992,90.0,250.0,-0.2593949597275685
1-octanol,-85.63936333465094,9637.772539267085,11.152855483111987,119.49202869128334,29.316746654457994,92.73,-46458.0,-72.689,90.0,250.0,-0.24365166767653876
1-nonanol,-91.54531450053506,10430.242420076229,11.904317157418939,136.58015373212243,30.233807123910108,98.978,-50778.0,-78.715,90.0,250.0,-0.2519939787130265
2-octanol,-81.52127239327433,9086.414651146802,10.62882883219083,107.02026040410192,28.64436220201655,88.373,-43456.0,-68.49,90.0,250.0,-0.23732127195789157
2-nonanol,-86.7105755311278,9845.303426017677,11.274571106415225,124.8377504791834,29.56130154730174,93.742,-47816.0,-74.618,90.0,250.0,-0.2445498320327446
5-nonanol,-84.04324769554101,9625.928893499167,10.910266142990807,122.90952915895252,29.569962300244857,90.713,-47092.0,-73.325,90.0,250.0,-0.24009935939322527
5-decanol,-89.5523080390452,10398.58279129574,11.60219300155161,139.53393617559698,30.354993683698794,96.466,-51427.0,-79.464,90.0,250.0,-0.24752722261186796
2-octanone,-75.4208268188261,8660.76799031834,9.780307367364397,105.27917264619555,28.874954415517063,81.318,-42479.0,-66.411,90.0,250.0,-0.22540428425167922
2-decanone,-85.72411052138504,10159.381132530962,11.066379659836265,140.19136260205232,30.590028677236035,92.011,-51056.0,-78.351,90.0,250.0,-0.24097684272192277
