Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Heptane,-56.557,6293.0,7.3385,44.733,25.516,61.016,-32927.0,-57.674,-30165.0,-49.551,90.0,250.0,-0.18173,alkane
Octane,-61.753,7049.1,7.9878,67.34,26.779,66.414,-35996.0,-59.81,-34491.0,-55.531,90.0,250.0,-0.19409,alkane
Nonane,-66.978,7807.3,8.636,87.415,27.7,71.804,-39024.0,-62.321,-38838.0,-61.808,90.0,250.0,-0.20432,alkane
Decane,-71.7,8537.7,9.2151,106.43,28.589,76.619,-41903.0,-64.486,-43162.0,-67.876,90.0,250.0,-0.21257,alkane
Undecane,-78.316,9353.4,10.078,124.73,29.627,83.795,-44428.0,-65.752,-47338.0,-73.406,90.0,250.0,-0.22637,alkane
Dodecane,-86.394,10282.0,11.134,141.24,30.299,92.576,-47123.0,-67.808,-51867.0,-80.028,90.0,250.0,-0.24001,alkane
Tridecane,-92.087,11061.0,11.854,156.65,30.962,98.557,-49607.0,-69.51,-56176.0,-86.118,90.0,250.0,-0.24762,alkane
Tetradecane,-97.314,11810.0,12.508,171.11,31.565,104.0,-51989.0,-71.115,-60424.0,-92.08,90.0,250.0,-0.25376,alkane
Pentadecane,-102.52,12553.0,13.159,184.74,32.117,109.41,-54277.0,-72.63,-64642.0,-97.992,90.0,250.0,-0.25939,alkane
1-Octanol,-85.639,9637.8,11.153,119.49,29.317,92.73,-43723.0,-65.448,-46458.0,-72.689,90.0,250.0,-0.24365,alcohol
1-Nonanol,-91.545,10430.0,11.904,136.58,30.234,98.978,-46168.0,-66.77,-50778.0,-78.715,90.0,250.0,-0.25199,alcohol
2-Octanol,-81.521,9086.4,10.629,107.02,28.644,88.373,-41952.0,-64.442,-43456.0,-68.49,90.0,250.0,-0.23732,alcohol
2-Nonanol,-86.711,9845.3,11.275,124.84,29.561,93.742,-44550.0,-66.031,-47816.0,-74.618,90.0,250.0,-0.24455,alcohol
5-Nonanol,-84.043,9625.9,10.91,122.91,29.57,90.713,-44107.0,-65.456,-47092.0,-73.325,90.0,250.0,-0.2401,alcohol
5-Decanol,-89.552,10399.0,11.602,139.53,30.355,96.466,-46649.0,-67.129,-51427.0,-79.464,90.0,250.0,-0.24753,alcohol
2-Octanone,-75.421,8660.8,9.7803,105.28,28.875,81.318,-41237.0,-63.06,-42479.0,-66.411,90.0,250.0,-0.2254,ketone
2-Decanone,-85.724,10159.0,11.066,140.19,30.59,92.011,-46438.0,-66.439,-51056.0,-78.351,90.0,250.0,-0.24098,ketone
