Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Heptane,-47.648,5492.9,6.1215,28.235,24.9,50.897,-27187.0,-45.241,90.0,250.0,-0.15164,alkane
Octane,-54.304,6285.7,6.9943,51.05,26.157,58.154,-31144.0,-50.545,90.0,250.0,-0.17335,alkane
Nonane,-58.701,6965.4,7.5355,71.902,27.274,62.654,-35161.0,-56.076,90.0,250.0,-0.18388,alkane
Decane,-62.816,7628.4,8.0361,91.118,28.225,66.816,-39162.0,-61.601,90.0,250.0,-0.1924,alkane
undecane,-69.788,8452.0,8.946,108.95,29.004,74.381,-43262.0,-67.409,90.0,250.0,-0.2086,alkane
dodecane,-75.598,9211.1,9.6882,125.51,29.712,80.552,-47333.0,-73.163,90.0,250.0,-0.21964,alkane
tridecane,-80.041,9886.5,10.237,140.98,30.369,85.114,-51292.0,-78.651,90.0,250.0,-0.22643,alkane
tetradecane,-84.169,10541.0,10.741,155.5,30.95,89.308,-55211.0,-84.056,90.0,250.0,-0.23198,alkane
pentadecane,-88.112,11182.0,11.22,169.18,31.461,93.29,-59093.0,-89.389,90.0,250.0,-0.23675,alkane
1-octanol,-74.863,8983.4,9.6415,121.98,30.177,80.164,-45581.0,-69.726,90.0,250.0,-0.22308,alcohol
1-nonanol,-79.839,9696.4,10.265,138.26,30.925,85.349,-49626.0,-75.354,90.0,250.0,-0.23112,alcohol
2-octanol,-72.726,8544.9,9.3886,107.11,29.065,78.061,-42698.0,-66.461,90.0,250.0,-0.21855,alcohol
2-nonanol,-76.078,9162.8,9.7813,124.17,29.919,81.326,-46650.0,-71.822,90.0,250.0,-0.22313,alcohol
5-nonanol,-75.928,9071.8,9.7799,121.56,29.894,81.315,-45898.0,-70.65,90.0,250.0,-0.22411,alcohol
5-decanol,-79.344,9693.1,10.179,137.35,30.558,84.635,-49858.0,-76.158,90.0,250.0,-0.22803,alcohol
2-octanone,-71.466,8538.9,9.2,110.7,29.424,76.493,-43218.0,-66.799,90.0,250.0,-0.21544,ketone
2-decanone,-79.962,9862.4,10.245,143.13,30.958,85.182,-51067.0,-77.525,90.0,250.0,-0.22897,ketone
