Compound,DeltaCp,abs,DeltaHref,abs,DeltaSref,abs,Cat
,(j/mol∙K),err,(kJ/mol),err,(J/mol∙K),err,
Heptane,50.897,0.090,-27.187,0.020,-45.241,0.081,alkane
Octane,58.154,0.060,-31.144,0.012,-50.545,0.053,alkane
Nonane,62.654,0.054,-35.161,0.010,-56.076,0.048,alkane
Decane,66.816,0.053,-39.162,0.009,-61.601,0.047,alkane
Undecane,74.381,0.121,-43.262,0.019,-67.409,0.110,alkane
Dodecane,80.552,0.091,-47.333,0.013,-73.163,0.083,alkane
Tridecane,85.114,0.078,-51.292,0.011,-78.651,0.070,alkane
Tetradecane,89.308,0.069,-55.211,0.009,-84.056,0.062,alkane
Pentadecane,93.290,0.063,-59.093,0.008,-89.389,0.057,alkane
1-Octanol,80.164,0.048,-45.581,0.007,-69.726,0.043,alcohol
1-Nonanol,85.349,0.054,-49.626,0.007,-75.354,0.048,alcohol
2-Octanol,78.061,0.077,-42.698,0.011,-66.461,0.070,alcohol
2-Nonanol,81.326,0.058,-46.650,0.008,-71.822,0.052,alcohol
5-Nonanol,81.315,0.062,-45.898,0.009,-70.650,0.056,alcohol
5-Decanol,84.635,0.051,-49.858,0.007,-76.158,0.046,alcohol
2-Octanone,76.493,0.074,-43.218,0.011,-66.799,0.067,ketone
2-Decanone,85.182,0.054,-51.067,0.007,-77.525,0.049,ketone
