Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
C9,-81.1,8555.0,10.74,98.04,30.17,89.34,-63093.0,-183.18,90.0,250.0,-0.25032,alkane
C10,-100.91,10041.0,13.53,118.09,32.24,112.49,-73361.0,-220.31,90.0,250.0,-0.28456,alkane
C11,-104.58,10717.0,13.96,137.07,33.71,116.04,-78660.0,-231.16,90.0,250.0,-0.28836,alkane
C12,-109.84,11494.0,14.61,154.78,34.92,121.44,-84634.0,-245.18,90.0,250.0,-0.29282,alkane
C13,-114.08,12214.0,15.11,171.32,35.93,125.62,-90246.0,-257.56,90.0,250.0,-0.29511,alkane
C14,-115.71,12769.0,15.25,186.83,36.76,126.76,-94756.0,-264.72,90.0,250.0,-0.29541,alkane
C15,-118.82,13415.0,15.59,201.25,37.39,129.62,-99872.0,-275.03,90.0,250.0,-0.29576,alkane
C16,-130.14,14548.0,17.1,215.1,38.46,142.18,-108160.0,-300.1,90.0,250.0,-0.30505,alkane
C17,-133.51,15205.0,17.48,227.91,38.95,145.36,-113340.0,-310.74,90.0,250.0,-0.30562,alkane
C18,-140.94,16119.0,18.44,240.1,39.58,153.29,-120220.0,-328.62,90.0,250.0,-0.31056,alkane
C19,-146.85,16922.0,19.18,251.8,40.21,159.47,-126340.0,-343.92,90.0,250.0,-0.31293,alkane
C20,-152.2,17698.0,19.84,262.81,40.67,164.99,-132300.0,-358.22,90.0,250.0,-0.31469,alkane
C21,-165.32,19007.0,21.58,273.39,41.43,179.47,-141880.0,-387.74,90.0,250.0,-0.32115,alkane
C22,-169.23,19674.0,22.05,283.55,41.89,183.35,-147080.0,-398.75,90.0,250.0,-0.32255,alkane
C23,-174.7,20461.0,22.73,293.11,42.25,188.99,-153110.0,-413.14,90.0,250.0,-0.32426,alkane
C24*,-174.87,20881.0,22.67,302.05,42.21,188.53,-156650.0,-417.3,90.0,250.0,-0.32248,alkane
C25*,-176.27,21372.0,22.79,310.67,42.26,189.51,-160640.0,-423.45,90.0,250.0,-0.32197,alkane
C26*,-200.49,23453.0,26.07,320.42,44.16,216.77,-175490.0,-474.84,90.0,250.0,-0.33278,alkane
C27*,-172.64,21870.0,22.15,326.62,41.9,184.17,-165260.0,-422.53,90.0,250.0,-0.31715,alkane
C28*,-172.89,22254.0,22.12,334.19,41.82,183.91,-168480.0,-425.98,90.0,250.0,-0.31606,alkane
C29*,-172.62,22595.0,22.02,341.4,41.67,183.07,-171390.0,-428.31,90.0,250.0,-0.3146,alkane
C30*,-173.26,22994.0,22.04,348.39,41.57,183.28,-174690.0,-432.72,90.0,250.0,-0.313,alkane
