Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C9,111-84-2,9,20,0,0,0,128.26,FS5ms,98.04148,30.16794,89.33541,1E-03,Leppert2020b
C10,124-18-5,10,22,0,0,0,142.28,FS5ms,118.08755,32.2439,112.49427,1E-03,Leppert2020b
C11,1120-21-4,11,24,0,0,0,156.31,FS5ms,137.06724,33.71067,116.04194,1E-03,Leppert2020b
C12,112-40-3,12,26,0,0,0,170.34,FS5ms,154.782,34.92063,121.44143,1E-03,Leppert2020b
C13,629-50-5,13,28,0,0,0,184.37,FS5ms,171.31848,35.9285,125.62409,1E-03,Leppert2020b
C14,629-59-4,14,30,0,0,0,198.39,FS5ms,186.83259,36.75978,126.75852,1E-03,Leppert2020b
C15,629-62-9,15,32,0,0,0,212.42,FS5ms,201.25233,37.39081,129.62078,1E-03,Leppert2020b
C16,544-76-3,16,34,0,0,0,226.45,FS5ms,215.1029,38.45816,142.17924,1E-03,Leppert2020b
C17,629-78-7,17,36,0,0,0,240.47,FS5ms,227.90707,38.95243,145.36149,1E-03,Leppert2020b
C18,593-45-3,18,38,0,0,0,254.5,FS5ms,240.10378,39.57574,153.28826,1E-03,Leppert2020b
C19,629-92-5,19,40,0,0,0,268.53,FS5ms,251.79937,40.21112,159.4735,1E-03,Leppert2020b
C20,112-95-8,20,42,0,0,0,282.55,FS5ms,262.80709,40.67479,164.99344,1E-03,Leppert2020b
C21,629-94-7,21,44,0,0,0,296.58,FS5ms,273.39222,41.43008,179.46714,1E-03,Leppert2020b
C22,629-97-0,22,46,0,0,0,310.61,FS5ms,283.55153,41.89174,183.34827,1E-03,Leppert2020b
C23,638-67-5,23,48,0,0,0,324.63,FS5ms,293.11083,42.24507,188.99009,1E-03,Leppert2020b
C24,646-31-1,24,50,0,0,0,338.66,FS5ms,302.04722,42.20679,188.52772,1E-03,Leppert2020b
C25,629-99-2,25,52,0,0,0,352.69,FS5ms,310.67465,42.26108,189.5066,1E-03,Leppert2020b
C26,630-01-3,26,54,0,0,0,366.71,FS5ms,320.42005,44.16145,216.76864,1E-03,Leppert2020b
C27,593-49-7,27,56,0,0,0,380.74,FS5ms,326.62167,41.90328,184.17462,1E-03,Leppert2020b
C28,630-02-4,28,58,0,0,0,394.77,FS5ms,334.19187,41.82183,183.91453,1E-03,Leppert2020b
C29,630-03-5,29,60,0,0,0,408.8,FS5ms,341.39609,41.66817,183.06594,1E-03,Leppert2020b
C30,638-68-6,30,62,0,0,0,422.82,FS5ms,348.38866,41.57034,183.27924,1E-03,Leppert2020b
