Name,min,Tchar,Tchar_std,thetachar,thetachar_std,DeltaCp,DeltaCp_std
Methyl butyrate,0.000265997,55.07808676,26.32220117,27.93147099,114.6066139,119.9943949,5540.186089
Methyl hexanoate,8.75E-05,97.0565417,18.81305208,30.45102156,17.60773791,103.8609146,234.5924436
Methyl octanoate,1.32E-05,133.1838608,7.658523188,32.2334299,4.443616407,103.2053023,54.09304179
Methyl decanoate,8.16E-05,164.620291,3.045980936,33.52848447,1.357001919,106.4305109,15.09993005
Methyl undecanoate,2.00E-05,178.9283253,1.910552712,34.20133589,0.779924856,113.1956028,8.444679232
Methyl laurate,0.000220663,192.3939928,1.208605121,34.73478351,0.457130482,117.4547956,4.824195303
Methyl tridecanoate,4.60E-05,205.104148,0.764507221,35.24497893,0.271568618,122.8846912,2.810747097
Methyl myristoleate,9.51E-05,215.8073903,0.550176707,35.93189608,0.187100454,122.4775551,1.859164611
Methyl myristate,0.000265632,217.118308,0.487444974,35.66680101,0.163790048,127.2964482,1.66776086
Methyl cis-10-pentadecenoate,0.000494985,227.4048098,0.350887313,36.43091951,0.114185802,129.2867094,1.120873924
Methyl pentadecanoate,0.000177976,228.5704205,0.311386731,36.132608,0.100144706,133.4967971,1.006839279
Methyl palmitoleate,0.001694797,237.4655738,0.24494302,36.71729438,0.076304116,129.0062928,0.735243976
Methyl palmitate,0.001317539,239.4225743,0.203939427,36.47183059,0.062957056,137.3689726,0.625818741
cis-10-Heptadecenoic acid methyl ester,0.001649099,247.9662637,0.162362377,37.10652881,0.0489896,134.7338062,0.468440062
Methyl heptadecanoate,0.001763873,249.7845566,0.136127427,36.85960308,0.040843328,143.3107685,0.402907927
Methyl gamma-linolenate,0.000928069,255.5278943,0.13447087,37.86228753,0.040167581,134.6348729,0.370200175
Methyl linolelaidate,0.009074687,256.7806648,0.126164992,37.36489627,0.036817043,130.1009696,0.343157359
Methyl linoleate,0.004525263,257.5143385,0.123680191,37.74581575,0.036546493,134.4408122,0.338285476
Methyl linolenate,0.003726582,256.7990791,0.110569336,37.21923909,0.032630612,142.9586637,0.315752636
trans-9-Elaidic acid methyl ester,0.001192518,257.5621417,0.115404233,37.47301416,0.034008308,138.3905388,0.321754881
cis-9-Oleic acid methyl ester,0.000440415,257.7944807,0.109404793,37.24995723,0.032112911,140.5813106,0.308515892
Methyl stearate,0.000902645,259.7088368,0.095747062,37.20523615,0.028179181,148.0596437,0.275893442
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",0.001618345,272.9803995,0.079567623,38.69457689,0.023242907,139.2190233,0.208035528
