Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,-81.634,7578.1,11.05,53.82,26.963,91.876,-32967.0,-54.919,-29643.0,-45.276,90.0,250.0,-0.25751
Methyl hexanoate,-79.535,8487.4,10.498,95.669,29.471,87.282,-38377.0,-58.145,-38871.0,-59.497,90.0,250.0,-0.24481
Methyl octanoate,-83.114,9615.6,10.808,131.73,31.285,89.862,-43565.0,-61.693,-47315.0,-71.468,90.0,250.0,-0.24411
Methyl decanoate,-87.792,10766.0,11.292,163.12,32.592,93.887,-48554.0,-65.386,-55418.0,-82.608,90.0,250.0,-0.24571
Methyl undecanoate,-94.253,11567.0,12.127,177.4,33.258,100.83,-50749.0,-66.73,-59561.0,-88.473,90.0,250.0,-0.25485
Methyl laurate,-98.346,12230.0,12.624,190.84,33.784,104.96,-52984.0,-68.283,-63569.0,-94.005,90.0,250.0,-0.25878
Methyl tridecanoate,-103.42,12949.0,13.261,203.53,34.286,110.26,-55104.0,-69.69,-67621.0,-99.684,90.0,250.0,-0.26412
Methyl myristoleate,-103.69,13251.0,13.252,214.21,34.969,110.19,-56475.0,-69.97,-70161.0,-102.39,90.0,250.0,-0.26368
Methyl myristate,-107.58,13610.0,13.768,215.53,34.702,114.48,-57218.0,-71.179,-71589.0,-105.17,90.0,250.0,-0.26759
Methyl cis-10-pentadecenoate,-109.87,14031.0,14.048,225.79,35.453,116.8,-58381.0,-71.103,-74241.0,-108.21,90.0,250.0,-0.27043
Methyl pentadecanoate,-113.37,14369.0,14.508,226.96,35.159,120.62,-59147.0,-72.359,-75668.0,-110.96,90.0,250.0,-0.27331
Methyl palmitoleate,-110.14,14385.0,14.024,235.84,35.751,116.6,-60252.0,-72.467,-77257.0,-111.83,90.0,250.0,-0.26861
Methyl palmitate,-117.23,15005.0,14.975,237.81,35.502,124.51,-61143.0,-73.756,-79546.0,-116.27,90.0,250.0,-0.27593
cis-10-Heptadecenoic acid methyl ester,-115.46,15104.0,14.698,246.33,36.133,122.21,-62097.0,-73.629,-81201.0,-117.38,90.0,250.0,-0.27363
Methyl heptadecanoate,-122.66,15739.0,15.663,248.15,35.879,130.23,-62975.0,-74.896,-83571.0,-121.98,90.0,250.0,-0.28046
Methyl gamma-linolenate,-115.71,15288.0,14.715,253.86,36.87,122.35,-62632.0,-72.936,-82680.0,-118.5,90.0,250.0,-0.27455
Methyl linolelaidate,-111.91,15145.0,14.157,255.14,36.405,117.71,-63739.0,-74.745,-83177.0,-118.86,90.0,250.0,-0.26729
Methyl linoleate,-115.41,15365.0,14.653,255.85,36.755,121.83,-63304.0,-73.76,-83510.0,-119.59,90.0,250.0,-0.27308
Methyl linolenate,-122.69,15960.0,15.631,255.15,36.237,129.96,-64040.0,-75.31,-85503.0,-124.03,90.0,250.0,-0.27977
trans-9-Elaidic acid methyl ester,-118.86,15666.0,15.113,255.91,36.49,125.65,-63777.0,-74.64,-84624.0,-121.92,90.0,250.0,-0.27617
cis-9-Oleic acid methyl ester,-120.68,15848.0,15.349,256.15,36.272,127.62,-64219.0,-75.421,-85422.0,-123.5,90.0,250.0,-0.27733
Methyl stearate,-127.41,16425.0,16.257,258.07,36.23,135.17,-64761.0,-76.002,-87478.0,-127.41,90.0,250.0,-0.28392
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-120.22,16166.0,15.247,271.28,37.685,126.77,-65394.0,-74.208,-88375.0,-125.54,90.0,250.0,-0.27777
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",-116.53,15911.0,14.737,271.72,37.67,122.53,-65529.0,-74.356,-87795.0,-124.07,90.0,250.0,-0.27317
"cis-11,14,17-Eicosatrienoic acid methyl ester",-122.48,16436.0,15.532,272.64,37.425,129.14,-66179.0,-75.347,-89764.0,-127.96,90.0,250.0,-0.27893
"cis-11,14-Eicosadienoic acid methyl ester",-128.61,16980.0,16.354,274.19,37.314,135.97,-66753.0,-76.051,-91797.0,-131.83,90.0,250.0,-0.28459
"cis-8,11,14-Eicosatrienoic acid methyl ester",-127.33,16888.0,16.18,274.74,37.412,134.53,-66712.0,-75.855,-91564.0,-131.18,90.0,250.0,-0.28349
Methyl cis-11-eicosenoate,-123.94,16726.0,15.687,274.45,36.856,130.43,-67647.0,-77.626,-91703.0,-131.2,90.0,250.0,-0.27782
Methyl arachidate,-135.74,17715.0,17.282,276.51,36.772,143.69,-68313.0,-78.374,-95112.0,-137.93,90.0,250.0,-0.28889
Methyl heneicosanoate,-138.34,18249.0,17.576,285.08,36.932,146.14,-70155.0,-79.766,-98663.0,-142.6,90.0,250.0,-0.28956
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",-128.79,17351.0,16.334,288.11,38.493,135.81,-68042.0,-75.323,-94947.0,-134.45,90.0,250.0,-0.28517
"cis-13,16-Docosadienoic acid methyl ester",-142.13,18625.0,18.097,291.55,37.937,150.47,-69889.0,-77.855,-100220.0,-144.28,90.0,250.0,-0.29455
Methyl erucate,-135.62,18221.0,17.183,291.73,37.477,142.87,-70793.0,-79.415,-99614.0,-142.53,90.0,250.0,-0.28724
Methyl-Docosanoat,-147.04,19206.0,18.719,293.49,37.339,155.63,-71497.0,-80.269,-103170.0,-149.51,90.0,250.0,-0.29612
Methyl tricosanoate,-149.33,19711.0,18.973,301.41,37.47,157.75,-73253.0,-81.586,-106600.0,-153.96,90.0,250.0,-0.29645
Methyl nervonate,-147.81,19766.0,18.745,307.67,37.995,155.85,-73822.0,-81.192,-107750.0,-154.38,90.0,250.0,-0.29548
Methyl lignocerate,-152.8,20297.0,19.391,309.08,37.638,161.23,-74887.0,-82.712,-110210.0,-158.82,90.0,250.0,-0.29783
1-Pentanol,46.231,1687.1,-7.8497,64.633,26.298,-65.266,-36073.0,-60.886,-37729.0,-65.612,90.0,250.0,1.2023
1-Heptanol,-121.09,10915.0,16.465,104.5,30.364,136.9,-39053.0,-57.503,-41038.0,-62.863,90.0,250.0,-0.3034
1-Nonanol,-100.9,10817.0,13.319,139.79,32.068,110.74,-44211.0,-61.155,-49724.0,-75.384,90.0,250.0,-0.27517
