Name,min,Tchar,Tchar_std,thetachar,thetachar_std,DeltaCp,DeltaCp_std,d,d_std
Methyl butyrate,0.000622606,47.76157326,1.660189665,20.23836107,4.132353323,-204.0302027,4410.32073,8.37E-05,9.62E-06
Methyl hexanoate,0.000358325,82.04597436,4.092457709,22.68456101,7.400827042,-48.82797352,512.6811708,8.37E-05,9.62E-06
Methyl octanoate,0.004344668,113.1629741,3.443654123,24.66957781,4.157406761,-5.152639423,164.9759044,8.37E-05,9.62E-06
Methyl decanoate,0.007647144,141.3463621,3.131251687,26.26781689,3.358946785,19.5129417,107.1317415,8.37E-05,9.62E-06
Methyl undecanoate,0.008928609,154.3163573,3.10395187,26.86436582,3.240956804,25.92891336,98.64268519,8.37E-05,9.62E-06
Methyl laurate,0.008380286,166.72507,3.050461936,27.45378947,3.134819231,32.89291743,92.2540684,8.37E-05,9.62E-06
 Methyl tridecanoate,0.006355707,178.6039364,3.177356811,28.0549768,3.24101428,40.49637724,92.6820564,8.37E-05,9.62E-06
Methyl myristate,0.007816024,189.9216131,3.23569572,28.55920793,3.277915714,46.03553158,92.25192466,8.37E-05,9.62E-06
Methyl myristoleate,0.005942563,194.2334738,3.279924538,29.02372,3.289573779,40.76245342,89.15772533,8.37E-05,9.62E-06
Methyl pentadecanoate,0.006903438,200.754369,3.299411482,29.06933099,3.329906998,52.28247385,92.28597067,8.37E-05,9.62E-06
Methyl cis-10-pentadecenoate,0.002326276,205.058473,3.326940779,29.62121069,3.335078585,49.29057093,88.38742864,8.37E-05,9.62E-06
Methyl palmitate,0.004056631,211.2481111,3.270157014,29.59157633,3.292240681,59.04009397,89.81146052,8.37E-05,9.62E-06
Methyl palmitoleate,0.001852452,214.2322549,3.377331686,30.00994159,3.364200722,50.99907609,88.42855156,8.37E-05,9.62E-06
Methyl heptadecanoate,0.001809192,221.1878984,3.394042306,30.04950434,3.412517615,65.04347943,92.07979657,8.37E-05,9.62E-06
cis-10-Heptadecenoic acid methyl ester,0.001612147,224.319099,3.52968247,30.64679527,3.53164871,61.31897559,90.45242512,8.37E-05,9.62E-06
Methyl stearate,0.000289629,230.9356278,3.514456235,30.61486071,3.543602929,74.06356032,93.66480713,8.37E-05,9.62E-06
trans-9-Elaidic acid methyl ester,0.003382259,233.902857,3.78016678,31.56624102,3.827465619,76.13361281,93.01404988,8.37E-05,9.62E-06
cis-9-Oleic acid methyl ester,0.000455697,233.2588381,5.530953873,30.98214361,5.246022598,70.63670504,127.2552052,8.37E-05,9.62E-06
Methyl linolelaidate,0.000714398,238.0458132,4.302934846,31.71280197,4.204635569,71.4021537,99.40268708,8.37E-05,9.62E-06
Methyl linoleate,0.003374032,237.3895824,3.480666969,30.96713487,3.465342399,67.56198741,90.09578498,8.37E-05,9.62E-06
Methyl γ-linolenate,0.000378735,241.0313232,3.639687133,31.95453052,3.630296782,68.6610769,86.72898625,8.37E-05,9.62E-06
Methyl linolenate,9.61E-05,244.1727383,3.601302629,32.24881924,3.614586594,75.97118026,85.12229303,8.37E-05,9.62E-06
Methyl arachidate,0.004338797,249.5640992,3.831467277,31.93311987,3.916017707,97.11354395,97.61423072,8.37E-05,9.62E-06
Methyl cis-11-eicosenoate,0.007256709,252.0262074,3.909236135,32.49921904,3.967532743,90.27626592,94.15357152,8.37E-05,9.62E-06
"cis-11,14-Eicosadienoic acid methyl ester",0.014613288,256.9069427,3.862032484,33.43352958,3.969937336,102.1714823,88.19700401,8.37E-05,9.62E-06
"cis-11,14,17-Eicosatrienoic acid methyl ester",0.028993815,259.8697535,4.286431774,33.9969108,4.417168899,102.704274,94.06956282,8.37E-05,9.62E-06
Methyl heneicosanoate,0.029432241,258.9761798,3.917297806,33.1324799,4.092902324,120.3243461,94.82089611,8.37E-05,9.62E-06
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",0.055723679,262.0144726,3.881724541,34.09112793,3.948683736,94.44353816,83.70948312,8.37E-05,9.62E-06
"cis-8,11,14-Eicosatrienoic acid methyl ester",0.037863861,263.4694984,4.130673463,34.64845694,4.333370924,118.9006603,88.72111495,8.37E-05,9.62E-06
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",0.050015386,269.2814118,4.405175848,36.07277142,4.680582081,126.1656575,86.53314267,8.37E-05,9.62E-06
Methyl-Docosanoat,0.059977957,268.8075966,4.37712423,34.98203604,4.760089014,154.1136831,97.59507949,8.37E-05,9.62E-06
Methyl erucate,0.045693203,271.6088175,4.316564039,35.87223913,4.702051614,151.9510295,90.05194529,8.37E-05,9.62E-06
"cis-13,16-Docosadienoic acid methyl ester",0.052430353,276.7656222,4.503258458,37.20020533,5.028832674,165.7712366,88.36610688,8.37E-05,9.62E-06
Methyl tricosanoate,0.043467594,278.8075597,4.574783267,37.35605172,5.26813196,192.7657523,93.1067556,8.37E-05,9.62E-06
Methyl lignocerate,0.0091925,288.7053485,5.012552955,39.75186568,6.077553287,223.2887553,93.13237126,8.37E-05,9.62E-06
Methyl nervonate,0.015174229,293.1851288,5.472694446,41.90499568,6.579860927,198.7331766,86.38060005,8.37E-05,9.62E-06
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",0.00787929,291.3143341,5.08952449,40.25197169,6.108276263,210.678619,90.49544199,8.37E-05,9.62E-06
1-Pentanol,0.000999522,90.46524606,3.52874751,21.94232629,5.182882368,-67.10273268,337.3532239,8.37E-05,9.62E-06
1-Heptanol,0.008298576,120.3741201,2.988253241,23.89531119,3.369177976,-10.89645864,141.7204049,8.37E-05,9.62E-06
1-Nonanol,0.00861927,147.4625814,2.876031355,25.41709033,2.996726123,14.27417711,105.7650164,8.37E-05,9.62E-06
1-Decanol,0.007329621,160.0726489,2.962185593,26.14964095,3.046267907,25.83829242,101.7485955,8.37E-05,9.62E-06
1-Undecanol,0.007318089,172.000216,2.9958254,26.73396888,3.048740248,33.29961588,98.70792554,8.37E-05,9.62E-06
"2-Pentanone, 4-methyl-",0.000482235,55.38086884,1.605599282,21.89939274,10.14381363,-233.6733018,2590.471138,8.37E-05,9.62E-06
2-Hexanone,0.000116155,66.18760475,3.374616855,21.83972611,10.36335928,-169.075037,1278.233153,8.37E-05,9.62E-06
2-Decanone,0.005733495,128.1549503,3.218414053,25.71963102,3.548226892,-5.94507525,120.295958,8.37E-05,9.62E-06
2-Undecanone,0.004329679,142.0943916,3.107496081,26.43416442,3.275233757,4.337307905,102.3448015,8.37E-05,9.62E-06
2-Dodecanone,0.00662049,155.4436169,3.150694293,27.18461295,3.249513573,15.84441133,95.42571424,8.37E-05,9.62E-06
2-Tridecanone,0.004333007,168.0239305,3.160688763,27.81885988,3.215208638,24.38590894,90.94496891,8.37E-05,9.62E-06
2-Pentadecanone,0.00549746,191.5733825,3.282452042,29.03356529,3.30556439,41.51688495,88.74613658,8.37E-05,9.62E-06
Propiophenone,0.0103171,160.3008417,3.467901587,29.51499999,3.554577829,10.96182202,82.63285018,8.37E-05,9.62E-06
Butyrophenone,0.010665142,168.9053005,3.409706888,29.86902328,3.459034414,17.00144537,79.11104237,8.37E-05,9.62E-06
Valerophenone,0.007932664,180.9939477,3.40519513,30.4076543,3.41164368,22.4634659,76.41904316,8.37E-05,9.62E-06
Hexanophenone,0.007441547,192.7828684,3.381703322,30.87292382,3.35547574,26.98860079,74.47445386,8.37E-05,9.62E-06
Heptanophenone,0.006741619,204.3391303,3.576925187,31.50607227,3.550950174,35.86897899,77.15132009,8.37E-05,9.62E-06
Octanophenone,0.00350434,215.3425527,3.494730045,31.93608027,3.448525912,39.97861094,74.70311011,8.37E-05,9.62E-06
