Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,155.82,-2786.3,-24.539,47.762,20.238,-204.03,-42309.0,-85.931,-50927.0,-111.16,90.0,250.0,-0.24838
Methyl hexanoate,30.224,3475.7,-5.8727,82.046,22.685,-48.828,-46242.0,-84.28,-46631.0,-85.362,90.0,250.0,8.8185
Methyl octanoate,-5.8269,5810.1,-0.61972,113.16,24.67,-5.1526,-50298.0,-84.292,-50179.0,-83.974,90.0,250.0,8.4098e11
Methyl decanoate,-26.75,7513.4,2.3469,141.35,26.268,19.513,-54382.0,-85.291,-55383.0,-87.872,90.0,250.0,-0.0034156
Methyl undecanoate,-32.401,8134.9,3.1185,154.32,26.864,25.929,-56554.0,-86.392,-58221.0,-90.62,90.0,250.0,-0.013654
Methyl laurate,-38.536,8788.0,3.9561,166.73,27.454,32.893,-58599.0,-87.31,-61123.0,-93.614,90.0,250.0,-0.032366
Methyl tridecanoate,-45.226,9474.7,4.8706,178.6,28.055,40.496,-60482.0,-87.975,-64070.0,-96.816,90.0,250.0,-0.058074
Methyl myristate,-50.214,10072.0,5.5368,189.92,28.559,46.036,-62429.0,-88.906,-67029.0,-100.1,90.0,250.0,-0.077287
Methyl myristoleate,-45.622,9817.9,4.9026,194.23,29.024,40.762,-62579.0,-87.984,-66828.0,-98.27,90.0,250.0,-0.059034
Methyl pentadecanoate,-55.81,10706.0,6.2881,200.75,29.069,52.282,-64236.0,-89.639,-70027.0,-103.56,90.0,250.0,-0.098893
Methyl cis-10-pentadecenoate,-53.129,10555.0,5.9283,205.06,29.621,49.291,-64190.0,-88.322,-69861.0,-101.89,90.0,250.0,-0.089937
Methyl palmitate,-61.853,11369.0,7.1009,211.25,29.592,59.04,-65928.0,-90.195,-73087.0,-107.2,90.0,250.0,-0.12127
Methyl palmitoleate,-54.815,10905.0,6.1338,214.23,30.01,50.999,-65813.0,-89.125,-72148.0,-104.13,90.0,250.0,-0.095023
Methyl heptadecanoate,-67.28,11999.0,7.8229,221.19,30.05,65.043,-67615.0,-90.871,-76148.0,-110.93,90.0,250.0,-0.13938
cis-10-Heptadecenoic acid methyl ester,-63.881,11744.0,7.375,224.32,30.647,61.319,-67140.0,-89.055,-75376.0,-108.35,90.0,250.0,-0.13035
Methyl stearate,-75.283,12790.0,8.9078,230.94,30.615,74.064,-69010.0,-90.993,-79448.0,-115.28,90.0,250.0,-0.16503
