Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,1.4863e-5,6.4423e170,6.4423e170,6.4423e170,6.4423e170,6.4423e170,Inf,2.112e174,6.4423e170,6.4423e170,90.0,250.0,-1.0
Methyl hexanoate,1.2876e-5,2.2089e161,2.2089e161,2.2089e161,2.2089e161,2.2089e161,Inf,6.8414e164,2.2089e161,2.2089e161,90.0,250.0,-1.0
Methyl octanoate,4.8355e-5,1.4345e180,1.4345e180,1.4345e180,1.4345e180,1.4345e180,Inf,4.9598e183,1.4345e180,1.4345e180,90.0,250.0,-1.0
Methyl decanoate,3.9991e-5,5.3586e228,5.3586e228,5.3586e228,5.3586e228,5.3586e228,Inf,2.3509999999999998e232,5.3586e228,5.3586e228,90.0,250.0,-1.0
Methyl undecanoate,5.5014e-10,3.3268e63,3.3268e63,3.3268e63,3.3268e63,3.3268e63,9.2019e127,4.0734e66,3.3268e63,3.3268e63,90.0,250.0,-1.0
Methyl laurate,Inf,3.7843e213,3.7843e213,3.7843e213,3.7843e213,3.7843e213,Inf,Inf,3.7843e213,3.7843e213,90.0,250.0,-Inf
Methyl tridecanoate,1.4034e-6,1.0624e-153,1.0624e-153,1.0624e-153,1.0624e-153,1.0624e-153,2.4039999999999998e-150,1.1669e-5,1.0624e-153,1.0624e-153,90.0,250.0,NaN
Methyl myristoleate,Inf,3.4793e31,3.4793e31,3.4793e31,3.4793e31,3.4793e31,1.0065e64,Inf,3.4793e31,3.4793e31,90.0,250.0,-Inf
Methyl myristate,1.0652e-6,2.1876e-94,2.1876e-94,2.1876e-94,2.1876e-94,2.1876e-94,4.95e-91,8.8566e-6,2.1876e-94,2.1876e-94,90.0,250.0,NaN
Methyl cis-10-pentadecenoate,3.597e-5,4.3862e286,4.3862e286,4.3862e286,4.3862e286,4.3862e286,Inf,2.4107000000000002e290,4.3862e286,4.3862e286,90.0,250.0,-1.0
Methyl pentadecanoate,2.7883e-6,2.5523e286,2.5523e286,2.5523e286,2.5523e286,2.5523e286,Inf,1.4016000000000001e290,2.5523e286,2.5523e286,90.0,250.0,-1.0
Methyl palmitoleate,Inf,1.1407e243,1.1407e243,1.1407e243,1.1407e243,1.1407e243,Inf,Inf,1.1407e243,1.1407e243,90.0,250.0,-Inf
Methyl palmitate,2.7876e-5,9.3132e242,9.3132e242,9.3132e242,9.3132e242,9.3132e242,Inf,4.3399e246,9.3132e242,9.3132e242,90.0,250.0,-1.0
cis-10-Heptadecenoic acid methyl ester,0.00012432,1.1342e-51,1.1342e-51,7.4329e-47,1.7306e-56,1.7306e-56,2.5664e-48,0.0010337,1.7306e-56,1.7306e-56,90.0,250.0,NaN
Methyl heptadecanoate,0.00031919,1.0525e-153,1.0516e-153,1.0521e-153,1.0513e-153,1.0525e-153,2.3796e-150,0.0026539,1.0513e-153,1.0519e-153,90.0,250.0,NaN
Methyl gamma-linolenate,1.637e-7,1.086e-95,1.1335000000000001e-95,8.9888e-96,9.9215e-96,1.1809000000000001e-95,2.5653e-92,1.3611e-6,8.5225e-96,9.4661e-96,90.0,250.0,NaN
Methyl linolelaidate,3.3101e-6,1.7251e-47,5.4718e-95,7.7163e-43,8.240199999999999e-67,9.9601e-43,-1.4343e-46,2.7522e-5,2.5291e-52,1.0104e141,90.0,250.0,NaN
Methyl linoleate,4.2897e-6,2.4071e-57,1.398e-76,2.0019e-76,1.3036e-76,1.3974e-76,-2.0014e-56,3.5667e-5,1.3036e-76,1.3974e-76,90.0,250.0,NaN
Methyl linolenate,3.3107e-5,9.9145e-96,1.0515000000000001e-153,2.481e-91,8.9943e-96,1.0862000000000001e-95,-8.243400000000001e-95,0.00027527,1.0853e-42,1.1337e-95,90.0,250.0,NaN
trans-9-Elaidic acid methyl ester,0.0002271,3.9351e-62,2.0046e-52,7.4911e-67,2.1077999999999997e-52,1.5708e-76,4.5526e-49,0.0018882,1.7945e-52,8.2315e-67,90.0,250.0,NaN
cis-9-Oleic acid methyl ester,1.3728e-5,6.9835e-77,1.3036e-76,1.3035e-76,3.2425e-86,3.2425e-86,2.9547e-73,0.00011414,1.2577e-76,3.2527e-86,90.0,250.0,NaN
