Name,min,Tchar,Tchar_uncertainty,thetachar,thetachar_uncertainty,DeltaCp,DeltaCp_uncertainty,d,d_uncertainty
Methyl butyrate,0.0003467,53.8197623,0.881254156,26.96293035,1.828902496,91.87551537,466.4506559,0.000247144,7.05E-06
Methyl hexanoate,0.000397866,95.66930189,0.707205691,29.47102518,2.325152457,87.28224499,114.1414369,0.000247144,7.05E-06
Methyl octanoate,0.000300008,131.7271409,0.937829562,31.28522758,2.120650415,89.86187443,68.98574841,0.000247144,7.05E-06
Methyl decanoate,0.000159701,163.1162204,1.034778597,32.5923043,2.084941318,93.88681881,61.29945068,0.000247144,7.05E-06
Methyl undecanoate,0.000388748,177.3990925,1.087980093,33.25770054,2.138975298,100.8276306,61.36177949,0.000247144,7.05E-06
Methyl laurate,0.000276743,190.8433386,1.131278652,33.78411131,2.177035628,104.9609026,61.88999195,0.000247144,7.05E-06
Methyl tridecanoate,0.0003091,203.5337384,1.167029919,34.28585645,2.209240542,110.2566948,62.49285176,0.000247144,7.05E-06
Methyl myristoleate,0.000435289,214.2124001,1.207967706,34.96918631,2.241994459,110.187271,61.5331937,0.000247144,7.05E-06
Methyl myristate,7.21E-05,215.5311901,1.195364563,34.70186464,2.228823801,114.4775975,63.12667895,0.000247144,7.05E-06
Methyl cis-10-pentadecenoate,0.000574069,225.7876535,1.231703506,35.45316735,2.260490598,116.7998921,61.82745787,0.000247144,7.05E-06
Methyl pentadecanoate,0.000157181,226.964312,1.218561331,35.15919105,2.245740123,120.622182,63.46223618,0.000247144,7.05E-06
Methyl palmitoleate,0.000632731,235.8419155,1.258648575,35.75082301,2.274984378,116.6031457,62.43874953,0.000247144,7.05E-06
Methyl palmitate,0.000438198,237.8068566,1.254175066,35.502156,2.285756054,124.5072374,64.86490853,0.000247144,7.05E-06
cis-10-Heptadecenoic acid methyl ester,0.000920257,246.327372,1.298587648,36.13265714,2.328429284,122.2050248,63.97486264,0.000247144,7.05E-06
Methyl heptadecanoate,0.000534343,248.1520672,1.284323805,35.87915799,2.320706871,130.2282756,65.91604704,0.000247144,7.05E-06
Methyl gamma-linolenate,0.00036401,253.8582085,1.351230043,36.87015067,2.394852831,122.3495062,63.09339775,0.000247144,7.05E-06
Methyl linolelaidate,0.011732562,255.1354878,1.322541063,36.40542085,2.329066729,117.7080934,63.90958266,0.000247144,7.05E-06
