Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Undecane,-76.42309520971817,9244.61928930683,9.791372424028328,121.88019656210122,29.022995797846406,81.41,-47300.0,-74.11,90.0,250.0,-0.21898284289256975
dodecane,-82.18299615695636,10023.737832200566,10.522628342688101,138.31367997755456,29.73316157345616,87.49,-51570.0,-80.08,90.0,250.0,-0.22862781580999147
tridecane,-86.52436373469256,10716.685983464215,11.053029428426525,153.77743091657044,30.38875557490548,91.9,-55730.0,-85.77,90.0,250.0,-0.23438197900678537
tetradecane,-95.25755997104572,11578.352074109443,12.24011757269823,168.05060461657524,31.50822632893256,101.77,-59310.0,-90.33,90.0,250.0,-0.25124480416903566
2-undecanone,-92.96723907605895,11002.80008479003,12.00318103326406,153.22024931309608,30.89066524019459,99.8,-55240.0,-84.87,90.0,250.0,-0.25045319919614917
2-dodecanone,-80.17649993729479,10791.629852793729,10.057174328672753,168.20042259867176,30.661658397083603,83.62,-59360.0,-90.08,90.0,250.0,-0.21377364831141474
2-tridecanone,-103.60163673104293,12498.009104415318,13.341812344889602,181.87943851197042,32.21547144361486,110.93,-63630.0,-96.55,90.0,250.0,-0.2627350112594707
1-undecanol,-101.25972523069532,11860.681444966776,13.103673081905002,164.7686448161183,31.323445057075418,108.95,-59050.0,-90.73,90.0,250.0,-0.26162079605336724
1-dodecanol,-109.81136894394385,12800.005951994832,14.233030495756202,178.91394518394264,32.1032550424609,118.34,-63450.0,-97.09,90.0,250.0,-0.27211079200192545
1-tridecanol,-123.09489671644018,14027.548364383112,16.03350765074581,192.8011459491555,33.112679267558896,133.31,-68220.0,-104.32,90.0,250.0,-0.28718594560861815
1-tetradecanol,-121.17949935550124,14344.367576998091,15.673893309168058,205.18371387072563,33.416475513817396,130.32,-71940.0,-109.01,90.0,250.0,-0.2823944490383136
