Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Undecane,-76.423,9244.6,9.7914,121.88,29.023,81.41,-44705.0,-67.26,-47300.0,-74.11,90.0,250.0,-0.21898,alkane
Dodecane,-82.183,10024.0,10.523,138.31,29.733,87.49,-47343.0,-69.152,-51570.0,-80.08,90.0,250.0,-0.22863,alkane
Tridecane,-86.524,10717.0,11.053,153.78,30.389,91.9,-49869.0,-70.901,-55730.0,-85.77,90.0,250.0,-0.23438,alkane
Tetradecane,-95.258,11578.0,12.24,168.05,31.508,101.77,-51367.0,-70.517,-59310.0,-90.33,90.0,250.0,-0.25124,alkane
2-Undecanone,-92.967,11003.0,12.003,153.22,30.891,99.8,-48931.0,-68.853,-55240.0,-84.87,90.0,250.0,-0.25045,ketone
2-Dodecanone,-80.176,10792.0,10.057,168.2,30.662,83.62,-52821.0,-73.772,-59360.0,-90.08,90.0,250.0,-0.21377,ketone
2-Tridecanone,-103.6,12498.0,13.342,181.88,32.215,110.93,-53438.0,-71.53,-63630.0,-96.55,90.0,250.0,-0.26274,ketone
1-Undecanol,-101.26,11861.0,13.104,164.77,31.323,108.95,-50904.0,-70.333,-59050.0,-90.73,90.0,250.0,-0.26162,alcohol
1-Dodecanol,-109.81,12800.0,14.233,178.91,32.103,118.34,-52928.0,-71.173,-63450.0,-97.09,90.0,250.0,-0.27211,alcohol
1-Tridecanol,-123.09,14028.0,16.034,192.8,33.113,133.31,-54516.0,-71.091,-68220.0,-104.32,90.0,250.0,-0.28719,alcohol
1-Tetradecanol,-121.18,14344.0,15.674,205.18,33.416,130.32,-56929.0,-73.108,-71940.0,-109.01,90.0,250.0,-0.28239,alcohol
