Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Undecane,-65.756,7618.1,8.4588,77.899,26.51,70.33,-38651.0,-64.193,-37800.0,-61.81,90.0,250.0,-0.19724,alkane
Dodecane,-38.218,6656.6,4.3406,94.682,26.739,36.09,-42071.0,-68.468,-42240.0,-68.93,90.0,250.0,-0.064476,alkane
Tridecane,-35.185,6855.7,3.8391,110.64,27.366,31.92,-44751.0,-70.696,-45410.0,-72.46,90.0,250.0,-0.044357,alkane
Tetradecane,-62.133,8622.6,7.6878,125.78,28.646,63.92,-46193.0,-69.883,-48480.0,-75.89,90.0,250.0,-0.16901,alkane
2-Undecanone,-43.66,8035.5,5.031,157.24,31.556,41.83,-48807.0,-67.494,-51620.0,-74.6,90.0,250.0,-0.090744,ketone
2-Dodecanone,-54.037,8948.2,6.4646,170.94,32.451,53.75,-50530.0,-67.875,-54880.0,-78.69,90.0,250.0,-0.13806,ketone
2-Tridecanone,-55.323,9343.4,6.5957,183.76,32.982,54.84,-52628.0,-69.275,-57770.0,-81.87,90.0,250.0,-0.13962,ketone
1-Undecanol,-63.047,10206.0,7.5675,187.4,31.558,62.92,-55882.0,-75.43,-62010.0,-90.38,90.0,250.0,-0.15661,alcohol
1-Dodecanol,-72.833,11102.0,8.9074,199.12,32.347,74.06,-57329.0,-75.482,-65410.0,-94.94,90.0,250.0,-0.1885,alcohol
1-Tridecanol,-79.047,11789.0,9.7372,210.38,33.018,80.96,-58874.0,-75.852,-68620.0,-99.03,90.0,250.0,-0.20473,alcohol
1-Tetradecanol,-86.028,12524.0,10.674,221.18,33.717,88.75,-60258.0,-75.991,-71900.0,-103.36,90.0,250.0,-0.2211,alcohol
