Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Undecane,-65.756,7618.1,8.4588,77.899,26.51,70.33,-37800.0,-61.81,90.0,250.0,-0.19724
dodecane,-38.218,6656.6,4.3406,94.682,26.739,36.09,-42240.0,-68.93,90.0,250.0,-0.064476
tridecane,-35.185,6855.7,3.8391,110.64,27.366,31.92,-45410.0,-72.46,90.0,250.0,-0.044357
tetradecane,-62.133,8622.6,7.6878,125.78,28.646,63.92,-48480.0,-75.89,90.0,250.0,-0.16901
2-undecanone,-43.66,8035.5,5.031,157.24,31.556,41.83,-51620.0,-74.6,90.0,250.0,-0.090744
2-dodecanone,-54.037,8948.2,6.4646,170.94,32.451,53.75,-54880.0,-78.69,90.0,250.0,-0.13806
2-tridecanone,-55.323,9343.4,6.5957,183.76,32.982,54.84,-57770.0,-81.87,90.0,250.0,-0.13962
1-undecanol,-63.047,10206.0,7.5675,187.4,31.558,62.92,-62010.0,-90.38,90.0,250.0,-0.15661
1-dodecanol,-72.833,11102.0,8.9074,199.12,32.347,74.06,-65410.0,-94.94,90.0,250.0,-0.1885
1-tridecanol,-79.047,11789.0,9.7372,210.38,33.018,80.96,-68620.0,-99.03,90.0,250.0,-0.20473
1-tetradecanol,-86.028,12524.0,10.674,221.18,33.717,88.75,-71900.0,-103.36,90.0,250.0,-0.2211
