Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
Undecane,-47.30,-74.11,81.41,alkane
Dodecane,-51.57,-80.08,87.49,alkane
Tridecane,-55.73,-85.77,91.90,alkane
Tetradecane,-59.31,-90.33,101.77,alkane
2-Undecanone,-55.24,-84.87,99.80,ketone
2-Dodecanone,-59.36,-90.08,83.62,ketone
2-Tridecanone,-63.63,-96.55,110.93,ketone
1-Undecanol,-59.05,-90.73,108.95,alcohol
1-Dodecanol,-63.45,-97.09,118.34,alcohol
1-Tridecanol,-68.22,-104.32,133.31,alcohol
1-Tetradecanol,-71.94,-109.01,130.32,alcohol
