Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
Undecane,-37.80,-61.81,70.33,alkane
Dodecane,-42.24,-68.93,36.09,alkane
Tridecane,-45.41,-72.46,31.92,alkane
Tetradecane,-48.48,-75.89,63.92,alkane
2-Undecanone,-51.62,-74.60,41.83,ketone
2-Dodecanone,-54.88,-78.69,53.75,ketone
2-Tridecanone,-57.77,-81.87,54.84,ketone
1-Undecanol,-62.01,-90.38,62.92,alcohol
1-Dodecanol,-65.41,-94.94,74.06,alcohol
1-Tridecanol,-68.62,-99.03,80.96,alcohol
1-Tetradecanol,-71.90,-103.36,88.75,alcohol
