Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Decane,-17.912081475134453,5787.488465573029,1.3843348065417769,107.39632576974998,27.527880432398558,11.51,-43940.0,-69.57,90.0,250.0,-0.00018606372940817073
1-Octanol,-35.62769797042457,7133.012826410779,3.847512637816806,119.44679758097647,27.41351238463766,31.99,-47690.0,-75.66,90.0,250.0,-0.04200608421622077
Undecane,-30.751485276867925,6920.686957491048,3.1535411492202767,124.68895126243439,27.93389411944501,26.22,-48020.0,-74.9,90.0,250.0,-0.022180403280719897
Nonanal,-28.260364665454535,6757.391437100391,2.8131703844493625,125.90542421372015,28.26112402753715,23.39,-47690.0,-73.7,90.0,250.0,-0.014634502890493546
"2,6-Dimethylphenol",-99.68675891659923,10503.533903601518,13.181850112682774,127.74626283080295,30.794873767861908,109.6,-47530.0,-73.17,90.0,250.0,-0.272349871875306
2-Ethylhexanoic acid,-14.472619203365781,6253.922579009622,0.7180259596050744,125.3209166204133,26.605918802147247,5.97,-49830.0,-79.17,90.0,250.0,-7.0257226942284685e-9
"2,6-Dimethylaniline",-41.0633198965555,7424.40032927962,4.74594712998597,139.1938197233501,31.098187930465404,39.46,-47400.0,-69.35,90.0,250.0,-0.08539555724629126
C10 acid methyl ester,-59.27242171989805,9464.511311673765,7.06840630586101,159.1065341094207,29.15297868034786,58.77,-57350.0,-87.61,90.0,250.0,-0.13987310640746745
Dicyclohexylamine,-46.9976121420905,8718.525457283375,5.431499553729508,178.07404571539826,32.484494503631495,45.16,-56090.0,-79.39,90.0,250.0,-0.10143263678823464
C11 acid methyl ester,-45.467146858555736,9041.921944042399,5.037006229189367,173.20464851812136,29.326361432860285,41.88,-59970.0,-89.28,90.0,250.0,-0.0720795369005049
C12 acid methyl ester,-73.8366702580547,11128.033674478269,8.996372157195909,186.609239643301,30.232055979085988,74.8,-65360.0,-98.18,90.0,250.0,-0.18255121537058627
