Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1,Cat_2
Decane,-17.912,5787.5,1.3843,107.4,27.528,11.51,-43740.0,-69.031,-43940.0,-69.57,90.0,250.0,-0.00018606,alkane,Grob
1-Octanol,-35.628,7133.0,3.8475,119.45,27.414,31.99,-46748.0,-73.166,-47690.0,-75.66,90.0,250.0,-0.042006,alcohol,Grob
Undecane,-30.751,6920.7,3.1535,124.69,27.934,26.22,-47110.0,-72.508,-48020.0,-74.9,90.0,250.0,-0.02218,alkane,Grob
Nonanal,-28.26,6757.4,2.8132,125.91,28.261,23.39,-46850.0,-71.495,-47690.0,-73.7,90.0,250.0,-0.014635,aldehyde,Grob
"2,6-Dimethylphenol",-99.687,10504.0,13.182,127.75,30.795,109.6,-43393.0,-62.332,-47530.0,-73.17,90.0,250.0,-0.27235,aromatic,Grob
2-Ethylhexanoic acid,-14.473,6253.9,0.71803,125.32,26.606,5.97,-49619.0,-78.616,-49830.0,-79.17,90.0,250.0,-7.0257e-9,carboxylic acid,Grob
"2,6-Dimethylaniline",-41.063,7424.4,4.7459,139.19,31.098,39.46,-45459.0,-64.337,-47400.0,-69.35,90.0,250.0,-0.085396,aromatic,Grob
C10 acid methyl ester,-59.272,9464.5,7.0684,159.11,29.153,58.77,-53289.0,-77.372,-57350.0,-87.61,90.0,250.0,-0.13987,FAME,Grob
Dicyclohexylamine,-46.998,8718.5,5.4315,178.07,32.484,45.16,-52113.0,-69.584,-56090.0,-79.39,90.0,250.0,-0.10143,amine,Grob
C11 acid methyl ester,-45.467,9041.9,5.037,173.2,29.326,41.88,-56485.0,-80.64,-59970.0,-89.28,90.0,250.0,-0.07208,FAME,Grob
C12 acid methyl ester,-73.837,11128.0,8.9964,186.61,30.232,74.8,-58134.0,-80.536,-65360.0,-98.18,90.0,250.0,-0.18255,FAME,Grob
