Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
Naphthalene,-39.6,7301.6,4.6456,157.87,35.057,38.625,-46682.0,-62.934,250.0,90.0,0.99977,0.99977,0.042173,0.042173,0.00066941,0.00066941,66,66,true,false,PAH
Acenaphthylene,-16.047,6682.5,1.2315,205.21,37.553,10.239,-51843.0,-62.824,250.0,90.0,0.99948,0.99948,0.080603,0.080603,0.0013434,0.0013434,63,63,true,false,PAH
Acenaphthene,-20.259,7067.1,1.7969,208.2,37.357,14.94,-53334.0,-65.434,250.0,90.0,0.99954,0.99954,0.073374,0.073374,0.0012229,0.0012229,63,63,true,false,PAH
Fluorene,-28.346,7907.6,2.8806,221.12,37.678,23.95,-57050.0,-70.545,250.0,90.0,0.99969,0.99969,0.045614,0.045614,0.00080024,0.00080024,60,60,true,false,PAH
Phenanthrene,-40.023,9221.1,4.4659,251.49,40.017,37.131,-63185.0,-76.758,250.0,90.0,0.99989,0.99989,0.0096701,0.0096701,0.00020146,0.00020146,51,51,true,false,PAH
Anthracene,-35.913,8987.3,3.8832,252.1,39.71,32.287,-63000.0,-75.985,250.0,90.0,0.9999,0.9999,0.0086884,0.0086884,0.00018101,0.00018101,51,51,true,false,PAH
Fluoranthene,-53.6,10881.0,6.2696,286.09,42.41,52.128,-71538.0,-86.24,250.0,90.0,0.99981,0.99981,0.011389,0.011389,0.00025308,0.00025308,48,48,true,false,PAH
Pyrene,-46.807,10487.0,5.341,295.18,43.347,44.407,-71066.0,-82.993,250.0,90.0,0.99991,0.99991,0.0042224,0.0042224,0.00010053,0.00010053,45,45,true,false,PAH
Benz[a]anthracene,-55.087,12005.0,6.3458,326.6,43.868,52.762,-80657.0,-94.233,250.0,90.0,0.99986,0.99986,0.0032001,0.0032001,9.6973e-5,9.6973e-5,36,36,true,false,PAH
Chrysene,-55.34,12061.0,6.3801,329.16,44.144,53.047,-81015.0,-94.375,250.0,90.0,0.99987,0.99987,0.0030756,0.0030756,9.3199e-5,9.3199e-5,36,36,true,false,PAH
Benzo[b]fluoranthene,-73.359,14098.0,8.7657,356.75,46.266,72.882,-90747.0,-107.43,250.0,90.0,0.99982,0.99982,0.0033614,0.0033614,0.00011591,0.00011591,32,32,true,false,PAH
Benzo[k]fluoranthene,-70.841,13943.0,8.4138,356.98,45.947,69.956,-90528.0,-106.67,250.0,90.0,0.99987,0.99987,0.0025991,0.0025991,8.6636e-5,8.6636e-5,33,33,true,false,PAH
Benzo[a]pyrene,-74.405,14351.0,8.9045,368.4,47.65,74.036,-92431.0,-108.17,250.0,90.0,0.99986,0.99986,0.0027072,0.0027072,9.3351e-5,9.3351e-5,32,32,true,false,PAH
"Indeno[1,2,3-cd]pyrene",-88.37,16110.0,10.723,393.38,49.565,89.155,-101570.0,-120.04,250.0,90.0,0.9996,0.9996,0.0026496,0.0026496,0.00013248,0.00013248,23,23,true,false,PAH
"Dibenzo[a,h]anthracene",-99.049,17116.0,12.128,391.69,48.823,100.84,-105690.0,-128.29,250.0,90.0,0.99961,0.99961,0.0026875,0.0026875,0.00013437,0.00013437,23,23,true,false,PAH
"Benzo[g,h,i]perylene",-100.17,17126.0,12.333,402.87,51.998,102.54,-105160.0,-125.9,250.0,90.0,0.99961,0.99961,0.0023353,0.0023353,0.00012291,0.00012291,22,22,true,false,PAH
