Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Naphthalene,-55.345,1.1909,8245.0,72.729,6.8777,0.16856,157.31,0.061995,35.064,0.030504,57.185,1.4015,-43937.0,40.264,-56.163,0.090006,-47786.0,103.06,-65.886,0.25533,90.0,250.0,0.99997,0.0036268,7.4016e-5,52,PAH
Acenaphthylene,-48.282,1.8164,8751.6,121.21,5.7516,0.25337,204.49,0.076809,37.995,0.040377,47.822,2.1066,-49923.0,55.429,-58.613,0.11234,-55399.0,247.74,-71.718,0.5884,90.0,250.0,0.99995,0.0048358,9.8691e-5,52,PAH
Acenaphthene,-52.535,2.0378,9135.0,136.74,6.3242,0.28399,207.58,0.079314,37.918,0.045219,52.583,2.3612,-50675.0,62.703,-59.504,0.12691,-56857.0,284.9,-74.253,0.67463,90.0,250.0,0.99995,0.0052644,0.00010744,52,PAH
Fluorene,-56.422,1.4413,9725.3,99.021,6.8124,0.20011,220.76,0.044021,38.352,0.035638,56.642,1.6638,-52885.0,50.038,-61.167,0.099953,-60291.0,223.35,-78.586,0.52145,90.0,250.0,0.99998,0.0011203,2.8725e-5,42,PAH
Phenanthrene,-62.816,2.0055,10759.0,145.2,7.6372,0.27613,251.5,0.04608,40.766,0.058463,63.5,2.2958,-56141.0,81.113,-61.097,0.15374,-66396.0,379.64,-84.46,0.85865,90.0,250.0,0.99998,0.0012627,3.1568e-5,43,PAH
Anthracene,-55.961,2.5965,10343.0,188.18,6.6715,0.35744,252.08,0.061173,40.335,0.075297,55.47,2.972,-56866.0,106.98,-62.36,0.20251,-65856.0,493.53,-82.83,1.1153,90.0,250.0,0.99997,0.0020046,5.2752e-5,41,PAH
Fluoranthene,-47.814,2.6508,10487.0,202.76,5.4655,0.36181,285.84,0.051746,42.046,0.081329,45.442,3.0082,-61788.0,120.06,-64.629,0.21405,-70688.0,601.28,-84.228,1.3151,90.0,250.0,0.99997,0.0015352,3.8381e-5,43,PAH
Pyrene,-60.464,3.2265,11471.0,250.58,7.2213,0.43939,295.22,0.056796,43.853,0.12176,60.041,3.6533,-61250.0,170.5,-61.855,0.2994,-73572.0,768.94,-88.752,1.6637,90.0,250.0,0.99997,0.0010494,2.9983e-5,38,PAH
Benz[a]anthracene,-60.78,6.7968,12442.0,553.75,7.1217,0.91886,326.49,0.1471,44.003,0.29661,59.213,7.6398,-67941.0,459.17,-67.395,0.76423,-81944.0,1864.3,-97.091,3.9071,90.0,250.0,0.99995,0.0010982,3.787e-5,32,PAH
Chrysene,-58.37,4.9912,12305.0,408.29,6.7892,0.67439,328.92,0.12118,44.111,0.22911,56.448,5.6072,-68325.0,355.93,-67.575,0.58985,-81812.0,1386.3,-96.113,2.8956,90.0,250.0,0.99997,0.00056401,2.0143e-5,31,PAH
Benzo[b]fluoranthene,-77.353,1.8609,14429.0,159.01,9.3024,0.24991,356.35,0.089179,46.224,0.12363,77.345,2.0778,-71280.0,191.71,-67.324,0.30327,-91881.0,585.98,-109.87,1.1828,90.0,250.0,1.0,3.1581e-5,1.4355e-6,25,PAH
Benzo[k]fluoranthene,-77.951,1.7623,14502.0,150.72,9.3788,0.23664,356.85,0.086262,46.185,0.11797,77.98,1.9675,-71452.0,183.56,-67.508,0.29012,-92261.0,556.47,-110.47,1.1223,90.0,250.0,1.0,3.0696e-5,1.3346e-6,26,PAH
Benzo[a]pyrene,-81.054,1.7795,14877.0,155.11,9.8057,0.23836,368.27,0.11616,47.907,0.14411,81.529,1.9818,-71403.0,216.35,-65.414,0.33549,-94090.0,592.88,-111.79,1.1766,90.0,250.0,1.0,2.873e-5,1.3059e-6,25,PAH
"Indeno[1,2,3-cd]pyrene",-85.363,2.9298,15879.0,264.42,10.312,0.39046,392.81,0.22889,49.215,0.25767,85.738,3.2465,-74927.0,395.65,-66.601,0.59032,-100890.0,1060.8,-118.59,2.0561,90.0,250.0,1.0,5.7111e-6,4.0794e-7,17,PAH
"Dibenzo[a,h]anthracene",-71.431,39.644,15024.0,3555.0,8.3538,5.2876,388.99,2.7511,46.186,2.9586,69.458,43.964,-78927.0,5098.4,-73.291,7.6519,-99694.0,14109.0,-115.01,27.5,90.0,250.0,0.99973,0.0016415,9.1194e-5,21,PAH
"Benzo[g,h,i]perylene",-71.267,43.208,14917.0,3942.3,8.3881,5.7503,399.69,3.7923,48.821,3.9182,69.742,47.81,-77100.0,6248.6,-68.681,9.2192,-98699.0,16088.0,-111.69,30.903,90.0,250.0,0.99967,0.0017869,9.9274e-5,21,PAH
