Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
C8,-129.24,53.036,9823.1,2509.0,18.032,7.84,45.508,0.93773,24.905,1.3957,149.92,65.186,-27229.0,3483.7,-40.879,10.426,250.0,90.0,0.99964,0.00027766,0.00013883,5,alkane
C9,-84.84,13.564,8125.4,675.07,11.395,1.9871,65.781,0.11654,26.946,0.28984,94.747,16.522,-33151.0,553.84,-52.133,1.6033,250.0,90.0,0.99993,0.00019241,4.8102e-5,7,alkane
C10,-78.094,6.8343,8310.9,356.03,10.273,0.99318,85.071,0.06896,27.71,0.079482,85.412,8.2577,-38083.0,119.52,-60.411,0.33041,250.0,90.0,0.99998,0.00011411,2.2821e-5,8,alkane
C11,-79.759,2.7411,8905.5,148.82,10.388,0.39556,102.86,0.035235,28.28,0.027605,86.37,3.2889,-42679.0,59.613,-67.648,0.15841,250.0,90.0,1.0,3.7853e-5,6.3088e-6,9,alkane
C12,-84.548,1.9265,9645.4,108.59,10.966,0.27628,119.42,0.034379,28.859,0.027904,91.18,2.2971,-47084.0,80.806,-74.299,0.21048,250.0,90.0,1.0,6.2149e-5,7.7686e-6,11,alkane
C13,-85.281,1.8987,10156.0,110.68,10.965,0.27079,134.92,0.031097,29.312,0.03209,91.168,2.2514,-51331.0,114.03,-80.478,0.29199,250.0,90.0,1.0,5.3795e-5,6.7244e-6,11,alkane
C14,-68.032,10.926,9602.3,657.2,8.4074,1.5505,149.55,0.14116,29.541,0.23677,69.903,12.891,-54453.0,868.18,-83.68,2.1784,250.0,90.0,0.99993,0.00089887,0.00012841,10,alkane
C15,-102.52,7.3734,12032.0,455.77,13.238,1.0416,163.32,0.1086,30.464,0.15683,110.07,8.6601,-60064.0,690.08,-93.459,1.7075,250.0,90.0,0.99996,0.00065132,8.1415e-5,11,alkane
C16,-97.152,8.9252,12156.0,565.36,12.381,1.2556,176.25,0.10095,30.635,0.16112,102.94,10.44,-63691.0,946.07,-97.996,2.3158,250.0,90.0,0.99996,0.00043985,6.2835e-5,10,alkane
C17,-103.86,6.3661,12977.0,412.8,13.248,0.89221,188.54,0.06999,31.069,0.12088,110.15,7.4183,-67900.0,764.39,-104.09,1.8451,250.0,90.0,0.99998,0.00020236,2.8908e-5,10,alkane
C18,-108.07,5.0135,13647.0,332.2,13.76,0.70019,200.23,0.053817,31.415,0.097534,114.41,5.8217,-71919.0,667.91,-109.71,1.5917,250.0,90.0,0.99999,0.0001138,1.6258e-5,10,alkane
C19,-107.18,4.3031,13990.0,290.88,13.556,0.59904,211.31,0.044899,31.618,0.083416,112.71,4.9807,-75391.0,625.98,-113.97,1.4745,250.0,90.0,0.99999,7.6216e-5,1.0888e-5,10,alkane
C20,-108.39,4.2675,14459.0,293.86,13.652,0.5923,221.86,0.043114,31.821,0.081264,113.51,4.9247,-78994.0,669.85,-118.6,1.561,250.0,90.0,0.99999,6.8308e-5,9.7583e-6,10,alkane
C21,-122.79,7.5857,15760.0,533.04,15.601,1.0498,232.17,0.11879,32.419,0.21313,129.72,8.7285,-83931.0,1314.3,-126.55,3.0076,250.0,90.0,1.0,2.0228e-5,5.0571e-6,7,alkane
C22,-109.28,3.3473,15265.0,238.53,13.637,0.46208,241.56,0.040018,32.126,0.070291,113.38,3.8419,-85749.0,601.48,-126.85,1.3715,250.0,90.0,1.0,6.8187e-5,8.5233e-6,11,alkane
C23,-108.91,3.006,15595.0,217.47,13.522,0.41396,250.79,0.034087,32.255,0.059757,112.43,3.4418,-88840.0,568.89,-130.36,1.2863,250.0,90.0,1.0,5.039e-5,6.2987e-6,11,alkane
C24,-110.2,2.8283,16029.0,207.67,13.641,0.38858,259.66,0.030761,32.403,0.059742,113.42,3.2309,-92086.0,564.48,-134.29,1.264,250.0,90.0,1.0,2.29e-5,3.2715e-6,10,alkane
C25,-112.36,3.5703,16516.0,265.87,13.881,0.48945,268.17,0.040828,32.555,0.079489,115.42,4.0695,-95404.0,747.92,-138.42,1.6594,250.0,90.0,1.0,1.7413e-5,2.9022e-6,9,alkane
C26,-111.42,1.8265,16783.0,137.83,13.694,0.24988,276.33,0.022967,32.609,0.042218,113.85,2.0776,-98199.0,399.85,-141.35,0.87943,250.0,90.0,1.0,1.9788e-6,3.9576e-7,8,alkane
C27,-117.93,1.69,17574.0,129.31,14.537,0.23075,284.24,0.029887,32.804,0.046144,120.87,1.9186,-102220.0,388.96,-147.15,0.84581,250.0,90.0,1.0,1.6875e-6,3.3749e-7,8,alkane
C28,-127.22,1.5966,18565.0,123.67,15.762,0.21759,291.9,0.030965,33.056,0.045195,131.05,1.8091,-106770.0,381.63,-154.16,0.82323,250.0,90.0,1.0,5.761e-7,1.4402e-7,7,alkane
C29,-135.87,3.1227,19498.0,244.75,16.903,0.4248,299.42,0.066154,33.386,0.09186,140.54,3.532,-111080.0,773.54,-160.67,1.6557,250.0,90.0,1.0,7.0302e-7,2.3434e-7,6,alkane
C30,-147.13,9.6861,20629.0,768.96,18.4,1.3153,306.72,0.26423,33.763,0.32766,152.99,10.936,-115960.0,2505.4,-168.49,5.3042,250.0,90.0,1.0,6.7404e-6,2.2468e-6,6,alkane
