Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
Limonene,-74.08,8345.4,9.6995,106.14,30.828,80.646,-40101.0,-59.893,250.0,90.0,1.0,1.0,1.6789e-5,1.6789e-5,4.1973e-6,4.1973e-6,7,7,true,false,allergenic fragrances
Linalool,-83.176,9508.6,10.803,120.72,29.529,89.817,-46441.0,-72.29,250.0,90.0,1.0,1.0,1.7043e-5,1.7043e-5,3.4086e-6,3.4086e-6,8,8,true,false,allergenic fragrances
Benzylalkohol,-76.686,9035.3,9.963,129.2,32.206,82.837,-45041.0,-66.457,250.0,90.0,1.0,1.0,1.6394e-5,1.6394e-5,2.7323e-6,2.7323e-6,9,9,true,false,allergenic fragrances
Geraniol,-88.825,10625.0,11.451,150.5,31.082,95.209,-53770.0,-82.087,250.0,90.0,1.0,1.0,2.2404e-5,2.2404e-5,3.734e-6,3.734e-6,9,9,true,false,allergenic fragrances
Citral A,-89.722,10681.0,11.59,152.75,31.575,96.361,-53811.0,-81.6,250.0,90.0,1.0,1.0,1.2087e-6,1.2087e-6,2.4174e-7,2.4174e-7,8,8,true,false,allergenic fragrances
Citral B,-93.768,11098.0,12.121,157.47,31.541,100.78,-55680.0,-84.778,250.0,90.0,1.0,1.0,2.7813e-6,2.7813e-6,5.5626e-7,5.5626e-7,8,8,true,false,allergenic fragrances
Cinnamaldehyde,-83.003,10559.0,10.638,174.36,34.54,88.449,-55668.0,-80.291,250.0,90.0,1.0,1.0,1.299e-6,1.299e-6,2.165e-7,2.165e-7,9,9,true,false,allergenic fragrances
Eugenol,-87.709,11065.0,11.243,178.4,34.047,93.48,-58056.0,-84.729,250.0,90.0,1.0,1.0,1.2191e-6,1.2191e-6,2.0318e-7,2.0318e-7,9,9,true,false,allergenic fragrances
Isomethyl-alpha-Ionon,-89.477,11373.0,11.451,184.71,34.197,95.213,-59987.0,-87.478,250.0,90.0,1.0,1.0,1.9579e-6,1.9579e-6,3.2631e-7,3.2631e-7,9,9,true,false,allergenic fragrances
Isoeugenol,-87.012,11447.0,11.067,193.83,34.728,92.015,-61764.0,-89.034,250.0,90.0,1.0,1.0,2.4276e-6,2.4276e-6,3.4679e-7,3.4679e-7,10,10,true,false,allergenic fragrances
Unknown_1,-114.01,14012.0,14.649,210.39,33.748,121.8,-72267.0,-108.09,250.0,90.0,1.0,1.0,2.2059e-5,2.2059e-5,4.4118e-6,4.4118e-6,8,8,true,false,allergenic fragrances
Unknown_2,-111.38,13932.0,14.267,213.62,33.91,118.62,-72761.0,-108.2,250.0,90.0,1.0,1.0,1.9363e-5,1.9363e-5,3.2272e-6,3.2272e-6,9,9,true,false,allergenic fragrances
Unknown_3,-108.96,13729.0,13.972,219.94,35.552,116.17,-71957.0,-104.94,250.0,90.0,1.0,1.0,1.8309e-5,1.8309e-5,3.0515e-6,3.0515e-6,9,9,true,false,allergenic fragrances
Benzylbenzoate,-96.905,13299.0,12.267,241.68,37.953,101.99,-73534.0,-102.47,250.0,90.0,1.0,1.0,1.4598e-5,1.4598e-5,2.0855e-6,2.0855e-6,10,10,true,false,allergenic fragrances
Benzylsalicylate,-95.396,13464.0,12.022,252.8,38.738,99.954,-75646.0,-104.0,250.0,90.0,1.0,1.0,1.0173e-5,1.0173e-5,1.4532e-6,1.4532e-6,10,10,true,false,allergenic fragrances
Benzylcinnamate,-111.42,15518.0,14.068,278.55,39.24,116.97,-86548.0,-119.91,250.0,90.0,0.99999,0.99999,3.9805e-5,3.9805e-5,9.9512e-6,9.9512e-6,7,7,true,false,allergenic fragrances
