Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Hexane,-42.741,9.4345,5145.9,439.32,5.5314,1.399,38.775,0.29456,28.445,0.41643,45.99,11.632,-28440.0,419.81,-45.268,1.3376,-26084.0,730.01,-38.275,2.2196,90.0,250.0,0.99999,4.0766e-6,4.0766e-6,4
Heptane,-44.209,18.78,5544.7,891.89,5.6177,2.7744,46.893,0.33525,27.337,0.60905,46.708,23.067,-31152.0,697.11,-51.43,2.171,-29139.0,1215.3,-45.528,3.6362,90.0,250.0,0.99998,1.6032e-5,1.6032e-5,4
Octane,-56.321,4.2625,6672.4,214.75,7.2593,0.6234,69.526,0.089641,28.06,0.1459,60.357,5.1832,-34794.0,181.83,-55.629,0.52861,-33559.0,211.07,-52.127,0.60909,90.0,250.0,0.99997,0.00020424,3.404e-5,9
Nonane,-64.737,3.576,7622.5,189.03,8.3585,0.51859,90.087,0.090286,28.768,0.096917,69.497,4.3118,-38133.0,129.86,-59.073,0.35463,-38139.0,130.92,-59.089,0.35632,90.0,250.0,0.99997,0.00050597,5.6219e-5,12
Decane,-70.905,1.0964,8450.3,60.429,9.1347,0.15785,108.97,0.033599,29.44,0.020806,75.95,1.3124,-41238.0,30.032,-62.01,0.076855,-42678.0,39.563,-65.878,0.10268,90.0,250.0,1.0,7.3211e-5,7.3211e-6,13
Undecane,-75.494,1.8834,9176.4,107.85,9.6911,0.2694,126.54,0.063076,30.124,0.032355,80.576,2.2399,-44092.0,49.36,-64.409,0.11976,-47036.0,96.441,-72.133,0.24709,90.0,250.0,0.99999,0.00027242,2.7242e-5,13
Dodecane,-80.71,1.5738,9936.8,93.257,10.338,0.22384,142.81,0.04385,30.696,0.027276,85.953,1.8611,-46866.0,42.801,-66.761,0.10082,-51405.0,107.61,-78.432,0.27261,90.0,250.0,0.99999,0.00013578,1.3578e-5,13
Tridecane,-85.944,1.9562,10687.0,119.63,10.992,0.2768,158.12,0.041741,31.279,0.039896,91.393,2.3015,-49440.0,63.783,-68.731,0.14664,-55665.0,169.5,-84.442,0.42227,90.0,250.0,0.99999,0.00011471,1.2746e-5,12
Tetradecane,-90.02,2.0932,11365.0,131.69,11.483,0.29482,172.5,0.030579,31.792,0.044929,95.475,2.4513,-51941.0,73.751,-70.643,0.16491,-59818.0,215.39,-90.189,0.52839,90.0,250.0,1.0,4.7381e-5,5.9226e-6,11
Pentadecane,-94.679,2.3561,12077.0,152.26,12.056,0.33046,186.01,0.031749,32.231,0.062204,100.24,2.7476,-54387.0,105.23,-72.54,0.22874,-64011.0,284.12,-96.055,0.68406,90.0,250.0,1.0,3.0466e-5,4.3523e-6,10
Hexadecane,-99.476,3.1018,12791.0,205.53,12.652,0.43336,198.81,0.050233,32.662,0.096736,105.19,3.6032,-56703.0,168.37,-74.235,0.35606,-68149.0,426.87,-101.8,1.0094,90.0,250.0,1.0,2.4926e-5,4.1543e-6,9
Heptadecane,-116.32,9.2039,14243.0,624.5,14.95,1.2813,211.06,0.19849,33.474,0.3384,124.3,10.653,-58236.0,590.66,-74.362,1.2168,-73285.0,1419.6,-110.12,3.2989,90.0,250.0,0.99999,9.4326e-5,1.8865e-5,8
Octadecane,-105.54,4.9189,13999.0,341.42,13.343,0.68256,222.22,0.15974,33.208,0.21057,110.94,5.6751,-61440.0,391.6,-78.121,0.78748,-76108.0,847.4,-112.57,1.9311,90.0,250.0,1.0,3.554e-6,1.1847e-6,6
Nonadecane,-120.83,0.22758,15365.0,16.138,15.419,0.031479,233.49,0.0090268,33.986,0.010953,128.2,0.26173,-62796.0,20.361,-78.039,0.040006,-81192.0,42.796,-120.73,0.095976,90.0,250.0,1.0,1.8029e-9,9.0145e-10,5
Eicosane,-135.37,5.3497,16702.0,386.15,17.382,0.73785,244.24,0.20663,34.727,0.25805,144.52,6.1348,-64092.0,479.0,-77.968,0.92183,-86382.0,1062.4,-129.12,2.3611,90.0,250.0,1.0,4.1537e-7,4.1537e-7,4
