Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
Hexane,-41.509,5260.1,5.1405,40.032,26.871,42.741,-28214.0,-50.434,125.0,90.0,0.99965,0.99965,0.0012829,0.0012829,0.00021381,0.00021381,9,9,true,false
Heptane,-26.294,4688.8,2.9622,64.807,30.972,24.629,-30041.0,-48.81,125.0,90.0,0.99993,0.99993,0.00059197,0.00059197,6.5774e-5,6.5774e-5,12,12,true,false
Octane,-29.99,5314.3,3.418,88.832,32.139,28.419,-33865.0,-53.41,125.0,90.0,0.99992,0.99992,0.0012109,0.0012109,0.00011008,0.00011008,14,14,true,false
Nonane,-45.578,6611.8,5.5749,110.41,32.885,46.352,-38141.0,-59.364,125.0,90.0,0.99996,0.99996,0.00075952,0.00075952,6.9048e-5,6.9048e-5,14,14,true,false
Decane,-54.949,7579.8,6.8311,130.19,33.719,56.797,-42396.0,-65.271,125.0,90.0,0.99998,0.99998,0.00057561,0.00057561,5.2329e-5,5.2329e-5,14,14,true,false
Undecane,-40.676,7170.1,4.7169,148.87,34.386,39.219,-45373.0,-67.791,125.0,90.0,0.99983,0.99983,0.0045764,0.0045764,0.00041604,0.00041604,14,14,true,false
Dodecane,-57.844,8591.7,7.0832,165.75,35.133,58.893,-50048.0,-74.881,125.0,90.0,0.99996,0.99996,0.0015533,0.0015533,9.7083e-5,9.7083e-5,19,19,true,false
Tridecane,-67.708,9601.1,8.4026,181.54,35.765,69.863,-54457.0,-81.264,125.0,90.0,0.99998,0.99998,0.00080801,0.00080801,5.3868e-5,5.3868e-5,18,18,true,false
Tetradecane,-70.831,10203.0,8.7667,196.38,36.223,72.89,-58358.0,-86.358,125.0,90.0,0.99996,0.99996,0.001293,0.001293,8.6201e-5,8.6201e-5,18,18,true,false
Pentadecane,-77.67,11035.0,9.6541,210.26,36.697,80.269,-62600.0,-92.344,125.0,90.0,0.99997,0.99997,0.0011604,0.0011604,7.2524e-5,7.2524e-5,19,19,true,false
Hexadecane,-84.892,11889.0,10.596,223.35,37.195,88.101,-66854.0,-98.398,125.0,90.0,0.99997,0.99997,0.00090489,0.00090489,6.0326e-5,6.0326e-5,18,18,true,false
Heptadecane,-86.868,12391.0,10.806,235.82,37.591,89.85,-70400.0,-102.76,125.0,90.0,0.99997,0.99997,0.00098489,0.00098489,7.0349e-5,7.0349e-5,17,17,true,false
Octadecane,-103.32,13859.0,13.035,247.63,38.356,108.38,-75874.0,-111.82,125.0,90.0,0.99999,0.99999,0.00016765,0.00016765,1.2896e-5,1.2896e-5,16,16,true,false
Nonadecane,-99.074,13944.0,12.378,258.79,38.449,102.91,-78560.0,-114.17,125.0,90.0,0.99999,0.99999,0.00018929,0.00018929,1.5774e-5,1.5774e-5,15,15,true,false
Eicosane,-104.73,14695.0,13.098,269.42,38.794,108.9,-82633.0,-119.87,125.0,90.0,0.99999,0.99999,0.00021447,0.00021447,1.9497e-5,1.9497e-5,14,14,true,false
