Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1,Cat_2
Methyl butyrate,-74.739,7357.8,9.9477,49.699,25.139,82.71,-31140.0,-51.142,250.0,90.0,0.99955,0.99955,0.001927,0.001927,0.00032116,0.00032116,9,9,true,false,FAME,saturated FAME
Methyl hexanoate,-88.056,9075.9,11.631,89.321,27.033,96.702,-40344.0,-65.395,250.0,90.0,0.99995,0.99995,0.00050178,0.00050178,7.1683e-5,7.1683e-5,10,10,true,false,FAME,saturated FAME
Methyl octanoate,-98.661,10605.0,12.941,122.96,28.639,107.6,-49100.0,-78.441,250.0,90.0,0.99997,0.99997,0.0009088,0.0009088,7.5733e-5,7.5733e-5,15,15,true,false,FAME,saturated FAME
Methyl decanoate,-107.23,12006.0,13.968,152.75,29.945,116.14,-57652.0,-90.857,250.0,90.0,0.99999,0.99999,0.00019253,0.00019253,1.7503e-5,1.7503e-5,14,14,true,false,FAME,saturated FAME
Methyl undecanoate,-111.37,12698.0,14.461,166.41,30.466,120.23,-61917.0,-97.012,250.0,90.0,0.99999,0.99999,0.00022362,0.00022362,2.0329e-5,2.0329e-5,14,14,true,false,FAME,saturated FAME
Methyl laurate,-110.12,13052.0,14.195,179.4,30.899,118.02,-65659.0,-101.84,250.0,90.0,0.99999,0.99999,0.00019806,0.00019806,1.9806e-5,1.9806e-5,13,13,true,false,FAME,saturated FAME
Methyl tridecanoate,-109.69,13454.0,14.047,191.67,31.201,116.79,-69451.0,-106.79,250.0,90.0,0.99999,0.99999,0.00014528,0.00014528,1.3207e-5,1.3207e-5,14,14,true,false,FAME,saturated FAME
Methyl myristate,-109.82,13875.0,13.983,203.33,31.477,116.26,-73145.0,-111.53,250.0,90.0,0.99999,0.99999,0.00014436,0.00014436,1.3124e-5,1.3124e-5,14,14,true,false,FAME,saturated FAME
Methyl myristoleate,-99.934,13244.0,12.604,205.38,31.75,104.8,-72059.0,-108.32,250.0,90.0,0.99999,0.99999,0.00020659,0.00020659,1.7216e-5,1.7216e-5,15,15,true,false,FAME,
Methyl pentadecanoate,-104.54,13956.0,13.157,214.28,31.498,109.4,-76311.0,-114.96,250.0,90.0,0.99999,0.99999,0.00012484,0.00012484,1.1349e-5,1.1349e-5,14,14,true,false,FAME,saturated FAME
Methyl cis-10-pentadecenoate,-101.32,13728.0,12.723,216.4,31.955,105.78,-75728.0,-113.06,250.0,90.0,0.99999,0.99999,0.00012594,0.00012594,1.0495e-5,1.0495e-5,15,15,true,false,FAME,
Methyl palmitate,-107.16,14517.0,13.449,224.78,31.705,111.82,-80091.0,-119.97,250.0,90.0,0.99999,0.99999,0.00012057,0.00012057,1.0961e-5,1.0961e-5,14,14,true,false,FAME,saturated FAME
Methyl palmitoleate,-102.23,14134.0,12.785,225.98,32.136,106.3,-78912.0,-117.04,250.0,90.0,0.99999,0.99999,0.00012378,0.00012378,1.0315e-5,1.0315e-5,15,15,true,false,FAME,
Methyl heptadecanoate,-111.63,15193.0,14.002,234.82,31.932,116.42,-84047.0,-125.43,250.0,90.0,0.99999,0.99999,9.3125e-5,9.3125e-5,8.4659e-6,8.4659e-6,14,14,true,false,FAME,saturated FAME
cis-10-Heptadecenoic acid methyl ester,-103.99,14623.0,12.963,236.03,32.316,107.78,-82444.0,-121.52,250.0,90.0,0.99999,0.99999,0.00011649,0.00011649,9.7075e-6,9.7075e-6,15,15,true,false,FAME,
Methyl stearate,-114.76,15736.0,14.385,244.82,32.384,119.61,-87400.0,-129.55,250.0,90.0,0.99973,0.99973,0.0032734,0.0032734,0.00029758,0.00029758,14,14,true,false,FAME,saturated FAME
trans-9-Elaidic acid methyl ester,-116.04,15757.0,14.585,245.35,32.806,121.27,-86973.0,-128.69,250.0,90.0,0.99999,0.99999,9.5967e-5,9.5967e-5,8.7243e-6,8.7243e-6,14,14,true,false,FAME,
cis-9-Oleic acid methyl ester,-111.1,15508.0,13.871,245.31,32.324,115.33,-87054.0,-128.52,250.0,90.0,0.99999,0.99999,0.00011595,0.00011595,1.0541e-5,1.0541e-5,14,14,true,false,FAME,saturated FAME
Methyl linolelaidate,-105.4,15069.0,13.105,247.19,32.817,108.96,-85726.0,-125.11,250.0,90.0,0.99999,0.99999,0.00012697,0.00012697,1.0581e-5,1.0581e-5,15,15,true,false,FAME,
Methyl linoleate,-100.06,14887.0,12.308,247.54,31.979,102.34,-86611.0,-126.34,250.0,90.0,0.99982,0.99982,0.0029525,0.0029525,0.00024604,0.00024604,15,15,true,false,FAME,
Methyl arachidate,-112.84,16386.0,13.967,262.19,32.166,116.13,-94074.0,-137.54,250.0,90.0,0.99999,0.99999,0.00013308,0.00013308,1.2098e-5,1.2098e-5,14,14,true,false,FAME,saturated FAME
Methyl gamma linolenate,-98.32,14548.0,12.136,247.93,33.017,100.91,-84311.0,-121.75,250.0,90.0,0.99999,0.99999,0.00023317,0.00023317,1.9431e-5,1.9431e-5,15,15,true,false,FAME,
Methyl cis-11-eicosenoate,-115.04,16438.0,14.306,263.07,32.798,118.95,-93477.0,-136.38,250.0,90.0,0.99997,0.99997,0.00027714,0.00027714,3.9592e-5,3.9592e-5,10,10,true,false,FAME,
Methyl alpha linolenate,-103.02,14974.0,12.767,250.18,33.027,106.15,-85949.0,-124.62,250.0,90.0,0.99999,0.99999,0.00021609,0.00021609,1.8007e-5,1.8007e-5,15,15,true,false,FAME,
Methyl heneicosanoate,-113.24,16767.0,13.96,270.58,32.218,116.07,-97257.0,-141.26,250.0,90.0,0.99999,0.99999,0.00015766,0.00015766,1.5766e-5,1.5766e-5,13,13,true,false,FAME,saturated FAME
"cis-11,14-Eicosadienoic acid methyl ester",-102.48,15576.0,12.572,265.13,32.894,104.53,-91545.0,-131.29,250.0,90.0,0.99999,0.99999,0.00012865,0.00012865,1.4294e-5,1.4294e-5,12,12,true,false,FAME,
Methyl behenate,-111.21,16972.0,13.618,278.61,32.186,113.23,-99999.0,-143.99,250.0,90.0,0.99999,0.99999,0.00022735,0.00022735,2.5261e-5,2.5261e-5,12,12,true,false,FAME,saturated FAME
"cis-8,11,14-Eicosatrienoic acid methyl ester",-101.81,15461.0,12.504,265.89,33.318,103.97,-90797.0,-129.67,250.0,90.0,0.99999,0.99999,0.00011536,0.00011536,1.4419e-5,1.4419e-5,11,11,true,false,FAME,
Methyl erucate,-155.11,20096.0,19.679,279.54,33.134,163.62,-107670.0,-161.5,250.0,90.0,0.99978,0.99978,0.0035114,0.0035114,0.00043892,0.00043892,11,11,true,false,FAME,
"cis-11,14,17-Eicosatrienoic acid methyl ester",-103.65,15717.0,12.732,268.05,33.184,105.86,-92235.0,-131.93,250.0,90.0,0.99999,0.99999,0.00012243,0.00012243,1.2243e-5,1.2243e-5,13,13,true,false,FAME,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-93.712,14837.0,11.403,266.29,33.502,94.808,-88933.0,-125.49,250.0,90.0,0.99999,0.99999,0.00010676,0.00010676,1.0676e-5,1.0676e-5,13,13,true,false,FAME,
Methyl tricosanoate,-119.47,17883.0,14.703,286.49,32.44,122.25,-104300.0,-150.4,250.0,90.0,0.99999,0.99999,0.00012543,0.00012543,1.5679e-5,1.5679e-5,11,11,true,false,FAME,saturated FAME
"cis-13,16-Docosadienoic acid methyl ester",-107.85,16645.0,13.195,281.68,33.017,109.71,-98550.0,-140.31,250.0,90.0,0.99999,0.99999,0.00014562,0.00014562,1.618e-5,1.618e-5,12,12,true,false,FAME,
Methyl lignocerate,-124.28,18551.0,15.312,294.06,32.608,127.31,-108010.0,-155.49,250.0,90.0,1.0,1.0,8.5352e-5,8.5352e-5,1.0669e-5,1.0669e-5,11,11,true,false,FAME,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",-22.969,10028.0,1.5839,268.28,31.967,13.169,-78594.0,-100.17,250.0,90.0,0.99962,0.99962,0.0033909,0.0033909,0.00056515,0.00056515,9,9,true,false,FAME,
Methyl nervonate,-104.56,17011.0,12.636,295.09,32.844,105.06,-103290.0,-144.98,250.0,90.0,0.99999,0.99999,7.3812e-5,7.3812e-5,1.2302e-5,1.2302e-5,9,9,true,false,FAME,
