Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Methyl butyrate,-45.888,1.9865,5794.4,100.71,5.793,0.29047,69.687,0.096275,30.863,0.11949,48.166,2.4151,-31664.0,123.87,-52.214,0.35851,-30686.0,133.93,-49.441,0.38566,90.0,125.0,0.99997,0.00042348,3.529e-5,15
Methyl hexanoate,-63.647,1.3052,7698.1,72.841,8.1564,0.18752,114.37,0.050253,33.096,0.034657,67.816,1.5592,-37726.0,40.699,-57.207,0.10272,-39378.0,56.373,-61.612,0.14527,90.0,125.0,0.99999,0.00017964,1.6331e-5,14
Methyl octanoate,-72.661,1.2649,9113.3,76.422,9.262,0.17934,152.12,0.044406,34.951,0.031331,77.008,1.4911,-43023.0,39.6,-61.022,0.091302,-47806.0,101.1,-73.181,0.253,90.0,125.0,0.99999,0.00014638,1.2198e-5,15
Methyl decanoate,-104.94,2.9325,11910.0,188.81,13.673,0.41146,184.87,0.1339,37.147,0.068532,113.68,3.421,-46954.0,90.871,-62.37,0.19149,-57738.0,338.61,-88.755,0.81866,90.0,125.0,0.99996,0.0015855,0.0001057,18
Methyl undecanoate,-108.54,2.2572,12578.0,149.4,14.09,0.31528,199.88,0.090555,37.844,0.052521,117.15,2.6214,-49160.0,70.776,-63.782,0.1456,-62032.0,297.46,-94.749,0.70904,90.0,125.0,0.99998,0.00053845,4.1419e-5,16
Methyl laurate,-113.55,1.9183,13337.0,130.23,14.704,0.26685,213.8,0.061848,38.388,0.051766,122.25,2.2187,-51358.0,70.474,-65.324,0.14285,-66493.0,284.03,-101.19,0.66685,90.0,125.0,0.99999,0.00028665,2.205e-5,16
Methyl tridecanoate,-116.51,1.927,13955.0,133.86,15.035,0.26707,227.02,0.046805,38.877,0.051103,125.01,2.2206,-53503.0,71.037,-66.824,0.14096,-70631.0,312.68,-106.84,0.72496,90.0,125.0,1.0,8.2049e-5,9.1166e-6,12
Methyl myristate,-119.18,1.5359,14543.0,109.04,15.328,0.21215,239.49,0.028975,39.31,0.04594,127.44,1.7639,-55585.0,65.263,-68.285,0.12687,-74637.0,271.75,-112.22,0.62131,90.0,125.0,1.0,3.4254e-5,3.806e-6,12
Methyl myristoleate,-124.07,3.4535,14766.0,244.65,16.04,0.47712,238.72,0.090795,39.97,0.085521,133.36,3.967,-54504.0,118.21,-66.334,0.22861,-74337.0,602.21,-112.11,1.3813,90.0,125.0,0.99998,0.00049241,4.1034e-5,15
Methyl pentadecanoate,-121.37,2.2571,15094.0,163.56,15.556,0.31078,251.26,0.03926,39.651,0.078089,129.34,2.584,-57667.0,113.9,-69.821,0.21673,-78525.0,432.11,-117.35,0.97406,90.0,125.0,1.0,5.2273e-5,5.8082e-6,12
