Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1,Cat_2
Methyl butyrate,-73.265,7037.0,9.8742,51.217,27.442,82.099,-28694.0,-43.099,250.0,90.0,0.99998,0.00013924,1.9891e-5,10,FAME,saturated FAME
Methyl hexanoate,-66.411,7732.9,8.6172,94.594,29.631,71.647,-38276.0,-58.181,250.0,90.0,0.99988,0.0032815,0.00023439,17,FAME,saturated FAME
Methyl octanoate,-66.163,8697.6,8.3594,131.24,30.755,69.504,-47076.0,-70.892,250.0,90.0,0.99992,0.004679,0.00027523,20,FAME,saturated FAME
Methyl decanoate,-74.301,10053.0,9.3389,162.64,31.742,77.648,-55387.0,-82.402,250.0,90.0,0.99998,0.00078561,5.6115e-5,17,FAME,saturated FAME
Methyl undecanoate,-70.915,10290.0,8.7697,177.03,31.956,72.916,-59074.0,-86.885,250.0,90.0,0.9999,0.0048358,0.00032239,18,FAME,saturated FAME
Methyl laurate,-68.274,10523.0,8.3238,190.51,32.263,69.208,-62357.0,-90.488,250.0,90.0,0.99989,0.0050664,0.00033776,18,FAME,saturated FAME
 Methyl tridecanoate,-68.323,10924.0,8.2564,203.13,32.446,68.648,-65896.0,-94.757,250.0,90.0,0.9999,0.0047774,0.00031849,18,FAME,saturated FAME
Methyl myristate,-87.109,12520.0,10.819,214.85,32.892,89.957,-71430.0,-104.03,250.0,90.0,0.99997,0.00092346,8.3951e-5,14,FAME,saturated FAME
Methyl myristoleate,-73.211,11519.0,8.9014,213.99,33.038,74.01,-68898.0,-98.428,250.0,90.0,0.99993,0.002798,0.00021523,16,FAME,unsaturated FAME
Methyl pentadecanoate,-75.53,12142.0,9.132,226.36,32.912,75.927,-73384.0,-104.49,250.0,90.0,0.99991,0.0037277,0.00026626,17,FAME,saturated FAME
Methyl cis-10-pentadecenoate,-81.499,12431.0,9.9952,225.42,33.377,83.105,-73173.0,-104.63,250.0,90.0,0.99995,0.0018904,0.00014541,16,FAME,unsaturated FAME
Methyl palmitate,-78.297,12663.0,9.4632,237.15,33.239,78.681,-76716.0,-108.5,250.0,90.0,0.99995,0.0014127,0.00011772,15,FAME,saturated FAME
Methyl palmitoleate,-78.893,12580.0,9.5767,235.43,33.548,79.625,-75683.0,-106.96,250.0,90.0,0.99996,0.0014751,0.00011347,16,FAME,unsaturated FAME
