Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
Methyl butyrate,-45.888,5794.4,5.793,69.687,30.863,48.166,-30686.0,-49.441,125.0,90.0,0.99997,0.99997,0.00042348,0.00042348,3.529e-5,3.529e-5,15,15,true,false
Methyl hexanoate,-62.145,7617.4,7.9394,114.38,33.075,66.011,-39363.0,-61.564,125.0,90.0,0.99999,0.99999,0.0003688,0.0003688,2.8369e-5,2.8369e-5,16,16,true,false
Methyl octanoate,-90.783,10142.0,11.855,151.9,35.407,98.571,-48527.0,-75.183,125.0,90.0,0.99988,0.99988,0.0049575,0.0049575,0.0003305,0.0003305,18,18,true,false
Methyl decanoate,-104.94,11910.0,13.673,184.87,37.147,113.68,-57738.0,-88.755,125.0,90.0,0.99996,0.99996,0.0015855,0.0015855,0.0001057,0.0001057,18,18,true,false
Methyl undecanoate,-116.45,13072.0,15.203,199.74,38.015,126.4,-62782.0,-96.66,125.0,90.0,0.99993,0.99993,0.0025749,0.0025749,0.00017166,0.00017166,18,18,true,false
Methyl laurate,-121.91,13866.0,15.879,213.76,38.648,132.03,-67343.0,-103.32,125.0,90.0,0.99997,0.99997,0.001375,0.001375,9.1666e-5,9.1666e-5,18,18,true,false
 Methyl tridecanoate,-126.36,14594.0,16.414,227.01,39.183,136.47,-71780.0,-109.67,125.0,90.0,0.99998,0.99998,0.00059428,0.00059428,4.5714e-5,4.5714e-5,16,16,true,false
Methyl myristate,-127.24,15073.0,16.454,239.52,39.6,136.81,-75642.0,-114.67,125.0,90.0,0.99999,0.99999,0.0002829,0.0002829,2.3575e-5,2.3575e-5,15,15,true,false
Methyl myristoleate,-124.07,14766.0,16.04,238.72,39.97,133.36,-74337.0,-112.11,125.0,90.0,0.99998,0.99998,0.00049241,0.00049241,4.1034e-5,4.1034e-5,15,15,true,false
Methyl pentadecanoate,-129.54,15637.0,16.696,251.37,39.992,138.82,-79600.0,-119.94,125.0,90.0,0.99999,0.99999,0.00021841,0.00021841,1.9855e-5,1.9855e-5,14,14,true,false
Methyl cis-10-pentadecenoate,-127.58,15405.0,16.45,250.72,40.432,136.77,-78418.0,-117.7,125.0,90.0,0.99999,0.99999,0.00028991,0.00028991,2.6355e-5,2.6355e-5,14,14,true,false
Methyl palmitate,-133.04,16278.0,17.105,262.6,40.35,142.22,-83692.0,-125.55,125.0,90.0,0.99999,0.99999,0.00023844,0.00023844,2.3844e-5,2.3844e-5,13,13,true,false
Methyl palmitoleate,-131.17,16008.0,16.883,261.19,40.871,140.38,-82116.0,-122.77,125.0,90.0,0.99998,0.99998,0.0004025,0.0004025,4.025e-5,4.025e-5,13,13,true,false
Methyl heptadecanoate,-133.82,16727.0,17.139,273.21,40.542,142.5,-87327.0,-130.11,125.0,90.0,0.99998,0.99998,0.00023751,0.00023751,2.639e-5,2.639e-5,12,12,true,false
cis-10-Heptadecanoic acid methyl ester,-131.1,16394.0,16.8,271.96,41.065,139.68,-85579.0,-126.96,125.0,90.0,0.99998,0.99998,0.00031647,0.00031647,3.5164e-5,3.5164e-5,12,12,true,false
Methyl stearate,-138.17,17413.0,17.67,283.43,40.879,146.92,-91424.0,-135.79,125.0,90.0,0.99998,0.99998,0.00023564,0.00023564,2.9456e-5,2.9456e-5,11,11,true,false
Methyl arachidate,-141.93,18430.0,18.053,302.28,41.176,150.1,-98727.0,-145.14,125.0,90.0,0.99999,0.99999,0.0001873,0.0001873,2.0812e-5,2.0812e-5,12,12,true,false
Methyl heneicosanoate,-146.26,19113.0,18.582,311.09,41.342,154.5,-102810.0,-150.82,125.0,90.0,0.99999,0.99999,0.00015011,0.00015011,1.8764e-5,1.8764e-5,11,11,true,false
Methyl behenate,-155.61,20158.0,19.802,319.69,41.75,164.65,-107810.0,-158.61,125.0,90.0,0.99999,0.99999,9.0945e-5,9.0945e-5,1.2992e-5,1.2992e-5,10,10,true,false
Methyl tricosanoate,-59.34,13382.0,6.5389,325.46,37.848,54.367,-91521.0,-118.53,125.0,90.0,0.99956,0.99956,0.0046921,0.0046921,0.00067031,0.00067031,10,10,true,false
Methyl lignocerate,-166.05,21629.0,21.112,335.89,42.292,175.53,-116080.0,-170.35,125.0,90.0,0.99999,0.99999,7.0127e-5,7.0127e-5,1.1688e-5,1.1688e-5,9,9,true,false
Methyl nervonate,-160.25,21039.0,20.354,334.85,42.664,169.23,-113480.0,-165.56,125.0,90.0,0.99999,0.99999,7.0665e-5,7.0665e-5,1.1778e-5,1.1778e-5,9,9,true,false
