Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1,Cat_2
Methyl butyrate,-71.148,6923.5,9.5685,51.186,27.537,79.557,-28674.0,-43.029,250.0,90.0,0.99987,0.99987,0.0012634,0.0012634,0.00011486,0.00011486,14,14,true,false,FAME,saturated FAME
Methyl hexanoate,-12.527,4676.8,0.90733,95.515,31.3,7.544,-36146.0,-52.138,250.0,90.0,0.99807,0.99807,0.094675,0.094675,0.0049829,0.0049829,22,22,true,false,FAME,saturated FAME
Methyl octanoate,-0.81188,4911.9,-0.95509,133.74,31.234,-7.9411,-43724.0,-61.503,250.0,90.0,0.99667,0.99667,0.33072,0.33072,0.015033,0.015033,25,25,true,false,FAME,saturated FAME
Methyl decanoate,-22.068,6890.8,1.9449,163.96,31.63,16.171,-51421.0,-71.992,250.0,90.0,0.99916,0.99916,0.060523,0.060523,0.0031854,0.0031854,22,22,true,false,FAME,saturated FAME
Methyl undecanoate,-38.017,8258.6,4.1275,177.78,31.785,34.318,-56203.0,-79.48,250.0,90.0,0.99946,0.99946,0.036172,0.036172,0.0020095,0.0020095,21,21,true,false,FAME,saturated FAME
Methyl laurate,-48.088,9254.6,5.4832,190.9,32.093,45.59,-60391.0,-85.495,250.0,90.0,0.99968,0.99968,0.019504,0.019504,0.0011473,0.0011473,20,20,true,false,FAME,saturated FAME
 Methyl tridecanoate,-59.974,10391.0,7.0846,203.27,32.352,58.904,-65003.0,-92.521,250.0,90.0,0.99985,0.99985,0.0081791,0.0081791,0.00051119,0.00051119,19,19,true,false,FAME,saturated FAME
Methyl myristate,-69.487,11377.0,8.352,215.09,32.657,69.442,-69377.0,-98.951,250.0,90.0,0.99987,0.99987,0.0062116,0.0062116,0.0004141,0.0004141,18,18,true,false,FAME,saturated FAME
Methyl myristoleate,-65.459,11012.0,7.8176,214.13,32.965,64.999,-67957.0,-96.106,250.0,90.0,0.99988,0.99988,0.0056889,0.0056889,0.00037926,0.00037926,18,18,true,false,FAME,unsaturated FAME
Methyl pentadecanoate,-75.53,12142.0,9.132,226.36,32.912,75.927,-73384.0,-104.49,250.0,90.0,0.99991,0.99991,0.0037277,0.0037277,0.00026626,0.00026626,17,17,true,false,FAME,saturated FAME
Methyl cis-10-pentadecenoate,-73.054,11877.0,8.8148,225.48,33.231,73.29,-72137.0,-102.09,250.0,90.0,0.99992,0.99992,0.0034223,0.0034223,0.00024445,0.00024445,17,17,true,false,FAME,unsaturated FAME
