Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
2-Hexanone,-158.01,13.552,11801.0,679.63,22.116,1.9823,69.311,0.074051,27.747,0.20926,183.88,16.482,-31338.0,432.84,-45.924,1.2399,250.0,90.0,0.99996,6.7284e-5,2.2428e-5,6,ketone
2-Decanone,-122.05,14.663,11964.0,864.3,16.367,2.0879,139.4,0.31535,32.655,0.43926,136.08,17.36,-50057.0,1042.6,-76.488,2.6329,250.0,90.0,0.99972,0.0059206,0.00065785,12,ketone
2-Undecanone,-158.02,4.7247,14545.0,286.78,21.378,0.66945,154.01,0.081198,33.709,0.13336,177.75,5.5661,-56383.0,399.53,-88.308,0.99653,250.0,90.0,0.99998,0.00029705,3.7131e-5,11,ketone
2-Dodecanone,-158.84,4.5918,15108.0,286.78,21.369,0.64763,168.12,0.078117,34.292,0.14269,177.67,5.3847,-61093.0,465.29,-95.703,1.1409,250.0,90.0,0.99998,0.00025181,3.1476e-5,11,ketone
2-Tridecanone,-150.46,3.1151,15136.0,200.07,20.048,0.43752,181.23,0.064694,34.26,0.12686,166.69,3.6378,-65314.0,381.05,-101.72,0.9127,250.0,90.0,1.0,3.073e-5,5.1216e-6,9,ketone
2-Pentadecanone,-160.84,4.7892,16724.0,321.63,21.299,0.66771,205.93,0.087046,35.2,0.17878,177.09,5.5517,-74745.0,700.93,-116.32,1.6429,250.0,90.0,1.0,2.5617e-5,5.1234e-6,8,ketone
2-Pentadecanone Std,-159.26,8.4298,16629.0,565.78,21.073,1.1754,205.65,0.15065,35.057,0.30997,175.21,9.7726,-74634.0,1229.7,-116.09,2.8838,250.0,90.0,0.99999,7.9378e-5,1.5876e-5,8,ketone
4-Methyl-2-pentanone,-79.682,64.042,7336.9,3114.4,10.858,9.419,56.791,0.5268,28.996,1.5682,90.281,78.314,-28217.0,3104.2,-40.042,9.0927,250.0,90.0,0.9995,0.00040077,0.00020038,5,ketone
2-Octanone,-101.18,2.8386,10089.0,154.7,13.472,0.40954,103.34,0.085688,28.253,0.068155,112.01,3.4051,-43209.0,114.05,-68.931,0.2985,250.0,90.0,0.99997,0.00073085,6.6441e-5,14,ketone
2-Heptanone,-89.404,4.3868,8993.3,229.58,11.875,0.63731,85.643,0.094488,27.202,0.1162,98.738,5.2989,-38917.0,172.31,-62.567,0.476,250.0,90.0,0.99995,0.00071613,7.957e-5,12,ketone
2-Nonanone,-96.624,3.8623,10331.0,218.19,12.701,0.55373,120.2,0.12626,29.002,0.064358,105.6,4.604,-47545.0,175.39,-75.292,0.45029,250.0,90.0,0.99995,0.0014938,0.00012449,15,ketone
