Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-Octanone,-70.094,3.0864,8298.4,169.38,9.0562,0.44461,107.38,0.074621,29.842,0.046878,75.297,3.6967,-40344.0,65.322,-60.114,0.16784,-41652.0,92.749,-63.633,0.2426,90.0,250.0,0.99998,0.00024262,3.0328e-5,11
4-Fluoroaniline,-56.236,4.2347,7489.5,234.6,7.1019,0.60917,111.09,0.14609,31.012,0.098017,59.049,5.0649,-39583.0,128.67,-57.107,0.32793,-40828.0,169.0,-60.441,0.43767,90.0,250.0,0.99993,0.0017907,0.00014922,15
"2,6-Dimethylphenol",-59.876,3.8958,8137.1,224.76,7.537,0.55657,130.09,0.13731,31.896,0.070705,62.666,4.6275,-42386.0,98.294,-59.207,0.23575,-44898.0,211.3,-65.768,0.5407,90.0,250.0,0.99995,0.0014948,0.00012456,15
n-Heptanal,-63.053,3.7092,7469.1,196.2,8.1479,0.5378,90.696,0.079625,29.389,0.091717,67.745,4.4715,-37452.0,118.02,-57.027,0.32203,-37500.0,118.93,-57.157,0.32351,90.0,250.0,0.99997,0.00040035,4.4484e-5,12
1-Octanol,-82.541,3.0619,9400.5,173.34,10.746,0.4388,121.43,0.069123,30.172,0.046334,89.348,3.6484,-42905.0,67.581,-62.827,0.16806,-45713.0,133.95,-70.244,0.34758,90.0,250.0,0.99999,0.00026652,2.9614e-5,12
"1,3-Dichlorobenzene",-55.457,2.8091,7327.2,156.36,7.0563,0.40369,113.81,0.071037,32.576,0.045315,58.669,3.3565,-38219.0,54.985,-52.858,0.13858,-39616.0,97.707,-56.584,0.25527,90.0,250.0,0.99998,0.00022558,2.5065e-5,12
Cyclohexanone,-52.209,3.4541,6693.1,183.05,6.6726,0.50072,91.057,0.090239,31.117,0.11378,55.479,4.1632,-35444.0,130.78,-51.409,0.35665,-35502.0,131.62,-51.571,0.35805,90.0,250.0,0.99998,0.00028196,4.028e-5,10
4-Methylphenol,-79.496,4.3579,9216.5,247.06,10.318,0.62439,122.02,0.13221,30.385,0.06885,85.788,5.1915,-42730.0,100.95,-62.223,0.24767,-45476.0,196.46,-69.471,0.5066,90.0,250.0,0.99995,0.0012763,0.00011603,14
Aniline,-48.856,4.2736,6902.6,234.6,6.0968,0.61572,106.95,0.14132,31.51,0.10818,50.691,5.1194,-38124.0,133.93,-54.389,0.34637,-38983.0,161.02,-56.702,0.41988,90.0,250.0,0.99992,0.001506,0.00013691,14
n-Butylbenzene,-52.442,4.1979,7489.4,237.9,6.5235,0.6015,121.86,0.13318,31.762,0.071751,54.239,5.0012,-40846.0,96.294,-57.496,0.23618,-42574.0,187.39,-62.057,0.48404,90.0,250.0,0.99995,0.0011844,0.00010767,14
2-Nonanone,-66.038,1.4837,8531.3,84.686,8.3764,0.21231,125.49,0.022923,30.606,0.016411,69.646,1.7653,-43170.0,23.675,-62.387,0.058402,-45642.0,67.105,-68.88,0.17483,90.0,250.0,1.0,1.7302e-5,2.4718e-6,10
1-Phenyl-2-propanol,-56.566,3.5879,8029.0,209.32,7.0571,0.51164,135.29,0.12552,32.413,0.070835,58.676,4.2541,-42792.0,97.143,-58.861,0.23121,-45449.0,216.78,-65.757,0.55216,90.0,250.0,0.99996,0.0012632,0.00010527,15
Hexan-1-ol,-56.341,5.4168,6989.4,282.2,7.1914,0.78764,83.403,0.13075,28.728,0.17799,59.792,6.5488,-36794.0,229.55,-57.285,0.64045,-36399.0,234.61,-56.189,0.65325,90.0,250.0,0.9999,0.0013392,0.00013392,13
