Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
n-Octanal,-64.173,8008.1,8.2043,110.25,30.231,68.214,-41811.0,-63.243,250.0,90.0,0.99998,0.99998,0.00050041,0.00050041,4.1701e-5,4.1701e-5,15,15,true,false
1-Phenyl ethanol,-66.001,8250.6,8.4701,122.07,31.857,70.424,-43025.0,-63.2,250.0,90.0,0.99998,0.99998,0.00053555,0.00053555,4.463e-5,4.463e-5,15,15,true,false
2-Chlorophenol,-56.343,7301.0,7.1971,110.08,32.328,59.84,-38973.0,-55.875,250.0,90.0,0.99998,0.99998,0.00035808,0.00035808,2.984e-5,2.984e-5,15,15,true,false
Bromobenzene,-40.574,6146.0,5.0012,99.752,32.482,41.582,-36000.0,-50.647,250.0,90.0,0.99993,0.99993,0.0012956,0.0012956,0.00010797,0.00010797,15,15,true,false
Methyl benzoate,-59.067,8000.2,7.4511,128.61,32.239,61.952,-44020.0,-63.966,250.0,90.0,0.99999,0.99999,0.00035436,0.00035436,2.953e-5,2.953e-5,15,15,true,false
Styrene,-45.107,6291.3,5.6523,90.463,31.212,46.996,-35242.0,-51.015,250.0,90.0,0.99996,0.99996,0.00072416,0.00072416,6.0346e-5,6.0346e-5,15,15,true,false
3-Methylphenol,-80.32,9245.9,10.445,122.29,30.568,86.843,-45338.0,-69.05,250.0,90.0,0.99996,0.99996,0.0011269,0.0011269,9.3912e-5,9.3912e-5,15,15,true,false
"1,2-Dichlorobenzene",-40.21,6563.5,4.8588,119.67,33.15,40.398,-39901.0,-55.789,250.0,90.0,0.9998,0.9998,0.0049485,0.0049485,0.00041237,0.00041237,15,15,true,false
n-Nonanal,-70.409,8832.4,8.9952,128.23,30.852,74.791,-46277.0,-69.748,250.0,90.0,0.99999,0.99999,0.0004122,0.0004122,3.435e-5,3.435e-5,15,15,true,false
Chlorobenzene,-27.866,5111.2,3.2316,81.404,31.701,26.869,-32739.0,-46.439,250.0,90.0,0.99982,0.99982,0.0030471,0.0030471,0.00025393,0.00025393,15,15,true,false
2-Chloroaniline,-62.008,8205.1,7.8909,135.37,33.502,65.609,-44395.0,-63.203,250.0,90.0,0.99999,0.99999,0.00035069,0.00035069,2.9224e-5,2.9224e-5,15,15,true,false
