Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Octan-2-ol,-65.813,4.112,8129.7,226.99,8.4218,0.59189,109.39,0.13002,29.816,0.093503,70.022,4.9212,-42166.0,163.84,-64.409,0.42552,250.0,90.0,0.99993,0.0020754,0.00014824,17
Benzyl alcohol,-67.971,3.1414,8239.0,176.28,8.7786,0.4509,117.09,0.10891,31.64,0.065841,72.989,3.749,-41997.0,134.79,-61.893,0.34743,250.0,90.0,0.99996,0.0012044,8.6032e-5,17
Phenyl acetate,-70.048,1.4143,8489.6,80.04,9.0401,0.20271,120.99,0.052259,31.533,0.028414,75.164,1.6854,-43290.0,65.646,-64.172,0.16848,250.0,90.0,0.99999,0.00016499,1.4999e-5,14
2-Methylphenol,-77.992,3.0664,8965.2,172.78,10.157,0.43982,119.0,0.10733,30.866,0.058271,84.447,3.6569,-43874.0,135.54,-66.214,0.34846,250.0,90.0,0.99997,0.00097565,7.505e-5,16
Cyclohexanol,-62.975,5.1231,7263.0,270.01,8.2213,0.74329,88.988,0.1029,30.6,0.15009,68.356,6.1801,-35565.0,177.01,-52.3,0.48526,250.0,90.0,0.99992,0.00089214,8.9214e-5,13
Benzaldehyde,-62.864,2.7132,7550.9,148.2,8.1563,0.39123,104.77,0.08055,31.962,0.070241,67.815,3.2529,-38155.0,97.096,-55.106,0.25445,250.0,90.0,0.99997,0.0006269,4.8223e-5,16
Acetophenone,-62.992,0.94281,8040.6,53.681,8.0656,0.13499,123.99,0.038707,32.604,0.016764,67.061,1.1223,-42500.0,44.628,-61.367,0.1143,250.0,90.0,1.0,5.5281e-5,5.5281e-6,13
Linalool,-76.926,1.9814,9138.9,113.73,9.9525,0.2833,127.76,0.053745,31.217,0.033214,82.749,2.3555,-45935.0,101.19,-69.059,0.26049,250.0,90.0,0.99999,0.00018864,1.7149e-5,14
Heptan-2-one,-62.986,3.199,7401.0,168.39,8.1531,0.4643,88.024,0.06999,29.272,0.099549,67.788,3.8604,-36918.0,127.68,-56.311,0.35108,250.0,90.0,0.99996,0.00054313,4.9376e-5,14
Nitrobenzene,-61.535,1.7691,7978.3,101.77,7.8727,0.25286,128.79,0.05133,33.56,0.034988,65.457,2.1024,-42565.0,92.611,-60.315,0.23822,250.0,90.0,0.99999,0.00015027,1.3661e-5,14
"3,5-Dimethylphenol",-81.664,2.7179,9717.7,159.64,10.563,0.3871,138.85,0.071359,31.635,0.037669,87.824,3.2185,-48904.0,167.38,-73.462,0.42755,250.0,90.0,0.99999,0.00021875,2.4305e-5,12
Phenol,-75.3,4.0893,8516.4,223.49,9.8207,0.58968,104.66,0.12751,29.699,0.1063,81.654,4.9029,-41157.0,164.37,-63.092,0.43005,250.0,90.0,0.99994,0.0017538,0.0001349,16
