Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1,Cat_2
Octanal,-101.92,1.7369,10168.0,95.093,13.574,0.2504,105.24,0.059571,28.454,0.043576,112.86,2.082,-41838.0,65.414,-64.661,0.17023,-43557.0,74.213,-69.299,0.19296,90.0,250.0,0.99999,0.00014978,2.1397e-5,10,aldehyde,
2-Octanone,-99.846,2.2517,10017.0,122.74,13.28,0.32485,103.37,0.069944,28.257,0.055679,110.42,2.7009,-41715.0,83.647,-64.883,0.21928,-43191.0,92.736,-68.875,0.24266,90.0,250.0,0.99998,0.00034565,3.8405e-5,12,ketone,
2-Octanol,-98.176,10.752,9827.6,579.9,13.06,1.5536,99.505,0.22772,27.994,0.17944,108.59,12.917,-41245.0,269.13,-64.772,0.71264,-42277.0,301.02,-67.577,0.79537,90.0,250.0,0.99978,0.0032782,0.00036425,12,alcohol,
Benzyl alcohol,-86.338,2.5676,9592.7,147.69,11.338,0.36702,128.55,0.057415,32.027,0.053979,94.27,3.0516,-41890.0,71.61,-58.375,0.17639,-45524.0,138.29,-67.885,0.35562,90.0,250.0,0.99999,0.00018295,2.0328e-5,12,alcohol,aromatic
o-Xylene,-65.193,6.1483,7468.5,323.38,8.5018,0.89205,89.046,0.083336,29.889,0.090288,70.688,7.4169,-36494.0,111.51,-54.849,0.30525,-36426.0,112.77,-54.663,0.30753,90.0,250.0,0.99997,0.0001925,3.2084e-5,9,aromatic,BTEX
4-Fluoroaniline,-90.61,2.072,9739.3,118.1,11.968,0.29661,124.39,0.073816,31.726,0.038818,99.509,2.4662,-41418.0,52.959,-58.277,0.12893,-44840.0,101.39,-67.281,0.25977,90.0,250.0,0.99998,0.00042862,3.5718e-5,15,aromatic,amine
Phenyl acetate,-89.675,0.99885,9988.4,57.645,11.738,0.1427,130.06,0.035168,30.936,0.019149,97.599,1.1865,-43695.0,28.1,-62.461,0.067741,-47605.0,55.792,-72.674,0.14225,90.0,250.0,1.0,8.014e-5,8.014e-6,13,ester,aromatic
1-Phenyl ethanol,-87.269,1.0938,9735.3,63.226,11.446,0.15623,130.85,0.038249,31.935,0.021594,95.169,1.2989,-42495.0,29.839,-59.276,0.071816,-46383.0,61.469,-69.422,0.15683,90.0,250.0,1.0,0.00010635,9.6684e-6,14,alcohol,aromatic
"2,6-Dimethylphenol",-84.476,1.7865,9693.0,104.86,11.036,0.25452,138.07,0.06238,32.804,0.038326,91.757,2.1162,-42860.0,51.736,-58.319,0.12279,-47270.0,114.91,-69.725,0.29138,90.0,250.0,0.99999,0.00031559,2.6299e-5,15,aromatic,
2-Chlorophenol,-76.922,2.3245,8575.6,130.11,10.128,0.33378,115.88,0.085313,32.649,0.053633,84.209,2.7752,-38541.0,65.53,-53.162,0.16419,-40721.0,98.729,-58.959,0.25417,90.0,250.0,0.99998,0.00054279,4.5232e-5,15,aromatic,
2-Methylphenol,-90.81,1.7518,9840.2,100.4,11.973,0.25054,126.96,0.039266,31.703,0.034421,99.547,2.0831,-41986.0,46.325,-59.027,0.1144,-45665.0,90.303,-68.676,0.23271,90.0,250.0,1.0,8.5253e-5,9.4726e-6,12,aromatic,
Cyclohexanol,-84.122,1.9445,8556.0,102.91,11.21,0.28199,90.006,0.056261,29.406,0.065104,93.208,2.3446,-37290.0,83.365,-56.775,0.2279,-37290.0,84.252,-56.776,0.22936,90.0,250.0,0.99998,0.00027368,2.7368e-5,13,alcohol,
Methyl hexanoate,-88.056,7.1966,9075.9,378.96,11.631,1.044,89.321,0.10449,27.033,0.10877,96.702,8.6805,-40410.0,164.26,-65.576,0.44973,-40344.0,166.1,-65.395,0.45287,90.0,250.0,0.99995,0.00050178,7.1683e-5,10,FAME,
