Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Octanal,-69.572,0.92033,8318.8,53.25,8.9687,0.13142,131.41,0.031335,34.895,0.020674,74.57,1.0927,-38998.0,23.882,-56.251,0.057598,-42086.0,51.494,-64.304,0.13176,90.0,125.0,1.0,5.8715e-5,5.3377e-6,14
2-Octanone,-66.351,1.1459,8090.4,65.89,8.5123,0.16379,128.51,0.044792,34.537,0.024754,70.776,1.3619,-38839.0,29.154,-56.551,0.070138,-41565.0,60.546,-63.685,0.15491,90.0,125.0,0.99999,0.00013488,1.124e-5,15
2-Octanol,-69.295,1.7657,8346.2,101.88,8.9051,0.25225,130.14,0.060852,34.207,0.03761,74.041,2.0973,-39534.0,45.075,-57.883,0.10879,-42506.0,96.169,-65.646,0.24627,90.0,125.0,0.99999,0.00019299,1.9299e-5,13
Benzyl alcohol,-70.533,0.75156,8393.8,44.266,9.136,0.10701,139.58,0.028346,36.847,0.022467,75.961,0.88976,-38438.0,24.024,-52.987,0.057144,-42204.0,50.503,-62.708,0.12777,90.0,125.0,1.0,2.0862e-5,2.9803e-6,10
4-Fluoroaniline,-68.39,1.3947,8134.8,80.981,8.8551,0.19905,133.03,0.049063,36.355,0.035062,73.625,1.655,-37731.0,37.513,-52.748,0.090289,-40899.0,80.974,-60.993,0.20681,90.0,125.0,0.99999,0.00013495,1.2268e-5,14
Phenyl acetate,-67.752,1.2889,8382.6,76.501,8.6952,0.1833,143.16,0.044348,36.39,0.040129,72.296,1.524,-39599.0,44.475,-54.974,0.10538,-43442.0,92.769,-64.85,0.23381,90.0,125.0,1.0,9.8644e-5,9.8644e-6,13
1-Phenyl ethanol,-70.462,1.2947,8506.3,77.129,9.1023,0.18403,144.72,0.052394,37.13,0.045259,75.681,1.5301,-39101.0,48.659,-53.428,0.11466,-43242.0,97.316,-64.049,0.24408,90.0,125.0,0.99999,0.00013781,1.3781e-5,13
"2,6-Dimethylphenol",-66.392,1.2063,8453.1,73.077,8.4886,0.17095,153.47,0.032307,37.67,0.034846,70.579,1.4214,-40172.0,37.655,-54.018,0.087395,-44652.0,97.931,-65.388,0.24529,90.0,125.0,1.0,4.333e-5,4.8145e-6,12
2-Chlorophenol,-62.852,0.94778,7670.3,55.011,8.1228,0.13527,132.88,0.039747,37.706,0.024852,67.537,1.1247,-36353.0,24.995,-49.388,0.05966,-39248.0,54.733,-56.925,0.13955,90.0,125.0,1.0,9.1774e-5,7.6478e-6,15
2-Methylphenol,-78.745,2.1244,9022.5,125.33,10.252,0.30237,140.75,0.070657,35.846,0.047062,85.24,2.514,-39736.0,53.904,-55.86,0.1271,-44062.0,139.23,-67.01,0.35355,90.0,125.0,0.99999,0.00028046,2.5496e-5,14
