Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
n-Octanal,-70.184,8352.3,9.0569,131.41,34.909,75.303,-42099.0,-64.341,125.0,90.0,1.0,1.0,6.7946e-5,6.7946e-5,5.6621e-6,5.6621e-6,15,15,true,false
2-Octanone,-66.351,8090.4,8.5123,128.51,34.537,70.776,-41565.0,-63.685,125.0,90.0,0.99999,0.99999,0.00013488,0.00013488,1.124e-5,1.124e-5,15,15,true,false
Octan-2-ol,-70.967,8436.9,9.1462,130.1,34.244,76.046,-42532.0,-65.73,125.0,90.0,0.99999,0.99999,0.00028325,0.00028325,2.3604e-5,2.3604e-5,15,15,true,false
Benzyl alcohol,-71.628,8450.6,9.2948,139.54,36.907,77.281,-42197.0,-62.71,125.0,90.0,1.0,1.0,0.00012467,0.00012467,1.0389e-5,1.0389e-5,15,15,true,false
4-Fluoroaniline,-68.39,8134.8,8.8551,133.03,36.355,73.625,-40899.0,-60.993,125.0,90.0,0.99999,0.99999,0.00013495,0.00013495,1.2268e-5,1.2268e-5,14,14,true,false
Phenyl acetate,-69.167,8458.6,8.8998,143.19,36.468,73.997,-43456.0,-64.893,125.0,90.0,0.99999,0.99999,0.00023442,0.00023442,1.9535e-5,1.9535e-5,15,15,true,false
1-Phenyl ethanol,-70.808,8522.8,9.1533,144.76,37.179,76.105,-43225.0,-64.004,125.0,90.0,0.99999,0.99999,0.00022411,0.00022411,1.8675e-5,1.8675e-5,15,15,true,false
"2,6-Dimethylphenol",-70.076,8668.7,9.0135,153.44,37.727,74.942,-44860.0,-65.936,125.0,90.0,0.99999,0.99999,0.00015537,0.00015537,1.4125e-5,1.4125e-5,14,14,true,false
2-Chlorophenol,-62.852,7670.3,8.1228,132.88,37.706,67.537,-39248.0,-56.925,125.0,90.0,1.0,1.0,9.1774e-5,9.1774e-5,7.6478e-6,7.6478e-6,15,15,true,false
2-Methylphenol,-81.014,9156.3,10.575,140.71,35.833,87.923,-44200.0,-67.375,125.0,90.0,0.99999,0.99999,0.00036744,0.00036744,3.062e-5,3.062e-5,15,15,true,false
Cyclohexanol,-70.99,7806.8,9.3218,110.24,34.726,77.506,-36763.0,-55.856,125.0,90.0,0.99985,0.99985,0.0028385,0.0028385,0.00023654,0.00023654,15,15,true,false
Bromobenzene,-53.23,6858.3,6.8084,122.29,37.534,56.608,-36466.0,-52.272,125.0,90.0,1.0,1.0,4.8483e-5,4.8483e-5,4.0402e-6,4.0402e-6,15,15,true,false
n-Heptanal,-63.105,7498.1,8.138,111.5,33.873,67.663,-37771.0,-58.162,125.0,90.0,0.99978,0.99978,0.0033562,0.0033562,0.00033562,0.00033562,13,13,true,false
Benzaldehyde,-43.342,6508.6,5.3262,127.32,36.652,44.285,-38033.0,-55.033,125.0,90.0,0.99995,0.99995,0.001164,0.001164,9.7003e-5,9.7003e-5,15,15,true,false
Acetophenone,-62.506,8022.0,7.9866,147.12,37.858,66.405,-42584.0,-61.855,125.0,90.0,0.99999,0.99999,0.00030948,0.00030948,2.579e-5,2.579e-5,15,15,true,false
Methyl benzoate,-63.148,8222.2,8.0345,151.69,37.532,66.803,-44104.0,-64.449,125.0,90.0,1.0,1.0,5.6622e-5,5.6622e-5,5.1474e-6,5.1474e-6,14,14,true,false
Styrene,-53.694,6801.7,6.863,111.89,35.645,57.062,-35831.0,-53.008,125.0,90.0,0.99999,0.99999,0.00022184,0.00022184,1.8486e-5,1.8486e-5,15,15,true,false
