Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Naphthalene,-36.099,3.9401,6745.9,236.6,4.2383,0.55933,148.34,0.15652,35.821,0.14073,35.239,4.6506,-41236.0,164.87,-51.925,0.38607,-43292.0,318.07,-57.175,0.79387,90.0,250.0,0.99988,0.0035315,0.00017658,23
Acenaphthylene,-41.791,2.7221,7966.4,176.82,4.9042,0.38138,189.65,0.12763,37.599,0.06533,40.776,3.171,-47365.0,86.346,-56.435,0.18005,-51428.0,328.04,-66.323,0.79021,90.0,250.0,0.99993,0.0032252,0.00013438,27
Acenaphthene,-46.247,2.5587,8383.4,167.47,5.5021,0.35803,193.89,0.11183,37.519,0.055223,45.747,2.9768,-48338.0,74.818,-57.591,0.15434,-53090.0,318.59,-69.1,0.76511,90.0,250.0,0.99995,0.0023303,0.00010132,26
Fluorene,-52.019,2.4846,9080.4,166.54,6.2569,0.34631,207.06,0.091204,37.956,0.052002,52.023,2.8794,-50516.0,71.821,-59.287,0.1455,-56606.0,344.94,-73.823,0.81791,90.0,250.0,0.99996,0.0015307,6.9575e-5,25
Phenanthrene,-65.108,1.3742,10463.0,96.361,8.0208,0.19018,232.43,0.034261,39.894,0.038751,66.689,1.5813,-53274.0,52.249,-59.463,0.1026,-62773.0,231.29,-81.53,0.53328,90.0,250.0,0.99999,0.00015586,9.1684e-6,20
Anthracene,-47.124,3.4912,9324.4,245.25,5.499,0.48298,233.71,0.11112,39.299,0.087045,45.722,4.0157,-54353.0,122.72,-61.327,0.23868,-60923.0,590.21,-76.571,1.3602,90.0,250.0,0.99994,0.0021595,0.00010797,23
Fluoranthene,-73.748,1.2164,11805.0,89.991,9.1128,0.16695,263.75,0.026568,41.702,0.048004,75.768,1.3881,-57473.0,66.401,-61.138,0.12333,-70638.0,250.21,-90.763,0.55662,90.0,250.0,1.0,6.4544e-5,4.034e-6,19
Pyrene,-64.946,2.3026,11280.0,171.92,7.8926,0.31552,270.11,0.045354,42.208,0.079746,65.622,2.6234,-58137.0,110.27,-61.107,0.20239,-69956.0,485.26,-87.538,1.0759,90.0,250.0,0.99999,0.00030915,1.5457e-5,23
Benz[a]anthracene,-78.733,1.9668,13162.0,154.39,9.6528,0.26747,300.75,0.047278,43.209,0.093142,80.258,2.2239,-63378.0,137.02,-64.525,0.23823,-80292.0,488.4,-101.25,1.0453,90.0,250.0,1.0,5.3e-5,3.3125e-6,19
Chrysene,-72.569,2.3806,12736.0,187.09,8.8025,0.32368,301.6,0.059564,43.029,0.11067,73.188,2.6912,-63832.0,164.71,-65.152,0.28589,-79318.0,592.92,-98.754,1.2683,90.0,250.0,0.99999,9.2095e-5,5.756e-6,19
Benzo[b]fluoranthene,-79.322,4.8077,13920.0,393.99,9.6368,0.64981,326.98,0.2101,44.261,0.30248,80.125,5.4028,-67655.0,464.78,-66.827,0.77145,-86643.0,1362.8,-107.08,2.822,90.0,250.0,0.99999,5.162e-5,7.3743e-6,10
Benzo[k]fluoranthene,-77.173,6.1052,13792.0,500.62,9.3356,0.82512,327.38,0.26108,44.055,0.38078,77.621,6.8604,-68063.0,591.26,-67.43,0.98085,-86488.0,1733.3,-106.47,3.5881,90.0,250.0,0.99999,6.1288e-5,1.0215e-5,9
Benzo[a]pyrene,-79.303,8.5832,14047.0,711.75,9.6285,1.1581,334.84,0.39952,45.118,0.56736,80.056,9.6288,-68121.0,861.28,-66.134,1.4109,-87721.0,2511.3,-107.39,5.1598,90.0,250.0,0.99999,5.6858e-5,1.1372e-5,8
"Indeno[1,2,3-cd]pyrene",-108.24,13.97,16838.0,1209.8,13.511,1.8745,359.44,1.206,48.263,1.3696,112.34,15.585,-68939.0,1974.0,-63.071,3.0996,-99208.0,4649.8,-125.42,9.1959,90.0,250.0,0.99999,2.3633e-5,7.8777e-6,6
"Dibenzo[a,h]anthracene",-104.69,14.513,16742.0,1250.5,12.98,1.9481,358.02,1.0594,46.595,1.22,107.92,16.197,-71086.0,1876.5,-66.719,2.9551,-100010.0,4736.5,-126.37,9.4335,90.0,250.0,1.0,8.4437e-6,4.2218e-6,5
"Benzo[g,h,i]perylene",-75.25,8.6907,14464.0,752.85,8.9885,1.1655,362.55,0.61439,46.185,0.69568,74.735,9.6902,-72751.0,1104.8,-68.534,1.7274,-93120.0,2865.5,-110.38,5.6959,90.0,250.0,1.0,5.5857e-6,2.7928e-6,5
