Compound\T [�C] ->,59.939285714286,70.120714285714,80.215,80.17,90.441333333333,90.267857142857,100.718666666667,110.786428571429,120.652857142857,129.862142857143,140.718571428571,151.020714285714,161.031333333333,170.99,181.053571428571,191.017857142857,201.05
Octan-2-ol,2.0008,1.52039,1.08325,1.08448,0.67544,0.67943,0.30145,-0.04466,-0.36824,-0.66552,-0.94082,-1.19499,-1.44421,-1.67497,-1.91176,-2.11641,-2.31032
Benzyl alcohol,2.23964,1.76244,1.33041,1.33066,0.92507,0.92778,0.55332,0.20665,-0.1132,-0.4099,-0.68568,-0.94456,-1.19124,-1.41461,-1.63784,-1.84612,-2.03665
Phenyl acetate,2.43072,1.94185,1.49536,1.49752,1.07865,1.0825,0.69724,0.34046,0.00873,-0.30093,-0.58722,-0.8539,-1.11329,-1.34098,-1.57567,-1.77028,-1.96723
2-Methylphenol,2.40994,1.90472,1.44499,1.44848,1.02065,1.02562,0.6351,0.27351,-0.05683,-0.36931,-0.64969,-0.92111,-1.17129,-1.40176,-1.62175,-1.84612,-2.03665
Cyclohexanol,1.0694,0.65664,0.29234,0.29477,-0.05132,-0.04383,-0.35894,-0.6496,-0.91732,-1.17339,-1.34097,-1.61892,-1.84034,-2.02794,-2.23049,-2.41621,-2.60103
Benzaldehyde,1.66053,1.23054,0.8381,0.84117,0.47219,0.47626,0.13637,-0.17675,-0.47013,-0.7395,-0.98908,-1.23639,-1.45727,-1.65872,-1.85065,-2.04169,-2.24968
Acetophenone,2.47857,2.00056,1.56425,1.5659,1.15739,1.15935,0.78099,0.42926,0.10367,-0.20269,-0.48258,-0.75104,-1.00631,-1.23955,-1.46216,-1.66612,-1.86112
Linalool,2.80053,2.28206,1.80774,1.81039,1.36672,1.37053,0.96057,0.58285,0.2299,-0.09967,-0.40151,-0.68782,-0.94898,-1.19776,-1.43592,-1.68261,-1.90232
Heptan-2-one,1.0735,0.65039,0.26965,0.27437,-0.0835,-0.07912,-0.40777,-0.7094,-0.98855,-1.24519,-1.49247,-1.71667,-1.94271,-2.15324,-2.3219,-2.52682,-2.73616
Nitrobenzene,2.62831,2.14944,1.71171,1.71367,1.30333,1.30634,0.92643,0.57259,0.24673,-0.05998,-0.34362,-0.61135,-0.8649,-1.10023,-1.32485,-1.54212,-1.74724
"3,5-Dimethylphenol",,2.80929,,2.29744,,1.82282,1.38441,0.98032,0.60657,0.25709,-0.06281,-0.36624,-0.64838,-0.91397,-1.15335,-1.39343,-1.61301
Phenol,1.80351,1.32703,0.90706,0.89679,0.5,0.49853,0.12843,-0.20617,-0.51497,-0.80573,-1.06613,-1.31357,-1.55481,-1.76134,-1.97685,-2.1697,-2.37566
