Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
2-Octanone,-74.378,8614.8,9.6224,126.27,33.435,80.005,-39672.0,-59.181,-42574.0,-66.796,90.0,125.0,-0.23827
4-Fluoroaniline,-78.262,8748.6,10.237,130.79,35.367,85.112,-38359.0,-54.818,-41831.0,-63.879,90.0,125.0,-0.25504
"2,6-Dimethylphenol",-78.991,9232.1,10.257,151.16,36.894,85.284,-40574.0,-55.478,-45789.0,-68.752,90.0,125.0,-0.2543
Octan-1-ol,-83.711,9542.9,10.868,140.82,33.974,90.359,-41939.0,-61.165,-46530.0,-72.999,90.0,125.0,-0.25431
"1,3-Dichlorobenzene",-63.223,7812.7,8.1351,134.84,37.043,67.639,-37362.0,-51.431,-40395.0,-59.306,90.0,125.0,-0.22362
Cyclohexanone,-65.216,7460.7,8.5055,110.77,35.134,70.719,-34882.0,-50.711,-36351.0,-54.645,90.0,125.0,-0.23259
4-Methylphenol,-99.736,10382.0,13.197,142.02,35.156,109.72,-40764.0,-58.043,-46472.0,-72.731,90.0,125.0,-0.28487
Aniline,-71.696,8219.2,9.3426,126.82,35.69,77.679,-37269.0,-53.034,-40129.0,-60.536,90.0,125.0,-0.24383
n-Butylbenzene,-67.34,8364.2,8.6306,142.37,36.135,71.759,-39727.0,-55.463,-43485.0,-65.13,90.0,125.0,-0.2264
Nonan-2-one,-77.236,9240.1,9.9356,145.08,34.4,82.609,-42277.0,-60.94,-46827.0,-72.606,90.0,125.0,-0.24063
1-Phenyl-2-propanol,-73.592,9009.1,9.4773,156.84,37.472,78.798,-41024.0,-55.262,-46291.0,-68.575,90.0,125.0,-0.24234
Hexan-1-ol,-75.994,8186.7,9.9481,100.93,31.339,82.713,-37126.0,-59.102,-38031.0,-61.555,90.0,125.0,-0.24378
