Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,110.03,-114.34,-18.082,44.063,17.9,-150.34,-46740.0,-101.44,-53646.0,-121.77,90.0,250.0,-0.019541
Methyl hexanoate,120.37,-745.17,-19.233,77.889,20.516,-159.91,-49940.0,-96.354,-51876.0,-101.78,90.0,250.0,-0.098837
Methyl octanoate,61.646,2494.8,-10.54,108.64,22.36,-87.635,-54200.0,-96.058,-52567.0,-91.672,90.0,250.0,1.1524
Methyl decanoate,33.967,4377.5,-6.505,136.54,23.833,-54.086,-58555.0,-97.018,-56038.0,-90.496,90.0,250.0,8.4897
Methyl undecanoate,22.794,5227.5,-4.9028,149.4,24.462,-40.764,-60689.0,-97.717,-58267.0,-91.541,90.0,250.0,31.466
Methyl laurate,13.835,5966.3,-3.6266,161.77,25.075,-30.153,-62720.0,-98.304,-60556.0,-92.866,90.0,250.0,166.19
Methyl tridecanoate,6.0593,6651.3,-2.5284,173.55,25.645,-21.022,-64692.0,-98.915,-62936.0,-94.562,90.0,250.0,2126.6
Methyl myristate,-0.51248,7274.6,-1.6074,184.88,26.189,-13.365,-66606.0,-99.509,-65338.0,-96.407,90.0,250.0,193190.0
Methyl myristoleate,-6.6448,7632.5,-0.70724,189.25,26.863,-5.8803,-66179.0,-97.212,-65596.0,-95.792,90.0,250.0,3.1919e11
Methyl pentadecanoate,-6.5383,7880.6,-0.77259,195.62,26.659,-6.4236,-68534.0,-100.29,-67856.0,-98.652,90.0,250.0,6.1341e10
Methyl cis-10-pentadecenoate,-0.054588,7490.4,-1.6669,199.66,27.004,-13.86,-68831.0,-99.67,-67312.0,-96.013,90.0,250.0,127450.0
Methyl palmitate,-9.2376,8294.0,-0.41393,205.89,27.022,-3.4416,-70609.0,-101.49,-70210.0,-100.53,90.0,250.0,6.123e19
Methyl palmitoleate,-8.2737,8184.5,-0.51525,208.91,27.556,-4.284,-70115.0,-99.542,-69606.0,-98.329,90.0,250.0,6.7407e15
Methyl heptadecanoate,-19.6,9166.6,1.0303,215.95,27.615,8.5664,-72026.0,-101.35,-73105.0,-103.9,90.0,250.0,-2.2898e-7
cis-10-Heptadecenoic acid methyl ester,-28.595,9657.1,2.3396,219.26,28.508,19.453,-70715.0,-97.703,-73229.0,-103.63,90.0,250.0,-0.0019181
Methyl stearate,-33.431,10279.0,2.9532,225.66,28.256,24.554,-73215.0,-100.87,-76546.0,-108.66,90.0,250.0,-0.0065064
trans-9-Elaidic acid methyl ester,-43.821,10919.0,4.4322,227.97,28.872,36.851,-72316.0,-98.402,-77400.0,-110.27,90.0,250.0,-0.036026
cis-9-Oleic acid methyl ester,-45.013,10905.0,4.6317,228.62,29.34,38.51,-71346.0,-96.283,-76685.0,-108.73,90.0,250.0,-0.043009
Methyl linolelaidate,-33.742,10371.0,3.0117,232.41,28.886,25.041,-73569.0,-99.61,-77135.0,-107.9,90.0,250.0,-0.0075011
Methyl linoleate,-70.508,12551.0,8.2323,233.92,30.693,68.447,-69651.0,-91.452,-79502.0,-114.3,90.0,250.0,-0.14869
Methyl arachidate,-68.49,13006.0,7.8228,244.52,29.92,65.042,-74470.0,-97.948,-84520.0,-121.01,90.0,250.0,-0.12939
Methyl γ-linolenate,-30.597,10100.0,2.6096,235.54,29.496,21.698,-72942.0,-97.484,-76100.0,-104.8,90.0,250.0,-0.0037751
Methyl cis-11-eicosenoate,-60.229,12397.0,6.7011,246.75,30.327,55.716,-74105.0,-96.629,-82839.0,-116.62,90.0,250.0,-0.10137
Methyl linolenate,-32.495,10312.0,2.8638,238.51,29.593,23.811,-73553.0,-97.845,-77089.0,-106.01,90.0,250.0,-0.0061825
Methyl heneicosanoate,-95.225,14987.0,11.538,253.96,31.198,95.931,-74047.0,-94.57,-89775.0,-130.31,90.0,250.0,-0.20963
"cis-11,14-Eicosadienoic acid methyl ester",-88.537,14275.0,10.678,252.11,31.837,88.778,-72053.0,-91.268,-86445.0,-124.03,90.0,250.0,-0.19969
Methyl-Docosanoat,-155.62,19222.0,19.942,264.37,33.982,165.81,-70694.0,-85.61,-99606.0,-150.63,90.0,250.0,-0.29844
"cis-8,11,14-Eicosatrienoic acid methyl ester",-90.563,14418.0,10.971,254.86,32.326,91.219,-71710.0,-89.902,-86748.0,-124.05,90.0,250.0,-0.20659
Methyl erucate,-146.33,18528.0,18.683,266.89,34.56,155.34,-70163.0,-84.014,-97640.0,-145.66,90.0,250.0,-0.29271
"cis-11,14,17-Eicosatrienoic acid methyl ester",-108.34,15694.0,13.44,258.56,33.072,111.74,-71075.0,-87.766,-89910.0,-130.37,90.0,250.0,-0.24426
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-98.744,14937.0,12.133,257.68,33.162,100.88,-70648.0,-87.183,-87563.0,-125.48,90.0,250.0,-0.22808
Methyl tricosanoate,-194.32,22071.0,25.3,274.4,36.482,210.36,-68330.0,-78.884,-107120.0,-165.26,90.0,250.0,-0.32385
"cis-13,16-Docosadienoic acid methyl ester",-160.86,19565.0,20.709,272.01,35.912,172.18,-68808.0,-80.308,-100150.0,-150.26,90.0,250.0,-0.30631
Methyl lignocerate,-199.36,22691.0,25.958,283.26,37.54,215.83,-68571.0,-77.329,-110280.0,-169.42,90.0,250.0,-0.32651
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",-135.94,17495.0,17.327,265.08,35.462,144.06,-67922.0,-80.287,-93143.0,-136.97,90.0,250.0,-0.28741
Methyl nervonate,-182.61,21499.0,23.659,285.55,37.694,196.71,-68853.0,-77.33,-107320.0,-162.07,90.0,250.0,-0.3198
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",5092.2,-287790.0,-725.41,236.57,3.1699,-6031.4,-681490.0,-1291.1,202550.0,753.89,90.0,250.0,-0.35739
