Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,-76.827,18771.0,7.9725,325.2,25.573,66.287,-116400.0,-148.63,-132000.0,-181.74,90.0,250.0,-0.076922
Methyl hexanoate,-78.705,19785.0,8.251,366.88,28.243,68.602,-120590.0,-142.51,-139590.0,-181.39,90.0,250.0,-0.088415
Methyl octanoate,-92.532,21884.0,10.08,402.88,30.326,83.807,-125300.0,-139.43,-151520.0,-191.51,90.0,250.0,-0.12941
Methyl decanoate,-82.408,22123.0,8.6339,434.11,31.232,71.786,-133170.0,-142.38,-157870.0,-190.23,90.0,250.0,-0.096753
Methyl undecanoate,-82.606,22667.0,8.6162,448.19,31.628,71.639,-136790.0,-143.72,-162450.0,-192.88,90.0,250.0,-0.095076
Methyl laurate,-91.639,23913.0,9.791,461.65,32.295,81.407,-139010.0,-143.27,-169260.0,-200.64,90.0,250.0,-0.11971
Methyl tridecanoate,-94.372,24631.0,10.117,474.29,32.73,84.117,-141920.0,-143.96,-174240.0,-204.68,90.0,250.0,-0.12539
Methyl myristate,-103.49,25888.0,11.296,486.35,33.326,93.919,-143920.0,-143.58,-181140.0,-212.88,90.0,250.0,-0.14762
Methyl myristoleate,-101.89,25512.0,11.124,485.07,33.664,92.488,-141990.0,-141.36,-178530.0,-209.45,90.0,250.0,-0.14691
Methyl pentadecanoate,-107.37,26704.0,11.772,497.74,33.71,97.876,-146570.0,-144.23,-186480.0,-217.9,90.0,250.0,-0.15516
Methyl cis-10-pentadecenoate,-104.03,26176.0,11.367,496.54,33.993,94.507,-144900.0,-142.35,-183320.0,-213.34,90.0,250.0,-0.15016
Methyl palmitate,-114.45,27814.0,12.669,508.55,34.117,105.34,-148920.0,-144.59,-193000.0,-225.35,90.0,250.0,-0.16934
Methyl palmitoleate,-95.603,25822.0,10.212,506.46,34.031,84.911,-148500.0,-144.57,-183860.0,-209.44,90.0,250.0,-0.12661
Methyl heptadecanoate,-1623.4,170210.0,211.85,525.86,678.63,1761.4,-7821.9,36.119,-775570.0,-1352.9,90.0,250.0,-0.36787
cis-10-Heptadecenoic acid methyl ester,-110.88,27635.0,12.205,517.04,34.706,101.47,-149590.0,-143.4,-192920.0,-222.29,90.0,250.0,-0.1632
Methyl stearate,-122.28,29425.0,13.624,528.73,34.756,113.27,-153820.0,-145.92,-203520.0,-235.65,90.0,250.0,-0.1822
trans-9-Elaidic acid methyl ester,-116.4,28524.0,12.904,526.65,35.141,107.29,-151350.0,-143.33,-198200.0,-228.04,90.0,250.0,-0.17427
cis-9-Oleic acid methyl ester,-115.56,28586.0,12.768,526.85,34.837,106.16,-152750.0,-145.02,-199120.0,-228.87,90.0,250.0,-0.17043
Methyl linolelaidate,-130.68,29636.0,14.831,526.44,35.964,123.31,-147810.0,-138.95,-201630.0,-236.28,90.0,250.0,-0.20532
Methyl linoleate,-117.99,28815.0,13.084,525.81,34.766,108.79,-152660.0,-145.17,-200070.0,-230.95,90.0,250.0,-0.17508
Methyl arachidate,-133.74,31342.0,15.062,547.26,35.452,125.23,-157850.0,-146.5,-215120.0,-248.56,90.0,250.0,-0.20076
Methyl γ-linolenate,-113.63,27958.0,12.588,524.61,35.523,104.66,-148960.0,-140.81,-194450.0,-223.18,90.0,250.0,-0.17202
Methyl cis-11-eicosenoate,-134.42,31059.0,15.206,545.4,36.0,126.43,-154750.0,-143.14,-212320.0,-245.89,90.0,250.0,-0.2058
Methyl linolenate,-114.63,28218.0,12.696,526.52,35.397,105.56,-150210.0,-141.93,-196290.0,-225.25,90.0,250.0,-0.17253
Methyl heneicosanoate,-136.09,32024.0,15.323,555.73,35.555,127.4,-160660.0,-147.92,-220000.0,-253.06,90.0,250.0,-0.20259
"cis-11,14-Eicosadienoic acid methyl ester",-119.43,29558.0,13.243,544.78,35.725,110.11,-155700.0,-144.45,-205770.0,-233.85,90.0,250.0,-0.17818
Methyl-Docosanoat,-139.54,32774.0,15.738,564.03,35.761,130.85,-162950.0,-148.74,-224980.0,-258.03,90.0,250.0,-0.20676
"cis-8,11,14-Eicosatrienoic acid methyl ester",-125.33,29863.0,14.061,543.46,36.281,116.91,-152820.0,-141.23,-205840.0,-235.97,90.0,250.0,-0.19302
Methyl erucate,-138.86,32362.0,15.702,562.46,36.289,130.56,-159980.0,-145.55,-221660.0,-254.35,90.0,250.0,-0.20937
"cis-11,14,17-Eicosatrienoic acid methyl ester",-134.32,30873.0,15.227,545.68,36.431,126.6,-153020.0,-140.97,-210710.0,-243.91,90.0,250.0,-0.20816
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-111.98,28454.0,12.321,541.79,36.069,102.44,-153090.0,-141.95,-199370.0,-224.75,90.0,250.0,-0.1666
