Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Pentanol,-337.4,39738.0,43.319,338.0,28.159,360.17,-110280.0,-134.54,-199610.0,-322.02,90.0,250.0,-0.33458
Heptanol,-153.27,25550.0,18.459,379.3,31.517,153.48,-112300.0,-126.21,-156700.0,-216.14,90.0,250.0,-0.25427
Nonanol,-130.76,24780.0,15.345,414.69,33.262,127.59,-118270.0,-126.03,-159700.0,-207.53,90.0,250.0,-0.22442
Decanol,-132.47,25457.0,15.529,430.67,34.098,129.12,-120790.0,-125.71,-164780.0,-211.15,90.0,250.0,-0.22681
Undecanol,-124.34,25343.0,14.383,445.55,34.422,119.58,-124760.0,-127.69,-167280.0,-209.32,90.0,250.0,-0.21121
(1R)-(-)-Fenchone,-110.39,21409.0,12.934,404.26,36.282,107.54,-105160.0,-109.33,-138950.0,-176.38,90.0,250.0,-0.21224
(-)-alpha-Thujone,-109.4,21564.0,12.759,406.96,35.896,106.09,-107140.0,-111.62,-140760.0,-178.19,90.0,250.0,-0.20707
Camphor,-103.91,20961.0,12.082,414.19,37.326,100.46,-105240.0,-107.2,-137800.0,-171.29,90.0,250.0,-0.20226
L-menthone,-107.76,21663.0,12.519,414.98,36.288,104.09,-108490.0,-111.76,-142320.0,-178.29,90.0,250.0,-0.2034
D-isomenthone,-105.21,21471.0,12.178,416.64,36.401,101.25,-108680.0,-111.65,-141750.0,-176.61,90.0,250.0,-0.19837
d-Valerolactam,-246.35,33217.0,31.15,412.52,39.646,259.0,-98597.0,-97.889,-182130.0,-262.5,90.0,250.0,-0.32838
Safranal,-108.92,21983.0,12.655,421.88,36.631,105.22,-109650.0,-111.85,-144570.0,-180.15,90.0,250.0,-0.2053
Octyl acetate,-130.93,25036.0,15.342,420.73,33.457,127.56,-119650.0,-126.53,-161840.0,-209.12,90.0,250.0,-0.22388
(-)-Verbenone,-99.251,21114.0,11.374,423.26,36.761,94.57,-109690.0,-111.61,-141210.0,-173.18,90.0,250.0,-0.18541
Neral,-118.07,23448.0,13.751,426.39,35.388,114.33,-114980.0,-118.45,-153440.0,-193.41,90.0,250.0,-0.21298
Geranial,-119.44,23854.0,13.888,430.19,35.121,115.47,-117110.0,-120.6,-156400.0,-196.93,90.0,250.0,-0.21243
(R)-(+)-Pulegone,-108.5,22183.0,12.572,428.13,36.793,104.53,-111130.0,-112.57,-146480.0,-181.36,90.0,250.0,-0.20324
(S)-(+)-Carvone,-106.09,22065.0,12.229,427.96,36.436,101.68,-112170.0,-114.08,-146530.0,-180.97,90.0,250.0,-0.19628
Piperitone,-107.13,22111.0,12.388,430.14,36.914,103.0,-111410.0,-112.5,-146440.0,-180.58,90.0,250.0,-0.20057
Isobornyl acetate,-107.54,22469.0,12.4,436.72,36.871,103.1,-113630.0,-114.17,-149380.0,-183.27,90.0,250.0,-0.19879
Geranyl acetate,-121.62,25110.0,14.021,446.05,34.423,116.58,-124940.0,-127.81,-166440.0,-207.47,90.0,250.0,-0.20643
(-)-Caryophyllene oxide,-106.29,23245.0,12.224,481.06,40.557,101.64,-116620.0,-108.71,-156360.0,-182.99,90.0,250.0,-0.2026
(+)-Nootkatone,-115.79,24922.0,13.416,506.09,41.971,111.55,-120290.0,-108.46,-166700.0,-193.63,90.0,250.0,-0.21977
Propiophenone,-95.553,20905.0,10.816,414.2,35.072,89.931,-112000.0,-117.04,-141160.0,-174.42,90.0,250.0,-0.16896
Butyrophenone,-101.59,21882.0,11.586,428.55,35.803,96.332,-114340.0,-117.05,-146960.0,-180.5,90.0,250.0,-0.18242
Valerophenone,-101.53,22461.0,11.519,444.15,36.237,95.772,-118050.0,-118.67,-151970.0,-183.86,90.0,250.0,-0.17935
Hexanophenone,-111.89,23871.0,12.857,458.96,37.072,106.9,-120210.0,-118.29,-159650.0,-193.24,90.0,250.0,-0.20081
Heptanophenone,-112.89,24528.0,12.93,472.66,37.368,107.51,-123760.0,-120.03,-164900.0,-197.4,90.0,250.0,-0.19989
Octanophenone,-122.61,25901.0,14.174,485.9,38.051,117.85,-125900.0,-119.95,-172550.0,-206.84,90.0,250.0,-0.21679
4-Methyl-2-pentanone,-140.64,22934.0,16.903,332.26,28.857,140.54,-105600.0,-128.53,-139650.0,-200.35,90.0,250.0,-0.23831
2-Hexanone,-279.35,34446.0,35.64,342.09,30.236,296.33,-104090.0,-123.27,-178790.0,-279.5,90.0,250.0,-0.32652
2-Decanone,-119.54,23705.0,13.884,418.3,33.896,115.44,-117270.0,-123.7,-155170.0,-198.04,90.0,250.0,-0.20901
2-Undecanone,-119.45,24273.0,13.815,434.06,34.486,114.86,-120580.0,-124.6,-160100.0,-201.16,90.0,250.0,-0.20714
2-Dodecanone,-114.23,24429.0,13.053,448.7,34.721,108.53,-124780.0,-126.95,-163700.0,-201.51,90.0,250.0,-0.19398
2-Tridecanone,-115.7,25119.0,13.191,462.52,35.111,109.68,-128160.0,-128.3,-169020.0,-205.73,90.0,250.0,-0.1945
2-Pentadecanone,-132.02,27567.0,15.271,488.11,36.353,126.97,-132540.0,-128.2,-183090.0,-222.18,90.0,250.0,-0.22139
