Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
(1R)-(-)-Fenchone,-113.3,22402.0,13.163,405.86,34.243,109.44,-111950.0,-118.96,-146520.0,-187.45,90.0,250.0,-0.20442
(-)-alpha-Thujone,-108.11,22190.0,12.415,405.99,33.523,103.22,-114400.0,-122.53,-147010.0,-187.15,90.0,250.0,-0.18935
Camphor,-83.066,20160.0,9.0978,420.31,34.718,75.643,-115170.0,-120.17,-140150.0,-169.1,90.0,250.0,-0.13084
L-menthone,-119.62,23417.0,13.945,415.3,34.304,115.95,-114880.0,-120.96,-152590.0,-195.12,90.0,250.0,-0.21278
D-isomenthone,-150.64,25933.0,18.15,418.98,35.827,150.91,-111170.0,-114.72,-160820.0,-212.05,90.0,250.0,-0.26196
d-Valerolactam,-115.35,23586.0,13.389,445.87,37.037,111.32,-116060.0,-115.5,-155670.0,-191.55,90.0,250.0,-0.21143
Safranal,-107.0,22654.0,12.247,429.54,35.149,101.83,-116800.0,-120.31,-151380.0,-187.53,90.0,250.0,-0.18929
Octyl acetate,-125.0,25300.0,14.337,412.53,30.393,119.2,-128620.0,-141.67,-167060.0,-217.43,90.0,250.0,-0.19626
(-)-Verbenone,-110.36,22980.0,12.711,434.38,35.791,105.68,-116290.0,-118.45,-152680.0,-188.94,90.0,250.0,-0.19847
Neral,-118.7,24519.0,13.628,429.44,33.032,113.31,-124250.0,-130.94,-162710.0,-205.72,90.0,250.0,-0.1978
Geranial,-131.87,25887.0,15.362,434.27,33.32,127.73,-124880.0,-130.62,-168850.0,-215.79,90.0,250.0,-0.22002
(R)-(+)-Pulegone,-105.34,22770.0,11.993,435.06,35.132,99.714,-118700.0,-121.7,-153110.0,-188.3,90.0,250.0,-0.18365
(S)-(+)-Carvone,-124.8,24516.0,14.592,437.35,35.679,121.33,-117640.0,-119.66,-159780.0,-201.09,90.0,250.0,-0.22223
Piperitone,-115.91,23757.0,13.408,438.78,35.665,111.48,-118160.0,-120.06,-157040.0,-195.11,90.0,250.0,-0.2066
Isobornyl acetate,-141.64,27660.0,16.516,444.37,32.567,137.33,-131440.0,-137.28,-180110.0,-230.8,90.0,250.0,-0.22619
Geranyl acetate,-141.64,27660.0,16.516,444.37,32.567,137.33,-131440.0,-137.28,-180110.0,-230.8,90.0,250.0,-0.22619
(-)-Caryophyllene oxide,-110.94,24316.0,12.718,482.59,38.84,105.74,-122260.0,-115.87,-163780.0,-193.37,90.0,250.0,-0.20154
(+)-Nootkatone,-126.65,27025.0,14.693,519.53,40.858,122.16,-127860.0,-115.4,-180340.0,-210.76,90.0,250.0,-0.22794
