Name,min,Tchar,Tchar_std,thetachar,thetachar_std,DeltaCp,DeltaCp_std,d,d_std
Methyl butyrate,0.001873491,44.06306838,0.10342103,17.89971531,0.663772258,-150.3432004,3433.428935,7.99E-05,9.61E-06
Methyl hexanoate,0.002883816,77.88926393,0.311842852,20.51640253,0.191860505,-159.9115258,7.973484565,7.99E-05,9.61E-06
Methyl octanoate,0.009321286,108.6354871,0.204126455,22.35990564,0.104140524,-87.6351008,1.060553654,7.99E-05,9.61E-06
Methyl decanoate,0.002887766,136.5391629,0.184821669,23.8329278,0.088018656,-54.0857355,0.789289239,7.99E-05,9.61E-06
Methyl undecanoate,0.001117315,149.4010512,0.18186892,24.46151966,0.08660219,-40.7639456,0.668897439,7.99E-05,9.61E-06
Methyl laurate,0.003012743,161.7675038,0.180364008,25.07491319,0.086476648,-30.15295848,0.556274024,7.99E-05,9.61E-06
Methyl tridecanoate,0.00944308,173.5490633,0.179574616,25.64547915,0.086874116,-21.02188535,0.424194114,7.99E-05,9.61E-06
Methyl myristate,0.004584034,184.8841226,0.179235811,26.18882313,0.087398156,-13.36454158,0.246592477,7.99E-05,9.61E-06
Methyl myristoleate,0.002828794,189.2542903,0.180341497,26.86300797,0.0885349,-5.880308791,0.346822821,7.99E-05,9.61E-06
Methyl pentadecanoate,0.00307431,195.6194162,0.179132728,26.65918612,0.087914807,-6.423634297,0.231384562,7.99E-05,9.61E-06
Methyl cis-10-pentadecenoate,0.00512989,199.6638549,0.179255673,27.00398146,0.087242539,-13.85955543,0.271432704,7.99E-05,9.61E-06
Methyl palmitate,0.004446409,205.8916478,0.178992616,27.02227505,0.087982574,-3.441609878,0.304954146,7.99E-05,9.61E-06
Methyl palmitoleate,0.002365888,208.9057597,0.179808379,27.55601618,0.088221254,-4.284015267,0.326866207,7.99E-05,9.61E-06
Methyl heptadecanoate,0.002977468,215.9525711,0.179783656,27.61511187,0.08916972,8.566387897,0.577068324,7.99E-05,9.61E-06
cis-10-Heptadecenoic acid methyl ester,0.009873994,219.2572808,0.181653337,28.50832032,0.090989472,19.45267373,0.752983039,7.99E-05,9.61E-06
Methyl stearate,0.006983512,225.6612871,0.180941636,28.25583339,0.090807479,24.55436121,0.810003351,7.99E-05,9.61E-06
trans-9-Elaidic acid methyl ester,0.037849574,227.9653665,0.182374011,28.87198041,0.092569534,36.85102283,0.952490634,7.99E-05,9.61E-06
cis-9-Oleic acid methyl ester,0.000805822,228.616532,0.183279841,29.3403526,0.093257494,38.51046786,0.963241238,7.99E-05,9.61E-06
Methyl linolelaidate,0.004641072,232.4133182,0.181795861,28.8863129,0.091104465,25.04061978,0.810968316,7.99E-05,9.61E-06
Methyl linoleate,0.011862951,233.9182816,0.186426245,30.69302462,0.097766513,68.44741919,1.214910534,7.99E-05,9.61E-06
Methyl arachidate,0.005246521,244.5170238,0.18441347,29.91959363,0.095431006,65.04223553,1.211324289,7.99E-05,9.61E-06
Methyl γ-linolenate,0.000561853,235.5367774,0.182663291,29.49569398,0.091227717,21.69781776,0.767169598,7.99E-05,9.61E-06
Methyl cis-11-eicosenoate,0.002851739,246.7521312,0.184781636,30.32701262,0.09487146,55.71603686,1.110099695,7.99E-05,9.61E-06
Methyl linolenate,0.00019967,238.5076042,0.182768227,29.59342838,0.091354691,23.8110908,0.790234701,7.99E-05,9.61E-06
Methyl heneicosanoate,0.006952973,253.9559334,0.187235672,31.19769437,0.099531701,95.9311654,1.436270098,7.99E-05,9.61E-06
"cis-11,14-Eicosadienoic acid methyl ester",0.006617539,252.1122218,0.188264263,31.83698783,0.099968324,88.7778689,1.347655663,7.99E-05,9.61E-06
Methyl-Docosanoat,0.00400828,264.371857,0.193420022,33.98172258,0.110619919,165.8102934,1.838948216,7.99E-05,9.61E-06
"cis-8,11,14-Eicosatrienoic acid methyl ester",0.013688913,254.8633728,0.189091272,32.32555982,0.100725843,91.21858563,1.347536902,7.99E-05,9.61E-06
Methyl erucate,0.005653674,266.8888819,0.194104373,34.56035257,0.110333824,155.3375254,1.731137643,7.99E-05,9.61E-06
"cis-11,14,17-Eicosatrienoic acid methyl ester",0.009022898,258.5567859,0.190812206,33.07200331,0.10378424,111.7427564,1.47735271,7.99E-05,9.61E-06
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",0.010752136,257.6773817,0.190721163,33.16182253,0.102839598,100.8766843,1.388623339,7.99E-05,9.61E-06
Methyl tricosanoate,3.18E-05,274.4012323,0.198091901,36.48154435,0.119552896,210.3572891,2.016880894,7.99E-05,9.61E-06
"cis-13,16-Docosadienoic acid methyl ester",0.001817839,272.0084192,0.196548682,35.91212317,0.114310066,172.1830858,1.781414,7.99E-05,9.61E-06
Methyl lignocerate,0.008112474,283.2639706,0.199492281,37.53962621,0.121135766,215.8309553,1.99422078,7.99E-05,9.61E-06
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",0.014224886,265.0783074,0.195473211,35.46170019,0.111055538,144.0606396,1.603761433,7.99E-05,9.61E-06
Methyl nervonate,0.001171824,285.5527201,0.19915751,37.69389449,0.118799567,196.7087799,1.854736222,7.99E-05,9.61E-06
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",704.4783592,236.5741194,0.320115847,3.169892385,0.001987408,-6031.367514,3.61087425,7.99E-05,9.61E-06
