Name,min,Tchar,Tchar_std,thetachar,thetachar_std,DeltaCp,DeltaCp_std,d,d_std
(1R)-(-)-Fenchone,0.005637512,132.7084462,0.909311612,34.24260603,0.415229074,109.4434992,25.58681054,0.000252055,1.50E-05
(-)-alpha-Thujone,0.000284974,132.836117,0.881542723,33.52268015,0.403778844,103.2235171,25.7975477,0.000252055,1.50E-05
Camphor,0.04734653,147.1596328,0.818192556,34.71756576,0.379993086,75.64315223,19.82751278,0.000252055,1.50E-05
L-menthone,0.003484517,142.1500427,0.871441161,34.30410599,0.399738627,115.9459268,23.97872885,0.000252055,1.50E-05
D-isomenthone,0.114657495,145.8344514,0.939999628,35.82689847,0.425513343,150.906689,24.81105654,0.000252055,1.50E-05
d-Valerolactam,0.004633813,172.7167891,0.854911452,37.03730673,0.389944714,111.3247665,18.89804127,0.000252055,1.50E-05
Safranal,0.010210227,156.3901801,0.833563947,35.14892975,0.383708085,101.8288976,20.57451381,0.000252055,1.50E-05
Octyl acetate,0.267960838,139.3764949,0.813257232,30.39271327,0.365961014,119.2013561,31.10961406,0.000252055,1.50E-05
(-)-Verbenone,0.001114676,161.2286041,0.841186114,35.79132529,0.386304643,105.6812019,19.96068707,0.000252055,1.50E-05
Neral,0.007654192,156.2925261,0.815834068,33.03202792,0.370316281,113.3063973,24.4735445,0.000252055,1.50E-05
Geranial,0.011128874,161.1195591,0.832738096,33.32033524,0.374628712,127.7308906,25.23694824,0.000252055,1.50E-05
(R)-(+)-Pulegone,0.000611723,161.910751,0.82236856,35.1323404,0.377404532,99.71364576,20.25150698,0.000252055,1.50E-05
(S)-(+)-Carvone,0.008668938,164.1952735,0.85574562,35.67947,0.389657711,121.3263534,21.2650092,0.000252055,1.50E-05
Piperitone,0.00062541,165.6317252,0.840514864,35.66453504,0.38400309,111.4823924,20.46469807,0.000252055,1.50E-05
Isobornyl acetate,0.002445195,171.2246338,0.831181748,32.56707241,0.366336404,137.3252932,27.80036339,0.000252055,1.50E-05
Geranyl acetate,0.002445195,171.2246338,0.831181748,32.56707241,0.366336404,137.3252932,27.80036339,0.000252055,1.50E-05
(-)-Caryophyllene oxide,0.002621353,209.4354475,0.849847096,38.83955305,0.379533342,105.7398886,17.21756931,0.000252055,1.50E-05
(+)-Nootkatone,0.007377091,246.3796908,0.875606399,40.8580983,0.384889252,122.1638348,17.11280096,0.000252055,1.50E-05
