L;d;df;gas;pout;sp;time_unit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.31869693;1.00E-04;1.00E-07;He;vacuum;Stabilwax;min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
measurement;T1;t1;RT1;T2;t2;RT2;T3;t3;RT3;T4;t4;RT4;T5;t5;p1;p2;p3;p4;p5;pamb;;;;;;;;;;;;;;;;;
SIM1;40;0;5;250;10;;;;;;;;;;440193.5654;732024.8355;;;;100300;;;;;;;;;;;;;;;;;
SIM2;40;0;10;250;10;;;;;;;;;;440193.5654;732024.8355;;;;100300;;;;;;;;;;;;;;;;;
SIM3;40;0;15;250;10;;;;;;;;;;440193.5654;732024.8355;;;;100300;;;;;;;;;;;;;;;;;
SIM4;40;0;20;250;10;;;;;;;;;;440193.5654;732024.8355;;;;100300;;;;;;;;;;;;;;;;;
SIM5;40;0;3;250;10;;;;;;;;;;440193.5654;732024.8355;;;;100300;;;;;;;;;;;;;;;;;
SIM8;40;0;30;250;10;;;;;;;;;;440193.5654;732024.8355;;;;100600;;;;;;;;;;;;;;;;;
comp1;40;2;13;97;7;8;139;5;17;213;3;11;250;6;440196;521862;580743;682228;732025;101100;;;;;;;;;;;;;;;;;
comp2;40;1;21;150;2;13;200;2;16;250;5;;;;440196;596002;664590;732025;732025;101100;;;;;;;;;;;;;;;;;
measurement;Methyl butyrate;Methyl hexanoate;Methyl octanoate;Methyl decanoate;Methyl undecanoate;Methyl laurate; Methyl tridecanoate;Methyl myristate;Methyl myristoleate;Methyl pentadecanoate;Methyl cis-10-pentadecenoate;Methyl palmitate;Methyl palmitoleate;Methyl heptadecanoate;cis-10-Heptadecenoic acid methyl ester;Methyl stearate;trans-9-Elaidic acid methyl ester;cis-9-Oleic acid methyl ester;Methyl linolelaidate;Methyl linoleate;Methyl arachidate;Methyl γ-linolenate;Methyl cis-11-eicosenoate;Methyl linolenate;Methyl heneicosanoate;"cis-11,14-Eicosadienoic acid methyl ester";Methyl-Docosanoat;"cis-8,11,14-Eicosatrienoic acid methyl ester";Methyl erucate;"cis-11,14,17-Eicosatrienoic acid methyl ester";"cis-5,8,11,14-Eicosatetraenoic acid methyl ester";Methyl tricosanoate;"cis-13,16-Docosadienoic acid methyl ester";Methyl lignocerate;"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester";Methyl nervonate;"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester"
SIM1;0.9423;2.6193;6.1598;10.5981;12.8214;14.9813;17.0564;19.0554;19.6525;20.9696;21.5455;22.816;23.1545;24.582;24.9081;26.2887;26.5555;26.4963;27.3221;27.1866;29.5031;27.6355;29.6979;28.1818;31.0235;30.3713;32.5057;30.727;32.7048;31.3114;31.0235;33.9244;33.3527;35.3051;31.9636;35.5295;35.3051
SIM2;0.8872;2.1535;4.2921;6.6637;7.8114;8.9168;9.9755;10.9962;11.3138;11.9702;12.2794;12.9104;13.1009;13.8082;13.9903;14.6721;14.8204;14.7992;15.2142;15.1592;16.3068;15.3963;16.4254;15.6716;17.0818;16.7769;17.8314;16.9675;17.9543;17.2597;17.1284;18.5556;18.2931;19.2671;17.6112;19.4026;19.3052
SIM3;0.8449;1.8697;3.4113;5.0375;5.8125;6.5621;7.2778;7.9639;8.1841;8.6203;8.8363;9.2513;9.3869;9.8569;9.9925;10.4414;10.5345;10.5345;10.8098;10.7802;11.5425;10.9411;11.6314;11.1274;12.0634;11.8686;12.5716;11.9998;12.6647;12.1989;12.1142;13.0671;12.8977;13.5541;12.4445;13.6515;13.049
SIM4;0.8067;1.6707;2.8819;4.1185;4.7072;5.2747;5.8167;6.3377;6.5071;6.8331;6.9983;7.3117;7.4176;7.7691;7.8707;8.2095;8.2858;8.2858;8.4933;8.4721;9.0396;8.5949;9.1116;8.7347;9.4377;9.2979;9.8273;9.3996;9.8993;9.5478;9.4885;10.2042;10.0814;10.5727;9.7426;10.6574;10.6277
SIM5;0.9634;2.9073;7.7733;14.6764;18.2634;21.7912;25.1876;28.4782;31.6248;31.6248;34.6783;34.6698;35.178;37.5708;38.0705;40.3828;40.675;40.7978;42.0641;41.7973;45.685;42.5215;45.9561;43.4235;48.2006;47.0487;50.6315;47.6035;50.928;48.586;48.0736;52.9777;51.974;55.2646;49.6194;55.5738;55.0656
SIM8;0.7517;1.4081;2.2551;3.1021;3.5002;3.8814;4.2456;4.5971;4.7156;4.9316;5.046;5.2535;5.3297;5.5626;5.6389;5.8591;5.9184;5.9184;6.0539;6.0539;6.4266;6.1301;6.4774;6.2233;6.6976;6.6087;6.9644;6.6807;7.0195;6.7823;6.7442;7.2397;7.1508;7.5616;6.9221;7.642;7.6293
comp1;1.0058;3.1191;5.4991;7.9258;10.1957;14.0157;16.8277;18.6996;19.2417;20.7324;21.5201;23.7393;24.2475;25.5984;25.8102;26.5937;26.7292;26.6995;27.0849;27.0256;27.9573;27.2247;28.042;27.4576;28.5799;28.3131;29.3591;28.4782;29.5073;28.7493;28.618;30.3459;29.952;31.5613;29.1092;31.7646;31.5613
comp2;1.0058;2.344;3.7247;4.9655;5.5372;6.0793;6.6426;7.4091;7.731;8.5102;8.9761;9.9798;10.2466;11.1274;11.3392;12.0676;12.2201;12.1947;12.6055;12.5462;13.6727;12.7706;13.804;13.029;14.6764;14.2402;15.8113;14.985;15.9596;14.9474;14.7314;16.6541;16.3577;17.3487;15.4895;17.463;17.3698
