L;d;df;gas;pout;sp;time_unit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.64421411;2.50E-04;2.50E-07;He;vacuum;ZB1ms;min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
measurement;T1;t1;RT1;T2;t2;RT2;T3;t3;RT3;T4;t4;RT4;T5;t5;p1;p2;p3;p4;p5;pamb;;;;;;;;;;;;;;;;;
meas1;40;0;5;300;10;;;;;;;;;;48745;148024;;;;101000;;;;;;;;;;;;;;;;;
meas2;40;0;10;300;10;;;;;;;;;;48745;148024;;;;101000;;;;;;;;;;;;;;;;;
meas3;40;0;15;300;10;;;;;;;;;;48745;148024;;;;101000;;;;;;;;;;;;;;;;;
meas4;40;0;20;300;10;;;;;;;;;;48745;148024;;;;101000;;;;;;;;;;;;;;;;;
meas5;40;0;3;300;10;;;;;;;;;;48745;148024;;;;101000;;;;;;;;;;;;;;;;;
comp1;40;2;13;97;7;8;139;5;17;213;3;11;300;6;48745;71377.8;87695.3;115819.6;148023.8;100900;;;;;;;;;;;;;;;;;
comp2;40;1;21;150;2;13;200;2;16;300;5;;;;48745;91924;110931;148024;;100900;;;;;;;;;;;;;;;;;
measurement;Methyl butyrate;Methyl hexanoate;Methyl octanoate;Methyl decanoate;Methyl undecanoate;Methyl laurate; Methyl tridecanoate;Methyl myristate;Methyl myristoleate;Methyl pentadecanoate;Methyl cis-10-pentadecenoate;Methyl palmitate;Methyl palmitoleate;Methyl heptadecanoate;cis-10-Heptadecenoic acid methyl ester;Methyl stearate;trans-9-Elaidic acid methyl ester;cis-9-Oleic acid methyl ester;Methyl linolelaidate;Methyl linoleate;Methyl arachidate;Methyl γ-linolenate;Methyl cis-11-eicosenoate;Methyl linolenate;Methyl heneicosanoate;"cis-11;14-Eicosadienoic acid methyl ester";Methyl-Docosanoat;"cis-8;11;14-Eicosatrienoic acid methyl ester";Methyl erucate;"cis-11;14;17-Eicosatrienoic acid methyl ester";"cis-5;8;11;14-Eicosatetraenoic acid methyl ester";Methyl tricosanoate;"cis-13;16-Docosadienoic acid methyl ester";Methyl lignocerate;"cis-5;8;11;14;17-Eicosapentaenoic acid methyl ester";Methyl nervonate;"cis-4;7;10;13;16;19-Docosahexaenoic acid methyl ester"
meas1;3.1572;7.2355;12.92733;18.5175;21.1093;23.5656;25.8949;28.1056;27.7583;30.2146;29.8843;32.222;31.7307;34.1362;33.6703;35.9699;35.4279;35.5464;35.2542;35.3813;39.4045;34.9154;38.9006;35.322;41.0181;38.7693;42.5765;38.3966;42.1234;38.837;38.0536;44.0673;42.0091;45.5114;38.1171;45.1133;41.107
meas2;2.7972;5.3255;8.3832;11.2587;12.5758;13.8294;15.0109;16.1374;15.9723;17.2047;17.0522;18.2211;17.9924;19.1951;18.9749;20.1226;19.8685;19.9193;19.788;19.8304;21.8632;19.6228;21.626;19.8261;22.6763;21.5625;23.464;21.3888;23.2522;21.6048;21.2194;24.2178;23.2014;24.9505;21.2576;24.7641;22.7779
meas3;2.5685;4.4107;6.5113;8.4509;9.3403;10.183;10.9792;11.733;11.6314;12.453;12.3556;13.1391;12.9866;13.787;13.6473;14.4138;14.2486;14.2783;14.1978;14.219;15.5827;14.0919;15.4302;14.2232;16.1247;15.3921;16.6541;15.2777;16.5186;15.426;15.1676;17.1623;16.4889;17.662;15.193;17.535;16.2179
meas4;2.4033;3.8559;5.4568;6.9263;7.5954;8.2307;8.8321;9.4038;9.3276;9.9459;9.8739;10.4583;10.3482;10.9496;10.8479;11.4197;11.3011;11.3222;11.2757;11.2757;12.3005;11.1867;12.1904;11.2841;12.7113;12.1608;13.1094;12.0803;13.012;12.1862;11.9998;13.5244;12.9908;13.9734;12.021;13.859;12.7918
meas5;3.3689;8.8448;17.6578;26.7165;30.9642;35.0086;38.837;42.4834;41.882;45.9561;45.3844;49.2721;48.4124;54.4314;51.6225;55.4552;54.5192;54.731;54.2186;54.4684;61.1258;53.6384;60.2619;54.3244;63.7939;60.0163;66.3688;59.3853;65.5853;60.1306;58.7881;68.8335;65.3778;71.2179;58.8813;70.5275;63.8108
comp1;3.4536;6.3969;10.7505;18.0813;20.7875;24.3957;26.4327;27.6948;27.5169;28.5629;28.7196;29.8504;29.5624;31.2013;30.8583;32.5311;32.1712;32.2474;32.0526;32.1246;34.7291;31.8154;34.4453;32.1034;35.665;34.3649;36.5205;34.1489;36.2918;34.4157;33.9414;37.3124;36.2325;30.0493;33.9837;37.8545;35.7582
comp2;2.8777;4.6437;6.2741;8.1418;9.5732;11.0343;12.3132;13.444;13.2703;14.7018;14.5027;16.0612;15.769;17.1411;16.9082;18.0432;17.8018;17.8569;17.7213;17.7722;19.5043;17.5646;19.3222;17.7594;20.1268;19.2713;20.6901;19.1274;20.5461;19.3052;18.9918;21.2152;20.508;21.7276;19.0215;21.5964;20.203
