L;d;df;gas;pout;sp;time_unit;;;;;;;;;;;;;;
29.90227398;2.50E-04;2.50E-07;He;vacuum;Rxi5SilMS;min;;;;;;;;;;;;;;
measurement;T1;t1;RT1;T2;t2;RT2;T3;t3;RT3;T4;t4;RT4;T5;t5;p1;p2;p3;p4;p5;pamb
TerpeneSIM1;40;0;5;300;10;;;;;;;;;;48745;148024;;;;99600
TerpeneSIM2;40;0;10;300;10;;;;;;;;;;48745;148024;;;;99600
TerpeneSIM3;40;0;15;300;10;;;;;;;;;;48745;148024;;;;99600
TerpeneSIM4;40;0;20;300;10;;;;;;;;;;48745;148024;;;;99600
TerpeneSIM5;40;0;3;300;10;;;;;;;;;;48745;148024;;;;99600
TerpeneSIM6;40;2;13;97;7;8;139;5;17;213;3;11;250;6;48745;71377.8;87695.3;115819.6;148023.8;101325
TerpeneSIM7;40;1;21;150;3;13;200;2;16;250;5;;;;48745;91924;110931;148024;;101325
measurement;(1R)-(-)-Fenchone;(-)-alpha-Thujone;Camphor;L-menthone;D-isomenthone;d-Valerolactam;Safranal;Octyl acetate;(-)-Verbenone;Neral;Geranial;(R)-(+)-Pulegone;(S)-(+)-Carvone;Piperitone;Isobornyl acetate;Geranyl acetate;(-)-Caryophyllene oxide;(+)-Nootkatone;;
TerpeneSIM1;11.8008;12.3175;13.5033;13.7574;14.0199;14.1724;14.994;15.2862;15.2227;16.0654;16.887;16.0909;16.2433;16.5271;17.4545;19.8388;24.9717;29.7953;;
TerpeneSIM2;7.8453;8.1079;8.7558;8.8575;8.9972;9.0692;9.5012;9.552;9.6325;10.0052;10.416;10.0687;10.1364;10.2931;10.759;11.8897;14.6594;17.1073;;
TerpeneSIM3;6.1683;6.3377;6.795;6.8501;6.9475;6.9941;7.2948;7.2736;7.3837;7.6082;7.8792;7.6717;7.714;7.8241;8.1375;8.8575;10.7886;12.4361;;
TerpeneSIM4;5.2111;5.3382;5.6897;5.7236;5.7998;5.8379;6.0581;6.0243;6.1344;6.2868;6.4901;6.3461;6.3758;6.4605;6.6976;7.2185;8.7135;9.9586;;
TerpeneSIM5;15.7436;16.5906;18.4159;18.8902;19.2968;19.5805;20.8764;21.5582;21.2152;22.7186;24.0696;22.6636;22.9219;23.3581;24.887;28.9737;37.0753;45.0032;;
TerpeneSIM6;9.6155;10.1153;11.5298;11.8432;12.2201;12.4318;13.7828;14.2444;14.1343;15.3413;16.3492;15.3667;15.5572;15.9045;16.976;19.3687;25.7297;28.5545;;
TerpeneSIM7;6.0327;6.1555;6.5071;6.5452;6.6256;6.668;6.9136;6.8797;7.0025;7.1974;7.4642;7.2694;7.3075;7.4218;7.7606;8.7177;11.9448;14.5578;;
