Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
2378-TCDD,-68.02,12777.0,8.11,287.1,38.123,67.43,-81748.0,-100.63,90.0,450.0,-0.16895,PCDD
12378-PCDD,-97.83,15418.0,12.15,305.05,39.831,101.02,-91510.0,-116.88,90.0,450.0,-0.24446,PCDD
123478-HxCDD,-109.48,16738.0,13.68,319.28,40.653,113.74,-97862.0,-126.04,90.0,450.0,-0.26184,PCDD
123678-HxCDD,-104.26,16395.0,12.96,321.1,40.619,107.76,-97186.0,-123.91,90.0,450.0,-0.25328,PCDD
123789-HxCDD,-89.75,15308.0,10.98,322.47,40.459,91.293,-94127.0,-116.78,90.0,450.0,-0.22531,PCDD
1234678-HPCDD,-113.7,17550.0,14.2,338.21,42.144,118.07,-103040.0,-131.32,90.0,450.0,-0.26775,PCDD
?CDD,46.88,5124.0,-7.61,350.98,39.452,-63.273,-65581.0,-46.474,90.0,450.0,3.1731,PCDD
2378-TCDF,-76.57,13273.0,9.31,284.38,38.458,77.408,-82250.0,-102.93,90.0,450.0,-0.19824,PCDF
12378-PCDF,-86.03,14298.0,10.58,300.09,39.913,87.967,-86935.0,-108.78,90.0,450.0,-0.22315,PCDF
23478-PCDF,-90.17,14777.0,11.11,302.54,39.542,92.374,-89320.0,-112.82,90.0,450.0,-0.22924,PCDF
123478-HxCDF,-106.77,16289.0,13.37,318.19,41.712,111.16,-95068.0,-121.28,90.0,450.0,-0.26251,PCDF
123678-HxCDF,-98.97,15762.0,12.28,316.19,40.743,102.1,-93974.0,-118.91,90.0,450.0,-0.24671,PCDF
234678-HxCDF,-101.0,16035.0,12.54,319.9,40.906,104.26,-95458.0,-120.88,90.0,450.0,-0.24962,PCDF
123789-HxCDF,-97.91,15796.0,12.14,325.41,42.005,100.94,-94678.0,-118.12,90.0,450.0,-0.24726,PCDF
1234678-HpCDF,-108.7,16910.0,13.57,334.39,42.595,112.83,-99624.0,-125.86,90.0,450.0,-0.26376,PCDF
1234789-HpCDF,-112.98,17400.0,14.14,342.1,43.507,117.57,-101980.0,-128.77,90.0,450.0,-0.27065,PCDF
?CDF,65.22,3609.0,-10.08,351.56,39.396,-83.81,-60442.0,-35.584,90.0,450.0,1.0166,PCDF
