Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
2378-TCDD,-203.46,22516.33,26.73,303.23018724344684,46.72696455484706,222.2455857832361,-167209.0813625111,-469.3521424106019,90.0,250.0,-0.3389078965102288
12378-PCDD,-191.2,22179.74,24.96,322.5232850404848,48.528382381890935,207.52898694910488,-165735.0102849387,-448.355323294369,90.0,250.0,-0.3356088977726434
123478-HxCDD,-185.37,22208.21,24.1,340.8571209743716,50.87345044320032,200.37854909749308,-166615.26244232256,-439.2080534739259,90.0,250.0,-0.3346058429303257
123678-HxCDD,-175.93,21606.29,22.78,340.1302682752157,49.25671015077465,189.4034584415308,-162598.3792622404,-421.0804360809718,90.0,250.0,-0.3293850686570089
123789-HxCDD,-165.54,20805.34,21.38,344.9738419945086,50.34051665912257,177.76321077611624,-156986.53271811784,-398.71231615364593,90.0,250.0,-0.3261184151760327
1234678-HPCDD,-42.07,11783.85,4.47,353.56953004050683,43.727374670213266,37.16564790314498,-94631.472011642,-145.3854526039003,90.0,250.0,-0.06267689215600802
?CDD,380.38,-20211.33,-53.18,-26.511284053931035,-8.57363549746993,-442.1631220333893,128251.66676515409,730.8422762704737,90.0,250.0,-0.3300382052465224
2378-TCDF,-199.61,22183.86,26.21,301.72009650406574,46.43784752875747,217.9220652217964,-164833.88882638325,-461.12000152438947,90.0,250.0,-0.3377400992366159
2378-PCDF,-181.58,21214.34,23.7,319.96054371633204,49.14763726887431,197.05276405023176,-158651.08813427214,-425.98742491549274,90.0,250.0,-0.3336646570806074
23478-PCDF,-176.53,21075.33,22.96,324.2867455780238,48.50799414449846,190.9000617127984,-158049.03789609167,-417.83808050789844,90.0,250.0,-0.3305604512947316
123478-HxCDF,-175.41,21241.59,22.79,339.5885036102263,51.591872164043934,189.4866030677123,-159558.61172904356,-416.29963590042314,90.0,250.0,-0.332313010206702
123678-HxCDF,-165.18,20557.24,21.37,339.5712212862744,50.30253285905242,177.68006614993473,-154931.19755891038,-396.1763892302199,90.0,250.0,-0.3266319182432409
234678-HxCDF,-165.87,20801.51,21.43,344.2239647863803,50.34226020692602,178.17893390702392,-156917.27324450863,-399.1696907220905,90.0,250.0,-0.32636269845692195
123789-HxCDF,-163.69,20604.55,21.17,354.14512949088294,53.72213592078006,176.0171736263041,-155474.21511250196,-392.9334323113551,90.0,250.0,-0.3288013889531448
1234678-HpCDF,-164.08,20881.1,21.16,353.4455588576294,51.509391959508584,175.93402900012254,-157781.06276590854,-396.6333523515444,90.0,250.0,-0.3260499138971452
1234789-HpCDF,94.51,1308.0,-14.12,358.8437966057909,39.03692574040657,-117.40021216832373,-21441.336199693575,140.12103985949093,90.0,250.0,0.16971373592462968
?CDF,463.94,-26635.14,-64.56,11.484042947659873,-9.809287834565824,-536.7817066279731,173146.52226276047,905.2145660971038,90.0,250.0,-0.34018446781659895
