Compound,A,B,C,Cat
2378-TCDD,-68.02,12777.12,8.11,PCDD
12378-PCDD,-97.83,15418.37,12.15,PCDD
123478-HxCDD,-109.48,16737.94,13.68,PCDD
123678-HxCDD,-104.26,16395.20,12.96,PCDD
123789-HxCDD,-89.75,15308.24,10.98,PCDD
1234678-HPCDD,-113.70,17550.00,14.20,PCDD
?CDD,46.88,5124.00,-7.61,PCDD
2378-TCDF,-76.57,13273.34,9.31,PCDF
12378-PCDF,-86.03,14298.05,10.58,PCDF
23478-PCDF,-90.17,14777.29,11.11,PCDF
123478-HxCDF,-106.77,16289.40,13.37,PCDF
123678-HxCDF,-98.97,15762.00,12.28,PCDF
234678-HxCDF,-101.00,16034.83,12.54,PCDF
123789-HxCDF,-97.91,15795.81,12.14,PCDF
1234678-HpCDF,-108.70,16910.00,13.57,PCDF
1234789-HpCDF,-112.98,17400.42,14.14,PCDF
?CDF,65.22,3609.00,-10.08,PCDF
